"","variable","point_estimate","Upper C.I.","converge"
"1","D.scale",1.00097283702603,1.00436290538486,"true"
"2","D.sum",1.001614799796,1.00525240522818,"true"
"3","N[1]",1.00021306827478,1.00166485726464,"true"
"4","N[2]",0.99971991782263,1.00029977596804,"true"
"5","N[3]",1.00012577369994,1.001043478915,"true"
"6","N[4]",1.00083676297059,1.00436749522302,"true"
"7","N[5]",1.00041028902256,1.00149003445364,"true"
"8","N[6]",1.00007916646877,1.00087891062855,"true"
"9","N[7]",1.00146784949348,1.00229136226318,"true"
"10","N[8]",1.00022264528176,1.00131687307367,"true"
"11","N[9]",1.00049988565407,1.00153462493727,"true"
"12","N[10]",1.00020353514591,1.00140118863091,"true"
"13","N[11]",1.00118121226676,1.00393538715882,"true"
"14","N[12]",1.00210547149936,1.00856924386199,"true"
"15","N[13]",1.00131563751485,1.00567545343452,"true"
"16","N[14]",1.00038729037483,1.00154000413724,"true"
"17","N[15]",1.00123618047601,1.00507250177034,"true"
"18","N[16]",1.00009072438597,1.00160503438283,"true"
"19","N[17]",1.00127950871982,1.00384179818013,"true"
"20","N[18]",1.00019093282462,1.00034207458149,"true"
"21","N[19]",0.999667654656973,0.999932810307805,"true"
"22","N[20]",1.00118675104114,1.00532207269462,"true"
"23","N[21]",1.00018560645394,1.00095223499461,"true"
"24","N[22]",1.00017206418833,1.0017804415522,"true"
"25","N[23]",1.00006476184731,1.00030774384447,"true"
"26","N[24]",1.0005922502017,1.00221078691149,"true"
"27","N[25]",0.999689694492258,1.00015106105013,"true"
"28","N[26]",1.00248443066529,1.00912543814885,"true"
"29","N[27]",1.00095828006062,1.00170878996169,"true"
"30","N[28]",1.0001419089578,1.00081525118916,"true"
"31","N[29]",1.00030082043484,1.00087942757907,"true"
"32","N[30]",1.00018950476025,1.00187584075124,"true"
"33","N[31]",0.999688140718481,1.00010041601622,"true"
"34","N[32]",1.0000429617531,1.00059774360587,"true"
"35","N[33]",1.00134188617444,1.00605413335684,"true"
"36","N[34]",1.00111711119353,1.00349177127422,"true"
"37","N[35]",1.00078579429226,1.00385199217749,"true"
"38","N[36]",0.99993442775319,1.00038972807312,"true"
"39","N[37]",0.999853644921149,1.00054975438319,"true"
"40","N[38]",1.00176274952288,1.00769666941356,"true"
"41","N[39]",1.00165555807341,1.00451184291798,"true"
"42","N[40]",0.999994933257303,1.00005851918816,"true"
"43","N[41]",1.00089666908594,1.00432412887694,"true"
"44","N.ya[1,1]",1.00070951450367,1.00165273942689,"true"
"45","N.ya[2,1]",0.999644205114992,0.999966707706055,"true"
"46","N.ya[3,1]",1.00110579888379,1.00438948638181,"true"
"47","N.ya[4,1]",1.00156591142179,1.00556787078807,"true"
