"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"variable","0%","2.5%","5%","50%","95%","97.5%","100%","mean","sd"
"Smsy_lambert.c","   35073.14","   67191.22","   71093.05","   99000.93","  188126.52","  230269.51","15890523.61","  116329.55","  293098.36"
"Umsy_lambert.c","0.19059523","0.35547766","0.38382384","0.53529261","0.67393667","0.70451001","0.97382931","0.53389910","0.08893423"
"Smsy_lambert","   8118.509","  56375.764","  61068.176","  86249.527"," 148962.438"," 180926.629","9086751.147","  96966.492"," 168811.061"
"Umsy_lambert","0.05089094","0.24273437","0.28805519","0.46938739","0.60395146","0.62997675","0.78127706","0.46106094","0.09585691"
