"","variable","Mean","SD","time_series_se","2.5%","50%","97.5%","mc_error","converge"
"1","D.scale",0.182322423931304,0.0183032786331532,0.00240983198275233,0.146718400574103,0.1818356702103,0.222158169818472,0.131661219339542,"false"
"2","D.sum",31.020969724505,6.44034337832333,0.897739645674723,20.2616793302201,30.2441815809873,46.4548254791771,0.139393133710277,"false"
"3","N[1]",154538.381421541,9338.49629300413,291.131901586443,137314.155425875,154241.437937596,173633.561168423,0.031175458280638,"true"
"4","N[2]",116396.760690279,9517.93318882223,245.354578220816,99116.6421121822,115858.7555517,135876.301547911,0.0257781362143788,"true"
"5","N[3]",180785.96294182,11199.372814672,302.992874366659,160022.15361727,180359.924052568,203365.760764069,0.0270544502250801,"true"
"6","N[4]",222455.472443265,14290.9501594678,368.883610167885,196724.945899655,221777.086571788,251131.694622465,0.02581239218188,"true"
"7","N[5]",170887.365052093,15707.8800777211,426.877118335281,142367.526465325,170252.693566537,205330.645965263,0.0271759853158499,"true"
"8","N[6]",165138.319717602,10228.4335234311,323.329557290283,146278.744669926,164815.806067252,186124.810996487,0.0316108577671846,"true"
"9","N[7]",240494.658783571,24669.4208247912,512.592534552057,197685.119201532,238822.629973895,294240.28134005,0.0207784584077845,"true"
"10","N[8]",298795.921591056,23559.9509504958,639.300554506328,255017.239609506,298130.049663511,348886.707750617,0.0271350545614304,"true"
"11","N[9]",271504.443047924,21592.100419191,601.109726703268,232943.387398875,270685.12921867,315861.605878804,0.0278393354529328,"true"
"12","N[10]",216632.623159589,16031.7707197064,320.780195342931,187158.104389872,216271.535769828,249260.490336708,0.0200090308769588,"true"
"13","N[11]",194728.856633467,15291.6019902447,295.251342132424,166926.089666916,193962.279993254,226626.442305999,0.0193080713401238,"true"
"14","N[12]",138509.151958655,10228.2665934929,236.04638621269,119408.537865649,138149.454778622,159092.183543527,0.0230778484364946,"true"
"15","N[13]",120585.91135437,9054.93768127081,192.202623975027,103990.460531948,120320.954155114,139410.502679142,0.0212262779425393,"true"
"16","N[14]",341547.463916965,21200.6431169153,583.322431834653,302780.161193002,341031.559323327,385089.450519445,0.0275143743808997,"true"
"17","N[15]",233414.148324904,15536.7662932359,349.583783835109,204621.357507605,233088.139939675,265607.061504138,0.0225004210810138,"true"
"18","N[16]",134279.607795493,8384.1965111181,218.900819512538,118466.338238569,134171.640560319,151317.895778839,0.0261087415141401,"true"
"19","N[17]",243501.550074917,15255.3786628266,432.472800355367,214266.137573329,243100.635045939,273573.208132833,0.0283488735293861,"true"
"20","N[18]",385706.276608384,24565.893597984,815.49377800127,340249.646667757,384524.260334848,435252.175996374,0.0331961780567263,"true"
"21","N[19]",235048.991253026,15412.9678121194,324.925661915295,205825.312793794,234599.142825746,268076.837853044,0.0210813171010324,"true"
"22","N[20]",170277.451794895,11065.1977140744,267.31017184983,149645.700970354,169693.206173319,193085.52159712,0.0241577402191219,"true"
"23","N[21]",259980.911630449,19464.4902465123,389.410276091993,225162.28167674,258955.3740964,300551.469418086,0.0200061892790523,"true"
"24","N[22]",226836.281919549,17826.9197697159,325.557308394191,192503.981146044,226333.533510528,262987.087645251,0.0182621177746726,"true"
"25","N[23]",249143.401096461,17608.7497354139,348.552366936019,217414.480700274,248463.297036363,285817.854561196,0.0197942711534498,"true"
"26","N[24]",304310.808030852,17308.8654366216,365.522006728716,271547.081965471,303908.106243987,339209.551259632,0.0211176179089911,"true"
"27","N[25]",146965.527323964,9047.05212471433,216.097800942277,129731.033557217,146746.293684809,165631.427273244,0.0238859904821319,"true"
"28","N[26]",127380.886025126,7830.64240803458,161.159242837204,112460.940028917,127218.319675442,143202.378044937,0.0205805902555131,"true"
"29","N[27]",139037.806915594,10067.071424452,254.691138056134,120517.930972903,138799.186489846,159599.147020213,0.0252994269453093,"true"
"30","N[28]",124556.87118847,7720.49701974708,157.711987381043,110013.895701624,124429.996292659,140016.60336165,0.0204276987579498,"true"
"31","N[29]",127849.964194241,7376.49149828237,174.560679903198,113762.218508321,127756.23389918,142663.027825827,0.0236644589021549,"true"
"32","N[30]",77443.8446191273,5686.95347033772,136.130610312302,67065.0247873485,77030.3675040793,89349.234438614,0.0239373525776742,"true"
"33","N[31]",69078.7323105426,6991.79831089212,152.526502611776,56992.3447455785,68788.6274574278,83952.4134466142,0.0218150604221755,"true"
"34","N[32]",53560.1823040702,3550.87314062063,96.4384691847498,46835.6335100123,53355.7094135325,60857.6243497571,0.0271590860516898,"true"
"35","N[33]",99544.7972553644,6229.66654477526,124.114235771311,87881.6953857773,99348.7663433321,112595.01683443,0.0199230945796616,"true"
"36","N[34]",237783.201131565,10770.5193677301,193.320781577429,216813.226025962,237531.838059379,259046.126519794,0.0179490677261714,"true"
"37","N[35]",107224.144314327,5533.50110396468,101.078858010555,96919.4768867579,107002.311002191,118027.735395589,0.0182667096493635,"true"
"38","N[36]",81186.7261114477,3264.19162043977,59.3786123662858,75042.7372193812,81103.6402813375,87588.2290136053,0.0181909088898053,"true"
"39","N[37]",169136.265803487,9789.20422825922,187.233637107835,150692.790950762,169011.726190528,188829.732110648,0.0191265431532558,"true"
"40","N[38]",202296.619354706,11781.3604844926,238.799966965505,180900.454791498,201945.589444899,226417.917116109,0.0202693031318266,"true"
"41","N[39]",160851.358829136,8931.66539663782,166.201374890375,143971.984403995,160506.353776189,179771.818126627,0.0186081058245799,"true"
"42","N[40]",128000.817723343,9332.26308524301,180.450933218422,110802.527050034,127524.064282157,147314.216821423,0.0193362458355644,"true"
"43","N[41]",107840.18137762,6102.70558032619,111.431533414713,96398.7752349076,107862.182220651,120320.38790083,0.0182593657760493,"true"
"44","N.ya[1,1]",7641.74936187322,3047.73620629684,57.5975643638134,2908.39200905958,7267.40400449873,14667.4167702828,0.0188984742986656,"true"
"45","N.ya[2,1]",3936.7273810641,1887.23390675922,34.6031884346584,1137.13856407569,3656.28047635834,8370.63411275991,0.01833539992617,"true"
"46","N.ya[3,1]",10666.5376396231,3924.3888419503,70.2045262748788,4433.23192131237,10266.5865768748,19514.7734222508,0.0178892890338536,"true"
"47","N.ya[4,1]",5457.43195251805,2869.57134987775,51.0298337055939,1267.18407336583,4969.06068870906,12233.4778434659,0.0177830858632485,"true"
"48","N.ya[5,1]",4568.8186311861,2483.01863292439,46.382463462562,1013.42463399221,4127.64974869318,10495.1054608976,0.0186798692718366,"true"
"49","N.ya[6,1]",3108.1160544633,2146.12535813574,40.5926837247588,424.990844766898,2663.10031681423,8216.05208920051,0.0189144047764387,"true"
"50","N.ya[7,1]",8190.65120160177,4003.48793977423,75.1610431371607,2486.69241916794,7550.75828297707,17696.8783083486,0.0187738902346736,"true"
"51","N.ya[8,1]",15601.7018022457,6180.21149791034,118.176516974579,5874.85764313244,14815.0169202688,29607.5591322574,0.0191217593466724,"true"
"52","N.ya[9,1]",6497.80357007721,3544.7649316501,64.7310470470149,1568.29286459264,5809.89224672678,14961.6707146973,0.0182610266957483,"true"
"53","N.ya[10,1]",4751.82343463211,2574.23915946501,47.001199631714,1145.15544316103,4251.08542766588,10803.6725986,0.0182582878746519,"true"
"54","N.ya[11,1]",4821.82356396662,2649.36786484152,48.3600494733563,1151.94618758814,4356.55517088,10979.6601493595,0.0182534294746755,"true"
"55","N.ya[12,1]",4793.68911488581,2357.35079612957,43.0080288931032,1369.28576413432,4391.62149419685,10658.1175152719,0.0182442209974502,"true"
"56","N.ya[13,1]",3442.0475189575,1858.81835898439,34.7714879534178,780.331115627852,3123.1034542543,7967.74606985575,0.0187062322605937,"true"
"57","N.ya[14,1]",5516.580973609,3545.94464852332,66.6188296511248,785.852363401677,4764.56678290919,14304.4479304969,0.0187873292604462,"true"
"58","N.ya[15,1]",3844.28739581962,2499.44052291574,47.2699787643792,573.761946333478,3337.43759104588,10109.5230246479,0.0189122238881028,"true"
"59","N.ya[16,1]",3783.18249358175,2045.26707799535,36.7749409964612,863.607471801902,3454.72275482909,8700.40651633473,0.017980507969896,"true"
"60","N.ya[17,1]",4391.70428315413,2819.3061797235,50.2187954851986,592.530551755769,3773.19640720999,11341.7567526857,0.0178124660054212,"true"
"61","N.ya[18,1]",12158.1973699314,5884.4610148521,105.870423679174,3453.27009305492,11249.6386096609,25710.2006184372,0.0179915243574496,"true"
"62","N.ya[19,1]",5524.22494656466,3095.57647696857,57.4777384854733,1225.27820862891,4912.12122245054,13261.9146511402,0.018567701012433,"true"
