"","year","age","age_comp","p","q","Nya"
"1",1970,"Age 5",NA,0.615813473208295,NA,NA
"4",1971,"Age 5",NA,0.730393525177266,NA,NA
"7",1972,"Age 5",NA,0.563191819236642,NA,NA
"10",1973,"Age 5",NA,0.664432778418737,NA,NA
"13",1974,"Age 5",NA,0.689680513929033,NA,NA
"16",1975,"Age 5",NA,0.581923928212518,NA,NA
"19",1976,"Age 5",0.663366336633663,0.458087844333835,0.644241142421148,99029.3380741273
"22",1977,"Age 5",0.757575757575758,0.520804840050146,0.719276969767029,82546.6367209207
"25",1978,"Age 5",0.643564356435644,0.68199125173487,0.625976754678757,112954.977946704
"28",1979,"Age 5",0.77,0.584431765316108,0.7331134602994,162338.851763511
"31",1980,"Age 5",0.626262626262626,0.417957898739702,0.611424957713069,103195.602838423
"34",1981,"Age 5",0.555555555555556,0.5679019223239,0.562819168631732,91927.1125645008
"37",1982,"Age 5",0.51,0.551246061085687,0.526478576979801,126119.732486119
"40",1983,"Age 5",0.565656565656566,0.358797446036585,0.568428687728488,169797.015450483
"43",1984,"Age 5",0.74,0.650614798324561,0.71301713382657,192095.875341684
"46",1985,"Age 5",0.393939393939394,0.59015540637801,0.414726267772131,88997.4765722194
"49",1986,"Age 5",0.36,0.34842369880485,0.376473896856293,73730.5426027277
"52",1987,"Age 5",0.59,0.351058334158976,0.586819079071686,80847.1841588706
"55",1988,"Age 5",0.43,0.604921174571677,0.460068412268555,54814.3973027447
"58",1989,"Age 5",0.693069306930693,0.582598075430372,0.710960861767368,242356.918109949
"61",1990,"Age 5",0.44,0.501221093682819,0.436891740959289,101296.945649246
"64",1991,"Age 5",0.47,0.630748480055407,0.485813922494507,64585.0708354684
"67",1992,"Age 5",0.44,0.562342293068667,0.496477604802394,120075.309027058
"70",1993,"Age 5",0.383838383838384,0.461526124124672,0.396853462402668,152204.222339136
"73",1994,"Age 5",0.57,0.510845644061327,0.570855539330138,133293.323120499
"76",1995,"Age 5",0.46,0.473827214781774,0.464174889848435,78141.9395961641
"79",1996,"Age 5",NA,0.574963856543145,0.637706187196241,165029.833344394
"82",1997,"Age 5",NA,0.434503022435877,0.52613493267519,118477.068982822
"85",1998,"Age 5",NA,0.49105326267959,0.633800717153346,157223.037768967
"88",1999,"Age 5",0.43,0.63674852963782,0.445617063181174,135190.819406133
"91",2000,"Age 5",0.13,0.501406386717197,0.170441539721456,24873.8832307082
"94",2001,"Age 5",0.78,0.617520983755821,0.772672685722144,97951.2759780551
"97",2002,"Age 5",0.45,0.59653728004937,0.470498635476394,64748.998050827
"100",2003,"Age 5",0.29,0.485206653159108,0.321674116033085,39757.4922081445
"103",2004,"Age 5",0.663366336633663,0.672856340252441,0.665528003114408,84672.4547561002
"106",2005,"Age 5",0.376237623762376,0.541651356449869,0.385276480340985,29519.988058218
"109",2006,"Age 5",0.6,0.575404890308503,0.595280844456464,41013.973946349
"112",2007,"Age 5",0.52,0.567726477856629,0.514915893991305,27315.9902073751
"115",2008,"Age 5",0.811881188118812,0.632984887303856,0.788253083961354,77325.2328700731
"118",2009,"Age 5",0.64,0.534766479778585,0.648540425601131,154452.980405418
"121",2010,"Age 5",0.316831683168317,0.464326504214347,0.323484735913335,34565.2918659759
"124",2011,"Age 5",0.616161616161616,0.647820078256794,0.611112022089222,49424.9694690409
"127",2012,"Age 5",0.75,0.630025011591667,0.741387715350667,124039.062203631
"130",2013,"Age 5",0.5,0.685032622686576,0.503710491322981,101398.625054315
"133",2014,"Age 5",0.67,0.819241197350634,0.660159855941419,106083.067508257
"136",2015,"Age 5",0.29,0.662682456135479,0.31267348141536,38784.9495513556
"139",2016,"Age 5",0.59,0.601350212695659,0.588032732265407,62321.9070057704
"142",2017,"Age 5",0.68,0.558513307072165,0.657364871817336,62036.2103387752
"145",2018,"Age 5",0.71,0.543457670850881,0.689409191398426,87834.1964591898
"148",2019,"Age 5",0.8,NA,0.762014075757788,130372.855716017
"151",2020,"Age 5",0.61,NA,0.575873788427697,34697.7310212634
"154",2021,"Age 5",0.574257425742574,NA,0.560188917818501,42667.0685330276
"157",2022,"Age 5",0.75,NA,0.741265119563944,130764.271024841
"2",1970,"Ages 2-4",NA,0.0570074223439533,NA,NA
"5",1971,"Ages 2-4",NA,0.0616799918448882,NA,NA
"8",1972,"Ages 2-4",NA,0.0610177173096254,NA,NA
"11",1973,"Ages 2-4",NA,0.0234636252320703,NA,NA
"14",1974,"Ages 2-4",NA,0.0517587222711899,NA,NA
"17",1975,"Ages 2-4",NA,0.0324151025460592,NA,NA
"20",1976,"Ages 2-4",0.0594059405940594,0.0229397563167148,0.0583687436478482,8971.80858009903
"23",1977,"Ages 2-4",0.0303030303030303,0.0128799183556629,0.0348587735640652,3993.96572289192
"26",1978,"Ages 2-4",0.0693069306930693,0.0344956073519041,0.0676742061052155,12203.589016596
"29",1979,"Ages 2-4",0.02,0.04820610648663,0.0260831806452733,5764.11409070096
"32",1980,"Ages 2-4",0.0202020202020202,0.0311720338563947,0.02740027674449,4619.31068731761
"35",1981,"Ages 2-4",0.0101010101010101,0.0382238182207828,0.0190463175697974,3112.46474146117
"38",1982,"Ages 2-4",0.03,0.0334244233303343,0.0358899931335485,8589.32062013027
"41",1983,"Ages 2-4",0.0505050505050505,0.0390298774269872,0.0532919261495376,15905.8313493213
"44",1984,"Ages 2-4",0.02,0.00918972438284672,0.0246978459072211,6651.84193901034
"47",1985,"Ages 2-4",0.0202020202020202,0.0317988403007534,0.0232108333968195,4976.392546857
"50",1986,"Ages 2-4",0.02,0.0210302146676367,0.0251494743892347,4924.98906067809
"53",1987,"Ages 2-4",0.04,0.0108751772574925,0.043421573488293,5982.6002790501
"56",1988,"Ages 2-4",0.02,0.0177465410088136,0.028684040989235,3418.44971661698
"59",1989,"Ages 2-4",0.0099009900990099,0.0549636768487296,0.016138742933484,5499.8348889979
"62",1990,"Ages 2-4",0.01,0.0359394447068755,0.0169104881884026,3921.21952329151
"65",1991,"Ages 2-4",0.02,0.0293496570971778,0.0279837705218822,3717.03932895467
"68",1992,"Ages 2-4",0.01,0.0686098798353484,0.018409255829444,4449.97832959366
"71",1993,"Ages 2-4",0.0303030303030303,0.0467562793959357,0.0330714303567991,12683.3496233721
"74",1994,"Ages 2-4",0.02,0.0438322645402225,0.0242512887666018,5655.20312630374
"77",1995,"Ages 2-4",0.04,0.061857421854191,0.0438767656867974,7380.75633098604
"80",1996,"Ages 2-4",NA,0.0225441951414912,0.0599470888253791,15463.8749997267
"83",1997,"Ages 2-4",NA,0.0299289716630187,0.0736697518521,16545.1784798442
"86",1998,"Ages 2-4",NA,0.0507513954096427,0.0483915788757904,11973.6929055281
"89",1999,"Ages 2-4",0.01,0.0314712660045479,0.0108564596778713,3292.18595949634
"92",2000,"Ages 2-4",0.02,0.091601798308536,0.0263837827539747,3852.60383999406
"95",2001,"Ages 2-4",0.03,0.0456464908778843,0.0351977196022157,4463.03975736007
"98",2002,"Ages 2-4",0.03,0.0842571742596903,0.0299653743073617,4116.96670980629
