"","year","age","age_comp","p","q","Nya"
"101",2003,"Ages 2-4",0.03,0.0216286316970445,0.0339489675613121,4194.64746800568
"104",2004,"Ages 2-4",0.0495049504950495,0.0263558382661429,0.0426563479494864,5423.69749066838
"107",2005,"Ages 2-4",0.0396039603960396,0.0702934382190338,0.0395840569257781,3031.95716092138
"110",2006,"Ages 2-4",0.06,0.039605599142917,0.056348791211669,3878.54913647357
"113",2007,"Ages 2-4",0.06,0.0308199081427144,0.0650426991232704,3451.25459312651
"116",2008,"Ages 2-4",0.0594059405940594,0.061456251274581,0.0616638772355472,6046.63403177318
"119",2009,"Ages 2-4",0.02,0.0600820004375177,0.0191289787562645,4552.72431102067
"122",2010,"Ages 2-4",0.0297029702970297,0.0678240383383442,0.0320429090038473,3424.45800883423
"125",2011,"Ages 2-4",0.0808080808080808,0.0508240494159609,0.0831958383576958,6729.19294625009
"128",2012,"Ages 2-4",0.06,0.0471127006205914,0.0589468232822514,9862.59948868951
"131",2013,"Ages 2-4",0.06,0.0259641255387371,0.0594622759501528,11978.2735426764
"134",2014,"Ages 2-4",0.04,0.0478040327135651,0.0353968283632374,5686.59503617339
"137",2015,"Ages 2-4",0.04,0.0636050732099517,0.0395811194123486,4906.04417904742
"140",2016,"Ages 2-4",0.04,0.0631540412352939,0.0440065985787076,4663.7742541297
"143",2017,"Ages 2-4",0.03,0.0818269466375558,0.035351395864451,3336.20356892994
"146",2018,"Ages 2-4",0.06,0.0858789550561395,0.0597677760117054,7613.62573431751
"149",2019,"Ages 2-4",0.02,NA,0.0198459848685997,3385.99530165928
"152",2020,"Ages 2-4",0.08,NA,0.074560630822911,4491.8864647869
"155",2021,"Ages 2-4",0.267326732673267,NA,0.250684088939461,19092.5128915979
"158",2022,"Ages 2-4",0.13,NA,0.122060341842334,21529.642543312
"3",1970,"Ages 6-8",NA,0.327179104447752,NA,NA
"6",1971,"Ages 6-8",NA,0.207926482977846,NA,NA
"9",1972,"Ages 6-8",NA,0.375790463453732,NA,NA
"12",1973,"Ages 6-8",NA,0.312103596349193,NA,NA
"15",1974,"Ages 6-8",NA,0.258560763799777,NA,NA
"18",1975,"Ages 6-8",NA,0.385660969241422,NA,NA
"21",1976,"Ages 6-8",0.277227722772277,0.51897239934945,0.297390113931004,45708.098014384
"24",1977,"Ages 6-8",0.212121212121212,0.466315241594191,0.245864256668906,28217.8817828372
"27",1978,"Ages 6-8",0.287128712871287,0.283513140913226,0.306349039216027,55264.6641091773
"30",1979,"Ages 6-8",0.21,0.367362128197263,0.240803359055327,53274.9380332575
"33",1980,"Ages 6-8",0.353535353535354,0.550870067403903,0.361174765542441,61000.8995976959
"36",1981,"Ages 6-8",0.434343434343434,0.393874259455317,0.418134513798471,68268.2419956333
"39",1982,"Ages 6-8",0.46,0.415329515583979,0.43763142988665,104792.51320827
"42",1983,"Ages 6-8",0.383838383838384,0.602172676536428,0.378279386121974,112976.779636758
"45",1984,"Ages 6-8",0.24,0.340195477292592,0.262285020266209,70616.6584003304
"48",1985,"Ages 6-8",0.585858585858586,0.378045753321236,0.56206289883105,120594.365784906
"51",1986,"Ages 6-8",0.62,0.630546086527514,0.598376628754472,117267.081798072
"54",1987,"Ages 6-8",0.37,0.638066488583531,0.369759347440021,50937.7032289765
"57",1988,"Ages 6-8",0.55,0.37733228441951,0.51124754674221,60889.7169362057
"60",1989,"Ages 6-8",0.297029702970297,0.362438247720898,0.272900395299148,93008.7405177368
"63",1990,"Ages 6-8",0.55,0.462839461610305,0.546197770852308,126638.67976283
"66",1991,"Ages 6-8",0.51,0.339901862847416,0.486202306983611,64612.8980269032
"69",1992,"Ages 6-8",0.55,0.369047827095984,0.485113139368162,117247.700416879
"72",1993,"Ages 6-8",0.585858585858586,0.491717596479392,0.570075107240533,218645.078250643
"75",1994,"Ages 6-8",0.41,0.44532209139845,0.40489317190326,94531.3014754802
"78",1995,"Ages 6-8",0.5,0.464315363364035,0.491948344464768,82789.740226428
"81",1996,"Ages 6-8",NA,0.402491948315364,0.30234672397838,78013.0056506573
"84",1997,"Ages 6-8",NA,0.535568005901104,0.40019531547271,90011.339786769
"87",1998,"Ages 6-8",NA,0.458195341910768,0.317807703970863,78790.3074019574
"90",1999,"Ages 6-8",0.56,0.331780204357632,0.543526477140954,164922.714478879
"93",2000,"Ages 6-8",0.85,0.406991814974267,0.803174677524569,117281.335309784
"96",2001,"Ages 6-8",0.19,0.336832525366295,0.19212959467564,24355.2709428963
"99",2002,"Ages 6-8",0.52,0.319205545690939,0.499535990216244,68736.4128797894
"102",2003,"Ages 6-8",0.68,0.493164715143847,0.644376916405603,79612.3951643943
"105",2004,"Ages 6-8",0.287128712871287,0.300787821481416,0.291815648936106,37099.844866088
"108",2005,"Ages 6-8",0.584158415841584,0.388055205331097,0.575139462733237,44074.8097148307
"111",2006,"Ages 6-8",0.34,0.38498951054858,0.348370364331867,23986.9205354251
"114",2007,"Ages 6-8",0.42,0.401453614000656,0.420041406885424,22282.5169729387
"117",2008,"Ages 6-8",0.128712871287129,0.305558861421563,0.150083038803099,14718.6058390012
"120",2009,"Ages 6-8",0.34,0.405151519783897,0.332330595642604,79132.4720806155
"123",2010,"Ages 6-8",0.653465346534653,0.467849457447308,0.644472355082818,68871.0086658543
"126",2011,"Ages 6-8",0.303030303030303,0.301355872327245,0.305692139553082,24717.2474107966
"129",2012,"Ages 6-8",0.19,0.322862287787742,0.199665461367081,33399.0610992626
"132",2013,"Ages 6-8",0.44,0.289003251774687,0.436827232726866,87942.4267555871
"135",2014,"Ages 6-8",0.29,0.1329547699358,0.304443315695343,48886.9116668498
"138",2015,"Ages 6-8",0.67,0.27371247065457,0.647745399172291,80382.5594943779
"141",2016,"Ages 6-8",0.37,0.335495746069047,0.367960669155885,38992.928136987
"144",2017,"Ages 6-8",0.29,0.35965974629028,0.307283732318213,28994.4834853354
"147",2018,"Ages 6-8",0.23,0.37066337409298,0.250823032589868,31951.0962615758
"150",2019,"Ages 6-8",0.18,NA,0.218139939373612,37313.4752305875
"153",2020,"Ages 6-8",0.31,NA,0.349565580749392,21062.6367566511
"156",2021,"Ages 6-8",0.158415841584158,NA,0.189126993242038,14401.9304341816
"159",2022,"Ages 6-8",0.12,NA,0.136674538593722,24074.6254034515
