"","year","h.below2.5.","h.below25.","h.below50.","h.below75.","h.below97.5.","mu.hbelow2.5.","mu.hbelow25.","mu.hbelow50.","mu.hbelow75.","mu.hbelow97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5.","log.qS.mr2.5.","log.qS.mr25.","log.qS.mr50.","log.qS.mr75.","log.qS.mr97.5.","log.qS.weir2.5.","log.qS.weir25.","log.qS.weir50.","log.qS.weir75.","log.qS.weir97.5.","qS.weir2.5.","qS.weir25.","qS.weir50.","qS.weir75.","qS.weir97.5.","qS.mr2.5.","qS.mr25.","qS.mr50.","qS.mr75.","qS.mr97.5."
"11",1980,25941.7088371449,29378.2472489644,31502.3702665455,33693.6355380225,38290.5093661574,0.144504871110808,0.169836039308395,0.18477006096963,0.200213381705524,0.233404808045653,110942.881451799,128720.127796253,138886.807032171,149884.541956315,173297.54089386,142600.904671393,160062.322910191,170521.504980275,181798.08183833,204988.094985828,-0.356359327514475,-0.0631709632941311,0.0712051975774353,0.200284274868256,0.524835643162924,175351.126590014,197409.761702414,209389.629419484,222845.07288607,249099.854955176,12.0902412664832,12.2301779797718,12.301248162306,12.3713039520245,12.5040617282669,11.3445519133669,11.4660312261481,11.5286927486667,11.5944754857517,11.7100523973023,84503.8171512648,95418.830865505,101589.224407663,108496.748823371,121789.863638676,178125.077819622,204879.643283806,219970.376161408,235933.190666814,269429.416419575
"12",1981,40551.7443582179,46001.2356249735,49219.072343388,52608.1450836994,60015.2406462473,0.249197138035724,0.280756487334144,0.29881278742479,0.316941757245933,0.355050506751648,98412.8646363124,109513.942411518,115457.016910531,121997.610763446,134618.741162193,145666.953571879,158410.938462532,164928.60329026,172261.387216663,186059.614551194,-0.785262198871553,-0.486953249620083,-0.350403275529372,-0.224022648470922,0.080859085258717,104396.853593695,120596.457705194,129767.232168561,139643.958281696,160343.887674455,11.9811665079069,12.0690500411591,12.1148506039813,12.163203338604,12.2484879868371,11.2447500089989,11.3110394075388,11.3455324888919,11.3774945892466,11.4407751951997,76477.3588611943,81718.8035147159,84586.7140479411,87333.9530014832,93039.107654483,159718.235071853,174390.103353167,182563.001111618,191607.318132922,208665.545232154
"13",1982,103987.009279586,117489.827873373,125375.883638926,134410.512147776,151158.032886655,0.420786668042398,0.491129286027624,0.527425637665804,0.565091741294002,0.634333011184441,76930.9083643962,98231.6480121131,113282.317676609,127854.477942538,163368.942703305,196772.168839255,223181.692168478,239206.296453393,255827.820277113,294838.06291336,-0.64914475228717,-0.345106607629706,-0.211369270897323,-0.074199171971352,0.228475056058072,125091.998889295,139280.773121406,147669.637691261,156280.016249438,172353.845715925,11.7220929658014,11.9603022188984,12.0933644256047,12.214902590101,12.454019223667,10.9542587958831,11.1960778110569,11.3215646332182,11.4386234768277,11.6798167520083,57197.1182528492,72844.1722173002,82583.4566608607,92839.1300435468,118162.58213641,123265.148847346,156420.353432129,178682.260397138,201773.810240391,256278.297804359
"14",1983,99684.7227598605,113326.472179611,120706.632225522,128913.09347291,146473.381541843,0.338584051660136,0.380167333144354,0.405496533367313,0.430456315334584,0.479351627154364,142068.907266213,163889.261970651,177071.743076204,190629.771433154,221274.668051014,257929.731637327,283291.815843229,298509.4105691,314038.506293809,348694.056158989,-0.767922288235895,-0.429907930111701,-0.27205908521129,-0.110490583177881,0.218809368549559,122954.467750529,142983.166942265,154717.42130059,166302.67053778,192195.736711826,12.3396088600577,12.4682293719046,12.5421170588292,12.6124779206826,12.750802549116,11.5848906242145,11.7029693579501,11.7707800542418,11.8370660392986,11.9558288671594,107461.790950981,120930.267673372,129415.062507407,138284.168549892,155722.191064781,228572.53072362,259946.046116788,279880.235117286,300282.182795231,344828.527830516
"15",1984,82363.1248831897,94107.4890147994,100565.352573377,107393.401729274,121688.322809924,0.300963168718135,0.347067005790094,0.371658132716736,0.396453433643849,0.444990722375962,135920.381436472,157114.011096607,169897.653859046,183435.941510421,215115.747723415,231790.576551131,256950.841639694,271098.202372348,285889.311281911,316631.904960867,0.152929102201358,0.470096795873832,0.610187470115882,0.75938743554263,1.07009568567197,323178.134821202,355271.830700183,374492.543223733,393460.247348727,428703.715384248,12.2857746705955,12.4276228822587,12.5028991017732,12.5751689541261,12.7189915902631,11.5352602796156,11.665459491926,11.7283217494378,11.79701809687,11.9279064581587,102258.610421012,116478.209612173,124035.33331904,132855.599176365,151434.195827954,216592.865658028,249601.988716288,269116.352402871,289285.380092432,334031.838201627
"16",1985,110325.180921841,126055.156010353,134948.646278154,143641.906240959,163154.969564638,0.549769853275785,0.600195324155495,0.625329102761578,0.648126770047308,0.694713566345595,63505.9018587167,74621.7258526877,80659.2468958243,87376.3960920201,101339.522600752,186106.593167471,205493.976334179,215723.084935606,226932.201312918,249332.583055773,-0.316200807754328,-0.0394633371030491,0.0939151745078393,0.22856253110971,0.55757138968301,143167.52466553,161581.487847667,171901.646276206,182831.810152144,205829.136250309,11.5351439875064,11.6858601014591,11.7575094990171,11.8333540575438,11.9693213119333,10.7823683429383,10.9214455791468,10.9852994530226,11.0530827890851,11.1851716644194,48164.0629194284,55350.7550575523,59000.3970917736,63138.2970076921,72054.0396536316,102246.721585665,118878.842501538,127708.998067109,137771.81228627,157837.504499679
"17",1986,134461.481887581,151471.698459447,161614.828472388,172311.065507811,196046.532471034,0.794210447699034,0.818717528429495,0.831525490055219,0.842925961981221,0.8619830250846,27878.5701480104,31151.7267749027,32846.811300433,34710.290764196,38508.0722837503,166875.020616939,184501.568669169,194763.212118306,205754.81225903,229149.65907267,0.336433130112914,0.644250484286466,0.806154075380539,0.96417713527025,1.31963560004458,153638.021820537,174090.607367817,185160.073135478,196951.72897056,219697.52959976,10.7174350204695,10.8122280173938,10.8585217450508,10.9055575847611,10.9984494229075,9.98948383862251,10.0529679327983,10.0870944018758,10.1222776677282,10.1863171240127,21796.0461981881,23224.6137516931,24030.8668538278,24891.400662235,26537.580160568,45135.9813691853,49623.9082570926,51975.1887907735,54478.2924656339,59781.3742335381
"18",1987,58016.4542505658,65936.0043075905,70262.8505320188,74976.1428381478,86236.9101982388,0.432398522772436,0.483209711642874,0.508858831725414,0.534215131192123,0.58417568579115,54569.6906187347,62819.1503027587,67874.2844455658,73325.4972935726,85248.5665734472,120976.203131762,131884.941967467,138394.27870758,145761.503986316,161121.48823944,0.49089834658448,0.7576660785224,0.900465278360578,1.03977314821162,1.39421020522757,291600.683777884,328654.992762365,348201.018939793,368058.10980139,407597.002081837,11.3745605851363,11.5117335034159,11.5860691237257,11.6558001057485,11.8006460388777,10.6234402817368,10.7484801071646,10.8170543412584,10.8760625463358,11.0012056111021,41086.7225617647,46559.2097537856,49863.9884898847,52894.9181107183,59946.3708876656,87078.0903380758,99880.8750014423,107588.508613476,115358.518009094,133338.466961923
"19",1988,65606.5696514547,75569.5057736489,80366.5502622153,85735.5882940858,97403.1150753513,0.597428439500647,0.647043943038692,0.670422073195337,0.692927088434674,0.731467860514505,31336.1975413766,36627.3016196627,39579.154832141,42817.8600639622,49730.8013848937,103386.226460495,114601.673359362,120521.750472635,126335.742382993,138857.159293499,0.490934369010047,0.805861083590145,0.963349785445486,1.12069980192942,1.48381040298582,205497.933848137,235103.902079566,251362.229727385,268013.607426337,305695.087246132,10.826622075774,10.9739650557391,11.0436069680562,11.1164386057637,11.2568354121754,10.074082695219,10.2070929761105,10.2724900442514,10.3369395356999,10.4633501368445,23720.2102014955,27094.6880938118,28925.8241483366,30851.4656202752,35008.6391809385,50343.3632579658,58335.4387093723,62542.8354988384,67267.9116233246,77407.2266076657
"20",1989,123367.536118823,140731.161115994,150197.923206998,160172.635192712,180683.367045183,0.381356829440342,0.419662352162312,0.440346275555374,0.461506967134689,0.501515815922704,162737.609304201,180702.947673671,190298.755441255,200947.219202528,222291.248384865,301216.796297552,326413.988672661,341171.979460759,356063.11676099,383986.070756217,-0.384533886043031,-0.0416738295707724,0.115110447703103,0.282921513090722,0.616238241042672,194337.202135642,217131.742697148,229905.029065788,242730.53074522,267948.857608167,12.4799973252626,12.5700787869302,12.6165249498329,12.6612075314458,12.7516524467908,11.7458281205025,11.8103704708656,11.8453793736545,11.8781609237534,11.944855923665,126225.86006689,134641.432848682,139438.5628885,144085.322978856,154022.800917308,263023.148799283,287816.610424322,301499.896274305,315277.200192669,345121.730104941
