"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N[13]",120248.062960648,8962.41270842931,103519.048076523,114169.525573964,119928.953186448,125955.234212076,138926.577415238,1.00057214350698,3000
"N[14]",341459.897195072,21475.327736283,301130.753817105,326739.92531491,340622.431601695,355223.765675229,385278.373229627,1.00696482207166,310
"N[15]",233601.205953593,15974.1367555817,203673.19485934,222132.580316859,232902.465340556,243818.918730384,266394.114962808,1.00066323597335,3000
"N[16]",134058.785520403,8563.28054015966,117381.988604565,128176.255026452,133907.761434127,139672.404603627,151269.866233379,1.00189858709275,1400
"N[17]",243636.119086426,15217.9479734715,214903.486569845,233404.227493771,243038.715997577,253463.124695186,275259.355222657,1.00194956036687,1400
"N[18]",384654.300066857,24117.4370751681,340312.742121295,367552.021592674,384048.668788468,401001.95283976,433828.929710542,1.00431517600146,530
"N[19]",234491.260653062,15140.8918794452,205824.865038812,224229.238635098,233775.273510457,244337.155656207,266126.197877956,1.00156513666192,1900
"N[20]",169559.839545781,10964.9116266592,149371.696474246,161974.176790231,169286.447720792,176493.421242777,192322.430017546,1.00415263306289,550
"N[21]",259792.882962834,19254.0182419755,223884.31647061,246353.011388178,258809.385724177,272834.538735056,298874.389879018,1.00424908576439,540
"N[22]",226614.525697581,17594.6238022751,195268.902300744,214136.734234042,225945.207090744,237781.914119274,262470.952010919,1.00109741003956,3000
"N[23]",249685.202449076,17382.0884011583,216815.861985884,237965.794599511,249082.300767329,261384.870344694,285189.871334948,1.0014035417363,2200
"N[24]",303958.383571921,17161.9176333125,272253.942876151,292114.51365534,303248.17948281,315359.885775528,340558.75329074,1.00237957624888,1100
"N[25]",146922.510322348,9275.04572983473,129642.638045263,140387.395651903,146882.252690314,153211.883173052,165202.842574117,1.00267188799147,920
"N[26]",127112.710588164,7804.22777487604,112895.443015593,121721.915689781,126773.073942797,132369.553910029,143065.602546801,1.00092973992157,3000
"N[27]",138518.569399912,10051.3422324031,120387.025537415,131595.380067807,138043.691859629,145055.131555662,159855.042117354,1.00063712064458,3000
"N[28]",124272.705855991,7438.16406471431,110351.813065904,119255.048716272,123956.808663153,129069.34736756,139522.093642564,1.00165442712417,1700
"N[29]",127978.118228426,7393.2975809189,114274.693986758,122986.193031932,127856.5259074,132721.065465375,143271.378878661,1.00230848660204,1100
"N[30]",77467.1545781819,5657.51525620116,67131.7623625749,73465.210498772,77223.8496606396,81122.7712461528,89188.8473331358,1.0011114212708,3000
"N[31]",69181.0781567607,6940.77741272978,56793.8365948373,64149.0507409493,68969.1891164458,73618.4448476499,83526.6482824346,1.00140200170079,2200
"N[32]",53436.4843517016,3549.37818477329,46512.859529928,51013.5584771963,53394.0072145368,55730.8705880243,60386.9527063685,1.00102638751028,3000
"N[33]",99156.3959530167,6110.74353637916,87337.4360746002,94982.3301725435,98977.6005559145,103099.247751645,111313.446729956,1.00217137106195,1200
"N[34]",238066.013048829,10815.2686649301,217779.542870066,230721.796512592,237726.535254048,245098.069299459,260500.576054181,1.00113542028919,3000
"N[35]",106967.371421862,5449.45076546388,96820.5293655661,103123.49750072,106851.898624519,110583.058281174,118061.454925512,1.00104397850154,3000
"N[36]",81009.6504601058,3299.65899035677,74680.6310336832,78731.3853842597,80991.0847028576,83190.427558924,87535.840837399,1.00228674890583,1100
"N[37]",169333.17015451,9958.94762920528,150934.312213167,162619.707802462,168945.9785784,175894.719602861,189868.185832182,1.00160252895354,1800
"N[38]",202368.160338648,11856.2634169286,180666.515025501,193951.879717076,201912.486555361,210077.680741376,226673.283451347,1.00113635752264,3000
"N[39]",160832.976115867,8667.25296669173,144726.741639741,154975.155656151,160594.543306678,166627.020707903,178473.347953266,1.00096740437607,3000
"N[40]",127676.927421214,9147.18091972027,110148.013419206,121476.275275052,127368.176831691,133695.048436848,146460.296010447,1.00110033249528,3000
"N[41]",107902.341367227,6213.73624024316,96164.2230933566,103707.188292212,107706.598807237,112012.846294539,121040.636301973,1.00077820355441,3000
"N.ya[1,1]",7696.38216537229,3070.15035841102,2866.29032903043,5443.36574776778,7278.13047117865,9544.50490542655,15026.996055744,1.00290723003918,1600
"N.ya[2,1]",3924.55528244849,1900.34964557375,1133.76823898292,2517.40457799044,3642.9322490812,5011.26204767722,8480.53407092205,1.00269311068198,910
"N.ya[3,1]",10475.717258918,3812.93695663432,4370.18607456071,7689.16102108953,10055.518298263,12699.5347556277,19110.4617978065,1.00209307940797,1300
"N.ya[4,1]",5497.79032979131,3049.13150709251,1182.12775961192,3207.40932845346,4946.50973541641,7207.56788232949,12866.1975401522,1.00057054451168,3000
"N.ya[5,1]",4461.51911410669,2502.1237373246,952.889729333808,2620.25403202588,4012.87833773957,5873.84474892429,10586.8934358633,1.00101504708232,3000
"N.ya[6,1]",3049.78042072288,2013.82968674691,426.602408725609,1570.11313735661,2641.87762755527,4093.49832271965,8118.28237520767,1.00252222404401,1100
"N.ya[7,1]",8277.0277441478,4035.23399464772,2222.88597143441,5393.89975376386,7560.72782075307,10512.0647349415,17581.7076185963,1.00056077279076,3000
"N.ya[8,1]",15493.3629353354,6077.35897666024,5870.70635776128,11053.1072387081,14770.7274308205,19022.1644087191,29298.295228769,1.00277143547209,1100
"N.ya[9,1]",6337.99079510447,3407.38120682659,1489.03761955619,3834.69672318808,5720.1868996054,8284.87162966403,14315.8171887151,1.00104424911453,3000
"N.ya[10,1]",4713.95119133554,2590.41291831585,1120.06522866898,2786.80922930455,4259.11484305315,6115.57719371489,10699.8355137502,1.00113402702084,3000
"N.ya[11,1]",4835.30834013025,2654.63082107985,1127.09019117012,2910.17478353895,4334.09774260817,6328.61265766179,11296.2145957933,1.0011641448309,3000
"N.ya[12,1]",4820.46513150471,2323.33536130137,1455.61591108023,3108.49824851165,4469.45007059058,6112.84700023854,10313.5618310958,1.00148847919564,2000
"N.ya[13,1]",3408.80475305114,1887.95323225556,787.511786168451,2000.88815599349,3102.48718878518,4420.68039224169,8139.63646291992,1.00211357112386,1200
"N.ya[14,1]",5340.68413990816,3507.7528322089,745.317633443678,2720.10985565862,4614.34170484098,7179.56137897614,13956.5759017545,1.0006157315988,3000
"N.ya[15,1]",3833.83235216103,2586.92216525076,535.442027181797,2000.18098881819,3234.57885322898,5036.9290342645,10297.7538524312,1.00162229457874,1800
"N.ya[16,1]",3788.32445176407,2033.45159714811,854.079699835752,2304.0486777903,3472.28403613975,4888.82803327892,8691.83799687573,1.00202821413279,1300
"N.ya[17,1]",4324.59783837685,2819.02663938286,604.38823214883,2232.43587397431,3727.05933400309,5862.63620753829,11105.0418702973,1.00213177889076,1200
"N.ya[18,1]",12191.5666592943,5802.11328570979,3497.47966253207,7946.69451539048,11272.2460259882,15486.0790409391,25831.8748550545,1.00225431181574,1100
"N.ya[19,1]",5549.40308226275,3079.70789221799,1270.57601987759,3332.7870576131,4973.12421800674,7078.18692645371,12999.0746527059,1.00144468502135,2400
"N.ya[20,1]",7213.04362375994,3134.10818956763,2409.48042310335,4873.09103988438,6851.16846511839,9099.25107273407,14475.7557684038,1.00086259280824,3000
"N.ya[21,1]",13369.0002426899,14413.9122048167,453.512986759626,3944.32859452345,8732.90430313979,17527.3712871388,53976.4724627503,1.00099046400771,3000
"N.ya[22,1]",14046.5686320935,12688.312216908,534.517676468084,4827.63441854225,10400.9660298299,19398.9616644052,46829.8968736919,1.00154191479055,1900
"N.ya[23,1]",10566.2276752903,10291.103057579,388.196096034531,3611.28182734936,7719.2950571524,14321.4722174648,36936.9832810294,1.00071653347198,3000
"N.ya[24,1]",3078.76008919118,2042.66541153233,444.324003083744,1591.13178375654,2592.29285564004,4124.9329813058,8135.04251802525,1.00361698532813,920
"N.ya[25,1]",3800.93453439177,2109.65839124353,906.88804425996,2270.53350851123,3407.15776183627,4922.38228464181,9066.76703103624,1.00082284336122,3000
"N.ya[26,1]",4366.93234450388,2125.90479741631,1277.00962429277,2779.38454522546,3989.94655917718,5636.2581437531,9481.47728514224,1.00056667084695,3000
"N.ya[27,1]",3934.32278530534,1927.18477574337,1119.16179466619,2522.37070775283,3637.11894261361,4973.49867163928,8520.72398703774,1.00081848220711,3000
"N.ya[28,1]",4217.14943587522,2008.65621960014,1294.55436226797,2770.74203139812,3874.19055946892,5304.43269788556,9082.52462628036,1.00101357822848,3000
"N.ya[29,1]",5195.05250612471,2112.19659815335,1886.01702636539,3660.28868823266,4919.16340287545,6402.88444202516,10093.4463972898,1.00149069250117,2000
"N.ya[30,1]",2424.89196859773,1173.44269609892,684.355112690466,1559.70211628399,2235.94527236622,3084.16550668645,5186.65017423919,1.00066303736055,3000
"N.ya[31,1]",3787.5074981973,1442.28692216988,1542.79506896928,2762.05396182195,3560.10320440501,4615.35955082459,7258.48551121795,1.00331623524503,710
"N.ya[32,1]",2985.73647234728,1174.16223156686,1103.16676663697,2125.50562576795,2824.11128891493,3669.68846950508,5716.94695541968,1.00140714044629,3000
"N.ya[33,1]",5256.02487260904,2076.47002380787,1935.95020729035,3775.38750968247,4981.97270947836,6479.2714952826,9917.09949843856,1.00081148575783,3000
"N.ya[34,1]",4180.46134458716,2318.00509022893,925.787371972661,2511.50239741561,3789.3855838739,5413.86405812458,9683.48158555039,1.00245776908582,1000
"N.ya[35,1]",3325.58891500936,1627.78897866652,971.28876487392,2149.84984862415,3071.5490870512,4190.23427166963,7079.87480727293,1.00116917962424,3000
"N.ya[36,1]",6638.27422926905,2101.42261690319,3159.778856909,5105.1179055146,6433.16094442775,7929.21291491482,11222.1789470301,1.0009717390295,3000
"N.ya[37,1]",9675.68897101876,3607.6952926767,3937.52664733781,7025.32480087159,9268.5544690533,11893.9955524091,17845.2917623498,1.00111667270388,3000
"N.ya[38,1]",11786.0224289857,4282.23279418412,5025.66917928951,8735.30980975741,11190.36572324,14368.2817473706,21528.1701589476,1.001246933898,2700
"N.ya[39,1]",5502.01607833946,2419.81743421082,1958.22207630135,3738.65230054573,5184.90790008642,6860.77409825085,11289.317798386,1.00076314882238,3000
