"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"variable","0%","2.5%","5%","50%","95%","97.5%","100%","mean","sd"
"Smsy_lambert.c","  47039.56","  65565.88","  68985.93","  96257.00"," 193835.67"," 260869.13","5107785.41"," 114361.23"," 123762.72"
"Umsy_lambert.c","0.22804326","0.34865144","0.37833876","0.52317981","0.66430663","0.69878492","0.87889463","0.52209626","0.08808036"
"Smsy_lambert","  19955.05","  56284.74","  60246.51","  83428.19"," 156254.79"," 204213.87","3199829.31","  95641.79","  83497.93"
"Umsy_lambert","0.11261902","0.26063201","0.28981425","0.45121002","0.59405725","0.61806605","0.75417727","0.44829643","0.09199234"
"beta","7.761999e-08","1.604134e-06","2.240746e-06","5.419491e-06","8.592072e-06","9.325491e-06","1.265236e-05","5.411898e-06","1.940413e-06"
"lnalpha.c","0.4868700","0.7773618","0.8536987","1.2637956","1.7558638","1.8987158","2.9899889","1.2788376","0.2846551"
"MSY","   3548.48","  28908.22","  35960.92","  71921.65"," 134449.48"," 162664.58","1456225.58","  78427.40","  50822.20"
