"","year","date","total_count","imputed"
"1","X1988",121,0,TRUE
"2","X1989",121,0,TRUE
"3","X1990",121,0,TRUE
"4","X1991",121,0,TRUE
"5","X1992",121,0,TRUE
"6","X1993",121,0,TRUE
"7","X1994",121,0,TRUE
"8","X1995",121,0,TRUE
"9","X1996",121,0,TRUE
"10","X1997",121,0,TRUE
"11","X1998",121,0,TRUE
"12","X1999",121,0,TRUE
"13","X2000",121,0,TRUE
"14","X2001",121,0,TRUE
"15","X2002",121,0,TRUE
"16","X2003",121,0,FALSE
"17","X2004",121,0,TRUE
"18","X2005",121,0,FALSE
"19","X2006",121,0,FALSE
"20","X2007",121,0,TRUE
"21","X2008",121,0,TRUE
"22","X2009",121,0,TRUE
"23","X2010",121,0,TRUE
"24","X2011",121,0,TRUE
"25","X2012",121,0,TRUE
"26","X2013",121,0,TRUE
"27","X2014",121,0,TRUE
"28","X2015",121,0,TRUE
"29","X2016",121,0,TRUE
"30","X2017",121,0,TRUE
"31","X2018",121,0,TRUE
"32","X2019",121,0,TRUE
"33","X2020",121,0,TRUE
"34","X2021",121,0,TRUE
"35","X1988",122,0,TRUE
"36","X1989",122,0,TRUE
"37","X1990",122,0,TRUE
"38","X1991",122,0,TRUE
"39","X1992",122,0,FALSE
"40","X1993",122,0,TRUE
"41","X1994",122,0,TRUE
"42","X1995",122,0,TRUE
"43","X1996",122,0,TRUE
"44","X1997",122,0,TRUE
"45","X1998",122,0,TRUE
"46","X1999",122,0,TRUE
"47","X2000",122,0,TRUE
"48","X2001",122,0,FALSE
"49","X2002",122,0,TRUE
"50","X2003",122,0,FALSE
"51","X2004",122,0,TRUE
"52","X2005",122,0,FALSE
"53","X2006",122,0,FALSE
"54","X2007",122,0,TRUE
"55","X2008",122,0,TRUE
"56","X2009",122,0,TRUE
"57","X2010",122,0,TRUE
"58","X2011",122,0,TRUE
"59","X2012",122,0,TRUE
"60","X2013",122,0,TRUE
"61","X2014",122,0,TRUE
"62","X2015",122,0,TRUE
"63","X2016",122,0,FALSE
"64","X2017",122,0,TRUE
"65","X2018",122,0,TRUE
"66","X2019",122,0,TRUE
"67","X2020",122,0,TRUE
"68","X2021",122,0,FALSE
"69","X1988",123,0,TRUE
