,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,
0%,1.24218E-07,0.004654882,0.351032183,83854.6709,75621.03723,0.16689044,34562.79887,34770.66073,0.167595457,
2.50%,1.45393E-06,0.418718802,0.699099734,113237.2053,158953.4226,0.315338036,64663.95791,64833.75326,0.317340562,
50%,5.09132E-06,1.058383887,1.281842066,196412.7868,248577.094,0.525902697,101400.5191,101894.6686,0.528982351,
97.50%,8.83106E-06,1.663559738,2.014058832,687823.6532,790227.2762,0.723078887,314639.3611,315195.5567,0.724584273,
100%,1.19254E-05,2.559385703,3.881495549,8050385.307,13956804.63,0.89272169,3446224.922,3596663.562,0.946850423,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,64833.75326,101894.6686,315195.5567
,,,,,,,,0.317340562,0.528982351,0.724584273
