"","Mean","SD","Time-series SE","2.5%","50%","97.5%"
"D.scale",0.184636301338299,0.0200370436729057,0.000365903673034468,0.148580207006965,0.183525971822182,0.22794934306499
"D.sum",30.3802428478142,6.63723042446279,0.121203628366507,19.2452404320446,29.6896402436952,45.2979028704453
"H.below[1]",59166.7652901268,5949.97438908781,112.617913380433,48413.407208519,58845.3785249311,71942.7691184394
"H.below[2]",43153.5865878981,4346.39602167807,76.6358496446625,35380.1915273695,42844.3256998325,52349.5437542534
"H.below[3]",89044.7857812698,8552.87151994521,150.742056944051,72987.9218802219,88640.3077712803,106958.606789079
"H.below[4]",113239.337876709,11129.4040005725,195.680613574887,93523.5686356989,112563.246765641,135967.591857647
"H.below[5]",31817.998745187,3196.96263519791,58.9155411208824,25926.4727272069,31655.7216630044,38501.6619377059
"H.below[6]",49598.1411010678,4940.21265453947,94.4696585356727,40588.4202713777,49360.4200501727,59658.6642241092
"H.below[7]",126264.560063291,12227.3630682011,223.251255360476,104386.655359389,125623.54891445,152474.624049651
"H.below[8]",121890.199984112,12076.9283699554,225.419552973476,101096.578958464,121065.528512889,148033.790497499
"H.below[9]",100952.266692142,10090.8976373943,183.985009715314,82705.6561956844,100431.580797815,122525.195686071
"H.below[10]",135557.011796026,13232.804329988,241.652357798695,111843.625935745,135067.378552573,162462.890692932
"H.below[11]",162530.942123988,15531.2012682582,290.95750515371,133570.347149762,161703.505182648,195282.232052087
"H.below[12]",70640.6890759578,6803.85552905221,131.16109615056,58290.6107965894,70329.1590549191,85002.2582828449
"H.below[13]",80649.4673779457,7956.34301341761,145.100588838812,66234.9719076538,80224.7016714028,97204.8490249436
"H.below[14]",150961.495075418,14927.8549076524,282.246547652941,124258.775545914,150552.915534546,181011.474807912
"H.below[15]",151428.655420946,14884.8056244263,271.777536430022,123919.291299156,151241.323989163,181667.74074819
"H.below[16]",63294.4531599296,6348.27122011404,110.847876391063,51933.8979900996,62918.8239180065,77341.1984059642
"H.below[17]",112906.472918845,11097.8561460738,203.784167168766,92965.8997739464,112280.612684174,135978.517833453
"H.below[18]",101842.335421236,10179.236525455,185.854358566228,83339.7184491487,101284.636048302,123075.299731206
"H.below[19]",127583.904221258,12675.9199226345,242.323299672776,104479.643993299,127041.442837416,153459.88709629
"H.below[20]",70407.5556047914,7098.45479316316,137.700511364044,57857.097220799,70072.5078480129,85261.4323232666
"H.below[21]",98549.0028028164,9662.98821866817,172.948280071571,80540.5013821594,98259.0086885257,118302.002700652
"H.below[22]",74637.0081222871,7388.64349218067,131.455800990996,61288.1635286626,74315.3422116233,90074.5821534542
"H.below[23]",114630.86243302,11346.7076417025,207.219103499927,93945.0450835642,114130.692870324,138487.407086911
"H.below[24]",148040.692089622,14399.4560308271,247.53930188665,121230.999206877,147523.69666597,177989.40074053
"H.below[25]",80177.8801995891,7950.88973748222,145.177693452526,65771.4135239758,79817.7704494054,97566.8360588502
"H.below[26]",60152.2898944119,5823.83915033493,100.815222171687,49384.7620338129,59932.39106882,71983.8851805534
"H.below[27]",48275.6232838456,4830.56020226103,89.957714579039,39693.9427157664,47962.1526579984,58295.623704648
"H.below[28]",50081.3572659695,4818.09092308893,88.3791007428752,41499.0151701366,49930.5571349841,59893.6089087036
"H.below[29]",50539.6837867019,4899.54086016325,89.4319173703766,41196.9295840777,50349.3142397906,60461.3206770358
"H.below[30]",23325.3562857677,2338.84524911218,44.1793097959777,19051.0504349157,23228.9382914255,28238.5530898307
"H.below[31]",16084.8316066517,1612.74162249928,28.6594843788677,13125.4483229959,15999.7688235627,19380.8619227503
"H.below[32]",14509.7884833752,1474.52298168784,26.489163669641,11841.5211601434,14425.171703535,17659.2609584515
"H.below[33]",22699.5755319267,2294.58122801074,41.9031215011401,18599.2647283928,22606.9598574458,27611.8385460459
"H.below[34]",83470.7477998469,8095.8864322902,145.784539999379,68920.6303352819,83020.0033305077,100582.221643698
"H.below[35]",49295.2359292659,4954.11119894879,90.471229525195,40275.3466067931,49063.9692080993,59747.1491677649
"H.below[36]",15848.1691926029,1593.75354912925,27.2961501609319,12887.3467208329,15757.2480024719,19056.2511921788
"H.below[37]",54933.0206142345,5387.91194910534,103.56761796067,45145.0498801393,54627.4996517648,66516.242970893
"H.below[38]",75204.0818552796,7151.97736059769,118.274485625245,61852.2750878555,74751.4714565909,89644.1863583542
"H.below[39]",83197.7178877972,8246.58309650555,150.471752411813,67987.9192818167,82661.2425625219,100255.868053901
"H.below[40]",33615.3290494555,3276.21186654584,59.7221079631212,27756.614922747,33464.7441786136,40663.7548133355
"H.below[41]",36315.7447351253,3643.07074840343,64.1538612697637,29711.0976965655,36126.4158757597,43903.663761514
