Year,SMSY,UMSY,SMAX,SEQ,S_mean,S_sd,S_MC_error,S_val2.5pc,S_median,S_val97.5pc,R_mean,R_sd,R_MC_error,R_val2.5pc,R_median,R_val97.5pc,N_mean,N_sd,N_MC_error,N_val2.5pc,N_median,N_val97.5pc,qS_mr_mean,qS_mr_sd,qS_mr_MC_error,qS_mr_val2.5pc,qS_mr_median,qS_mr_val97.5pc,qS_weir_mean,qS_weir_sd,qS_weir_MC_error,qS_weir_val2.5pc,qS_weir_median,qS_weir_val97.5pc,log.resid_mean,log.resid_sd,log.resid_MC_error,log.resid_val2.5pc,log.resid_median,log.resid_val97.5pc,mu.HB_mean,mu.HB_sd,mu.HB_MC_error,mu.HB_val2.5pc,mu.HB_median,mu.HB_val97.5pc,DIDSON,mr,weir,lnalpha,beta,lnalpha.c
1970,98369.54,0.54,185726.31,240618.31,,,,,,,138188.4002,31581.79491,589.0020627,85674.26027,135417.428,207684.2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099384692000000,0.000005380000000,1.3017722
1971,98369.54,0.54,185726.31,240618.31,,,,,,,138115.4258,12972.30843,243.0227044,115308.932,137247.0456,165483.4619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,98369.54,0.54,185726.31,240618.31,,,,,,,147869.5454,12939.33925,227.9875978,123596.1353,147153.3363,173853.6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,98369.54,0.54,185726.31,240618.31,,,,,,,169503.5892,14885.93051,271.7193271,142042.6363,169097.9738,199882.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,98369.54,0.54,185726.31,240618.31,,,,,,,238810.1787,19458.78232,355.3806705,203627.9141,237822.6303,278973.7822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,98369.54,0.54,185726.31,240618.31,,,,,,,177685.267,16749.50813,305.8842482,146839.1318,176964.5961,213553.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,98369.54,0.54,185726.31,240618.31,95343.19,7656.850927,139.3173594,81375.09045,95136.62461,111247.9415,204358.5973,20077.12884,369.2480893,168155.0081,203223.4698,246199.7375,154554.3246,9510.794804,173.6371478,136533.7332,154300.621,173290.7705,150884.7651,10344.55656,183.2074049,131520.7473,150392.5736,172873.3281,69696.13344,3412.158998,62.31762013,63265.04091,69654.16389,76444.78001,0.176371966,0.209003974,0.003889345,-0.246423733,0.174651857,0.587951595,0.383175263,0.030306222,0.000553454,0.324608723,0.382790253,0.444229974,NA,NA,"69,729",,,
1977,98369.54,0.54,185726.31,240618.31,73457.84848,8544.293773,156.0291946,58331.48724,73023.79968,91597.24248,247611.6983,26029.09892,475.2111803,200640.5125,246450.143,302139.3323,116481.233,9402.267871,168.9442332,99904.06411,115913.9223,136136.866,116269.0823,12790.68318,226.1161221,92767.47906,115681.1928,143805.3474,53700.09329,5245.218454,92.9924938,44195.94556,53460.44306,64464.90059,0.513203261,0.226699726,0.004139976,0.066552604,0.51492372,0.958440286,0.370510001,0.036207376,0.000651354,0.302829477,0.369522592,0.444697156,NA,NA,"50,363",,,
1978,98369.54,0.54,185726.31,240618.31,92199.46604,7545.260248,137.7832885,78443.86589,91987.99809,108275.4368,247285.2624,25357.71235,487.7931752,200325.3834,246149.0147,299949.1399,180852.9169,11327.36044,201.9388212,160147.2872,180618.3596,204270.4157,145917.706,10349.97639,189.0135802,126738.0484,145313.3844,167303.153,67397.82323,3446.083337,64.01712013,60922.35315,67324.75943,74449.25906,0.383079461,0.21204976,0.003996878,-0.034833409,0.389277412,0.799160124,0.489854266,0.032518654,0.000609297,0.425479013,0.490570625,0.552509776,NA,NA,"67,528",,,
1979,98369.54,0.54,185726.31,240618.31,109719.0832,8869.604438,161.9121286,93147.00955,109326.2255,127961.9642,330703.2787,25762.92924,470.5203212,282757.4291,329703.8694,383047.7581,222464.8526,14425.45166,263.3519046,195952.7896,221780.9484,251208.5731,173628.1183,11898.19626,203.6107393,150969.3089,173183.1447,197780.1468,80204.60372,3988.081573,68.77278836,72706.24819,80025.03589,88329.80812,0.596772471,0.201845355,0.003692015,0.184441619,0.599285194,0.969113635,0.506351108,0.031746127,0.000579716,0.444205662,0.50656588,0.567644797,NA,NA,"80,588",,,
