"","Chain.1","Chain.2","Chain.3"
"8011000",5.29486775553421e-06,7.69312337494349e-06,7.04960647441276e-06
"8012000",4.01393497466601e-06,6.75225107413231e-06,4.01315463126406e-06
"8013000",7.50594236547118e-07,5.69487194835802e-06,3.40864847092831e-06
"8014000",5.32344939651418e-06,6.93794812324683e-06,6.83808856183018e-06
"8015000",8.13648130535777e-06,4.69246446276891e-06,7.29289652768625e-06
"8016000",7.44499453509533e-06,5.22982866617347e-06,5.78687511573218e-06
"8017000",9.29929082585809e-06,5.46685619016472e-06,9.61340890418778e-06
"8018000",5.5585271316013e-06,5.00167945461258e-06,7.26754083757555e-06
"8019000",6.22238611305007e-06,2.92054622956691e-06,1.0939495481116e-05
"8020000",5.22432730218888e-06,5.33093534433344e-06,2.65997110511762e-06
"8021000",4.36564286448798e-06,1.14131299209644e-05,6.25359564665661e-06
"8022000",5.20082081306768e-06,2.21852625496879e-06,2.84112709045565e-06
"8023000",6.37822227719332e-06,4.78544740919755e-06,3.51795404450505e-06
"8024000",7.0047454905268e-06,1.33205960881013e-06,6.0397789971306e-06
"8025000",2.37705629318593e-06,3.67491384758685e-06,6.09567491540676e-06
"8026000",7.99931957424532e-06,4.72682253577885e-06,2.17086409036662e-06
"8027000",8.96448293994732e-06,4.46286121685822e-06,6.29440156847024e-06
"8028000",2.63127638532232e-06,5.33710865462085e-06,5.96875038423734e-06
"8029000",7.65777577901803e-07,7.93392438770195e-06,3.88152785462774e-06
"8030000",8.22068628100983e-06,4.43454732751755e-06,3.81361307552141e-06
"8031000",5.02412219984998e-06,4.3994829858311e-06,5.64202985032415e-06
"8032000",4.43092354413133e-06,3.49952776671573e-06,5.22488221838513e-06
"8033000",4.55513475301847e-06,7.32016220926605e-06,7.62309764882549e-06
"8034000",5.63005269549009e-06,5.83606691085979e-06,6.51318475028527e-06
"8035000",7.00006689764233e-06,5.18653445381994e-06,4.5602981859546e-06
"8036000",6.1757415819403e-06,5.29314888868e-06,4.2828524485257e-06
"8037000",6.55594951912633e-06,8.75709986826343e-06,4.62057584352243e-06
"8038000",2.32782546461001e-06,7.2900662381941e-06,4.28287213150651e-06
"8039000",7.23144555744101e-06,4.92951972525239e-06,7.38402112089863e-06
"8040000",2.18671830754094e-06,5.5905797990092e-06,6.8117519785666e-06
"8041000",6.3087930893494e-06,7.71516775249381e-06,9.07454502641291e-06
"8042000",5.91090835026279e-06,3.45400963627853e-06,3.03160616651133e-06
"8043000",9.07204888821069e-06,6.61062416774196e-06,5.59424409582339e-06
"8044000",5.05221018431666e-06,5.6421086622851e-06,5.55699184768883e-06
"8045000",6.89593783309219e-06,5.34038606646741e-06,4.55787019539839e-06
"8046000",5.72351490102423e-06,2.98625107785442e-06,6.43661111344916e-06
"8047000",7.35574702482898e-06,3.66935701454069e-06,7.63856989540476e-06
"8048000",6.67002595443855e-06,2.4973661511146e-06,6.59078242532872e-06
"8049000",4.7286020170966e-06,5.45961620657217e-06,5.02190935290701e-06
"8050000",5.15250400862808e-06,4.91601947545498e-06,4.42212093540619e-06
"8051000",2.42553131911945e-06,6.01995663432906e-06,3.84426700055416e-06
"8052000",4.30348919680888e-06,6.32131275652645e-06,1.46407345268865e-06
"8053000",4.73033399800993e-06,4.4331041134412e-06,3.53659307221609e-06
"8054000",4.10776973855423e-06,6.53060539057007e-06,7.46676277642825e-06
"8055000",6.38975769225113e-06,4.14464291752004e-06,3.61760967810056e-06
"8056000",7.50733665044959e-06,5.46226658788774e-06,6.85395724547309e-06
"8057000",5.88982021541786e-06,7.62293196656252e-06,4.72256011945103e-06
"8058000",6.04140657197085e-06,6.38154221275754e-06,4.54998796817674e-06
"8059000",3.51252642241265e-06,3.41169632531329e-06,5.95653136131782e-06
"8060000",8.1214705267031e-06,4.74086304449458e-06,4.71931404041636e-06
"8061000",2.37265372366304e-06,5.25620050278841e-06,3.01600867236754e-06
