"","     beta","   lnalpha","  lnalpha.c","    S.max","    S.eq.c","U.msy_Hilborn","S.msy_Hilborn"," Smsy_lambert"," Umsy_lambert"
"","Min.   :2.469e-09  ","Min.   :0.02979  ","Min.   :0.2994  ","Min.   :    81976  ","Min.   :    81539  ","Min.   :0.1434  ","Min.   :    38623  ","Min.   :    38795  ","Min.   :0.1439  "
"","1st Qu.:4.144e-06  ","1st Qu.:0.92221  ","1st Qu.:1.1217  ","1st Qu.:   149710  ","1st Qu.:   207250  ","1st Qu.:0.4728  ","1st Qu.:    83999  ","1st Qu.:    84437  ","1st Qu.:0.4758  "
"","Median :5.356e-06  ","Median :1.09566  ","Median :1.3028  ","Median :   186692  ","Median :   240774  ","Median :0.5326  ","Median :    97780  ","Median :    98370  ","Median :0.5357  "
"","Mean   :5.431e-06  ","Mean   :1.09774  ","Mean   :1.3203  ","Mean   :   355679  ","Mean   :   367972  ","Mean   :0.5317  ","Mean   :   154180  ","Mean   :   155093  ","Mean   :0.5346  "
"","3rd Qu.:6.680e-06  ","3rd Qu.:1.27475  ","3rd Qu.:1.4839  ","3rd Qu.:   241313  ","3rd Qu.:   290207  ","3rd Qu.:0.5878  ","3rd Qu.:   118813  ","3rd Qu.:   119424  ","3rd Qu.:0.5907  "
"","Max.   :1.220e-05  ","Max.   :2.74703  ","Max.   :3.7775  ","Max.   :404980300  ","Max.   :290038575  ","Max.   :0.8928  ","Max.   :130478911  ","Max.   :131314433  ","Max.   :0.9413  "
