"","Chain.1","Chain.2","Chain.3"
"6011000",161006.773479875,89245.4603749021,101095.952857663
"6012000",82911.0886210285,110605.246844715,93118.1818192755
"6013000",112011.208448616,77543.9026483677,186279.108660366
"6014000",113319.692867908,104709.056669934,101510.498229827
"6015000",77439.8961895603,81537.8870744309,85728.5381271812
"6016000",84959.0849339989,367280.863987102,352881.236333002
"6017000",166185.157148722,166569.831140935,130444.566418109
"6018000",69907.8614451709,135984.073063742,189495.641816393
"6019000",107488.410422596,94257.4867763757,91297.3308116155
"6020000",124783.850087504,104000.288886962,73619.0120938005
"6021000",105499.586163758,97816.9684455745,91620.7445986571
"6022000",96337.2589136018,125187.918184765,89393.5998773341
"6023000",138862.565921393,90654.9646222425,90940.4384016602
"6024000",179236.34511387,111574.305546015,104663.994563506
"6025000",139587.096088666,106049.948146517,98430.4306704154
"6026000",60018.5079945177,140893.705310607,449707.639626793
"6027000",92716.8970701879,624173.433989411,77650.8135346858
"6028000",64609.6447793824,66792.7114136092,88618.5650046928
"6029000",85718.3330571517,79826.9326541276,76986.0329458183
"6030000",114045.07534106,92372.4339411769,103073.401872867
"6031000",88301.1470884633,154637.777151061,95821.0422536672
"6032000",109392.242546383,110877.58025309,123014.924951458
"6033000",82434.8408661648,99084.2753998126,100937.894743752
"6034000",120387.764747585,97953.7918670595,135050.092496783
"6035000",59125.7865669327,92934.3786133349,149750.869724021
"6036000",88625.1440854632,117027.900392347,107533.011099956
"6037000",80830.2578452824,119120.939493648,105434.584267572
"6038000",110793.005954212,152261.848252344,110642.91865543
"6039000",160218.057599908,117078.1774691,94198.0672600642
"6040000",91191.9236882135,67779.9752028379,84052.2408157319
"6041000",181567.423327036,85189.5026424852,99503.0798548166
"6042000",85993.9141270968,87423.7503281028,517400.582761796
"6043000",150714.469521235,101316.103192215,76929.8260948829
"6044000",73530.5119459817,78653.4984481503,132131.287288004
"6045000",228336.969790104,85941.5910713117,97346.0324066538
"6046000",83173.2234300043,129090.971953631,115547.565933253
"6047000",80502.9533904771,116061.67231381,137233.052184896
"6048000",76825.5723331246,95237.1057384613,114647.26310662
"6049000",135824.793945544,92164.0872666084,122952.855958069
"6050000",70108.0177733842,85084.2653432284,60004.0686968452
"6051000",84638.0106890887,109947.974327911,114503.052251894
"6052000",93127.9284843711,168665.79483732,104568.317732729
"6053000",81673.8262583998,115928.764074133,87008.6332375349
"6054000",80701.8213709377,125294.295845662,86813.6270161329
"6055000",159031.770579337,72351.8990514384,92583.8580953444
"6056000",114152.713811066,81046.2512558413,83351.3518892069
"6057000",68740.289200129,126669.189193438,114893.289648518
"6058000",115471.528947889,94816.4562196812,70052.4824701581
"6059000",76343.921641938,71739.1314756888,99397.0144270874
"6060000",92573.0388045178,96273.2137245652,77300.6101170287
"6061000",99514.7473550385,122654.913905735,98160.2867635686
"6062000",348050.685414353,85447.6694999357,79034.8997373024
"6063000",81229.9416459567,83858.4375773458,86471.3244246171
"6064000",127435.498768478,106271.255130809,113472.039884255
"6065000",124975.319182943,129990.312866327,106878.945750316
"6066000",87897.044556244,132080.238738046,92271.0121351042
"6067000",167825.19529924,104651.023307658,115549.89680332
"6068000",94440.9805014492,119235.201140976,90367.1689486301
"6069000",97505.069541657,114181.095074554,96009.8160590417
"6070000",90346.7514489523,108412.297266254,92314.6688522273
"6071000",96088.6899389181,176494.806969838,73615.6548445132
"6072000",90692.0402264271,198857.396769579,173083.944860702
"6073000",104603.129119517,106240.235083954,192154.424325385
"6074000",69408.0364375856,114880.354691543,93304.097002517
"6075000",101467.843844086,303116.300008677,96063.0811873663
"6076000",121224.655435876,109484.732589465,99804.4078570564
"6077000",87488.7768516912,99948.4229759624,88786.6189720718
"6078000",307387.496356932,111672.426384606,91415.8208588808
"6079000",91876.4952694806,100729.67189519,65985.7616713997
"6080000",102537.962095184,92821.6263494325,147001.596020878
"6081000",72498.6095544083,85055.6895423194,82603.8696898432
"6082000",84732.8689506233,73989.8992870544,132739.069658377
"6083000",113878.955940159,97138.0677287145,91112.2042335573
"6084000",128013.0263187,69285.8006991837,127760.437939843
"6085000",79106.1415352935,85974.1142088047,180468.001987527
"6086000",87545.6665893376,74093.4246954458,89922.3877887438
"6087000",142922.521422466,87989.492050952,85829.5195161711
"6088000",89539.2807225704,80510.6458070021,81753.6516411569
"6089000",104202.880389526,134306.728564982,102433.716224175
"6090000",85053.4275254497,94111.4418317075,81101.5299299278
"6091000",93736.8847858926,160481.028853357,187702.569437622
"6092000",79405.8527213873,65000.8392097564,99718.403129817
"6093000",102749.8592255,101193.313378412,114597.594516075
"6094000",119138.034604939,1096991.40720824,117725.179092347
"6095000",68058.4618513597,74865.1611383786,127773.046300246
"6096000",79998.5247414443,155184.674823749,82838.8383964822
"6097000",77903.8605391156,79760.3380474758,99461.0528203595
"6098000",145179.565124177,88249.4006926968,123883.02267976
"6099000",73814.5913745683,85769.3364034056,124198.714528374
"6100000",86817.3575488934,101730.126947022,72567.7062234834
"6101000",89491.3772180795,118208.44787527,81774.5262139856
"6102000",83955.219195248,60725.1949158389,92148.9586227703
"6103000",154519.259564013,71956.5659025197,127746.237897149
"6104000",97481.0266587597,93176.3506419112,76429.5225640702
"6105000",126924.786753231,84621.3217423284,80656.5512886201
"6106000",87005.7265373753,103066.490852262,90223.4512743066
"6107000",128315.91353035,84728.3326080081,75161.25143729
"6108000",79247.3194191738,138664.874131692,150215.402712948
"6109000",98939.8209647399,85522.2232031029,136095.01521722
"6110000",91706.2437495507,102271.008454588,155018.084656982
"6111000",78805.6244844884,193132.798900981,88296.735802876
"6112000",109367.582585311,96365.3029812036,79703.1026116677
"6113000",76964.5558109852,106897.085348431,103231.100465792
"6114000",115927.408890374,101710.759280906,139909.979486489
"6115000",109687.096495056,71063.2739785011,104454.154000648
"6116000",71312.2797359063,96923.2389226966,74899.7125934482
"6117000",91118.6210542523,102429.51335852,100703.562444371
"6118000",107343.814215439,100218.767078589,84274.1781855859
"6119000",166813.012993708,108980.619029169,109256.092691443
"6120000",106069.745781348,106404.191319488,160122.020448582
"6121000",125262.596792977,88806.7234940689,114492.040260048
"6122000",88013.3020639416,110273.384338657,96810.6916902922
"6123000",78070.9798898877,85991.1962718838,101100.8498851
"6124000",104189.247831371,81383.1650611392,91996.1446952817
"6125000",103231.541271026,76870.4204555223,141018.891716433
"6126000",89232.526265747,109096.778180123,107127.577983876
"6127000",80436.7499784149,114498.561128135,113421.654100454
"6128000",85917.9812619995,109950.797913038,95558.9637808351
"6129000",119699.145807935,150240.883660678,122715.743907385
"6130000",106948.46289588,134843.386536974,79960.4272840454
"6131000",85979.7346178758,163781.775298624,132922.2008129
"6132000",203717.25825557,80193.7490837488,97270.8599870448
"6133000",100556.591323307,90561.3213603254,72502.2414139776
"6134000",189530.869985825,99668.5357488487,122018.916956321
"6135000",124777.330698296,97377.6278443533,93177.7593754745
"6136000",105078.716623064,90074.7942683499,97567.1063540299
"6137000",97384.7618030721,68936.7600363154,76142.4569634337
"6138000",107500.580874435,112120.961502166,91224.1243160263
"6139000",404468.161092317,102628.249403194,68380.9597969703
"6140000",300945.12086563,81730.5321620168,89901.9275293855
"6141000",78522.9350507073,76782.8256089949,85313.2969794607
"6142000",81746.5523414664,137068.634117409,89968.6835731615
"6143000",79110.3733937905,86467.9253833066,90405.3062104668
"6144000",75361.951706751,129867.738544048,90224.0958628982
"6145000",86897.0947645187,77727.7904698999,81810.5157814098
"6146000",110811.738976407,69367.1733527831,98844.2235256427
"6147000",105145.213395601,108420.383027203,160794.630213975
"6148000",155764.341467189,70191.9982335079,123233.583855363
"6149000",121605.934973861,67080.941523318,85985.2178686426
"6150000",111857.343754735,86674.9328247949,106297.918013216
"6151000",83030.6197540143,317919.752889156,99887.6678698656
"6152000",95899.4367150453,109006.455008685,153188.754258625
"6153000",90200.522239908,78801.8352694064,87113.5016395755
"6154000",98990.6618502276,97963.8058797371,102283.224589266
"6155000",124768.836960579,156449.740334394,86127.7644032684
"6156000",112134.337886731,99694.6685466432,77794.010810686
"6157000",81736.6503259616,132336.922229714,138694.501071488
"6158000",118492.413528318,75843.9654845372,76266.9574929223
"6159000",84748.8577934667,77653.2307364596,221522.064789053
"6160000",111493.083737752,90210.5829082593,75382.3906025902
"6161000",84398.1778719023,97483.1543500925,67981.7812369917
"6162000",75311.0764408065,85659.0310906096,104361.495742793
"6163000",85645.6331504548,87526.5112065013,231325.084100115
"6164000",75673.4219354506,112140.669749156,146262.223697719
"6165000",84572.7626461403,82917.1783865606,89912.9041551768
"6166000",71881.4995989541,97721.8548494008,126864.223380165
"6167000",59219.7912904949,75707.1720614125,150142.024677107
"6168000",108926.55010721,201342.339215495,92339.8111764201
"6169000",78672.3753317601,93260.518010062,153386.970913342
"6170000",91198.5970690664,142690.180730738,61024.3324879193
"6171000",88664.9946731566,133429.560237399,100220.105333514
"6172000",91598.7504094283,61188.8317253098,111108.54739076
"6173000",108238.378193864,190175.666188356,129203.066752812
"6174000",324125.029084222,79171.1815345386,105539.091897864
"6175000",106713.412295736,71123.7541133579,71175.3785954707
"6176000",236709.428996501,100310.313427293,93790.0005618762
"6177000",101614.860221697,113281.675163096,115614.396078028
"6178000",128690.466436554,101472.457138605,103970.181582167
"6179000",104288.002058051,65392.3366782517,123699.960782216
"6180000",212844.495091237,84857.3932370218,88262.0692591108
"6181000",129093.894291038,92586.0795596116,103477.003153858
"6182000",93228.3568813732,88658.4467301122,157930.923483729
"6183000",98653.9403557093,82448.2648082064,158355.907323254
"6184000",161397.239600526,89609.5284253656,147356.631495702
"6185000",66159.7108472132,136884.807146318,90809.991523879
"6186000",122185.593313688,200173.133056943,126090.402876983
"6187000",87619.568438365,80146.9826895822,92114.6717897644
"6188000",82284.1527132623,78595.3269113411,107396.190903058
"6189000",123579.292944488,73981.3612436896,85185.4730032198
"6190000",80089.3121860292,105023.351959109,160257.144642806
"6191000",190729.112480896,100432.535224524,124159.413893686
"6192000",81106.7272092402,98903.9794338181,126377.484320967
"6193000",155677.387614989,115094.916898817,77957.5721323773
"6194000",166592.174696895,97457.2027857143,96874.6636611629
"6195000",109838.861823642,111078.990131305,104534.260743641
"6196000",92552.4472003887,116082.002831982,82499.1799226546
"6197000",167097.03832294,72448.4362625423,70820.5509934368
"6198000",83959.4733242424,88728.3659565718,96934.6132100179
"6199000",107936.235318052,96385.8592188728,134970.510876674
"6200000",126211.534569751,108133.860724311,202506.2159671
"6201000",92660.6163381088,116484.939313562,79608.4787001903
"6202000",92438.8181029247,76271.0811916264,62638.7817114732
"6203000",76039.6538500273,90875.7796174906,132092.694682132
"6204000",77575.7628790875,103519.897770917,162137.828146357
"6205000",77407.610635193,69315.1744247694,74017.0386011406
"6206000",97303.7700628611,175484.229367572,137858.23320539
"6207000",89161.3458746833,84420.3785881198,82481.23174163
"6208000",113342.823660819,77973.5029149844,74302.7917521453
"6209000",90346.5786189969,110690.652786272,204825.593992277
"6210000",103605.579920876,140055.067326436,61292.9298220282
"6211000",82928.3104595272,72536.0432418738,165164.916391929
"6212000",349271.814050443,131946.119267604,75974.8001685133
"6213000",153585.871933849,82695.236534287,89502.9259777288
"6214000",121011.547464146,219729.649834361,109735.456962618
"6215000",99468.1621069153,87776.2185732172,91343.898366786
"6216000",106511.267934283,197639.21605973,88001.3081364663
"6217000",94474.5192491216,76840.3262887614,103291.464761956
"6218000",226106.397933677,356181.189399715,67367.3935042729
"6219000",83126.9375543251,104913.146505445,90323.0213251162
"6220000",138871.357476297,117243.004793404,126286.255498592
"6221000",117008.352415762,89637.2139538081,78589.3006836906
"6222000",213176.934906056,95981.6656398325,556296.360625397
