,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
1,3.92327E-06,0.794887352,1.099441784,254889.4989,280236.1653,0.465106835,118550.8482,119317.4921,0.468114585,126538.8712,0.526257273
2,6.19192E-06,1.287242401,1.496305283,161500.8479,241654.5719,0.591427577,95516.05506,95973.61339,0.59426074,153236.4694,0.102829726
3,7.82546E-06,1.173343809,1.355003839,127788.0171,173153.2538,0.548979441,70152.99426,70540.63779,0.55201293,,
4,5.44271E-06,1.276334656,1.512008163,183731.847,277804.0524,0.595972273,109499.0866,110014.0499,0.598775072,,
5,7.43869E-06,1.255314452,1.421230809,134432.2819,191059.3007,0.569222613,76521.89483,76919.38555,0.572179423,,
6,6.59886E-06,1.475405068,2.185306484,151541.3767,331164.3531,0.758363732,114923.484,115118.3305,0.759649496,,
7,6.05874E-06,1.024014517,1.214962503,165050.8225,200530.5605,0.50415188,83210.68243,83719.8052,0.507236522,,
8,5.36047E-06,1.202206363,1.390698692,186550.833,259435.9995,0.559966346,104462.1884,105021.1186,0.562962475,,
9,2.59043E-07,1.139154501,3.615417596,3860357.555,13956804.63,0.89272169,3446224.922,3596663.562,0.931691821,,
10,7.32238E-06,1.328776868,1.506449213,136567.5717,205732.1109,0.59436736,81171.3071,81555.56938,0.597181076,,
11,3.00742E-06,0.463795009,0.660223309,332511.4089,219531.7825,0.299599017,99620.09126,100238.9539,0.301460194,,
12,3.85902E-06,0.845657784,1.027498881,259133.0845,266258.9543,0.439846664,113978.8227,114731.8755,0.44275271,,
13,6.93719E-06,1.404846468,1.931358888,144150.5705,278406.4856,0.704569143,101564.044,101809.0463,0.706268771,,
14,2.69097E-06,0.540341241,0.695768706,371612.933,258556.6495,0.313997767,116685.631,117425.3616,0.315988361,,
15,4.7976E-06,0.762005245,1.079041841,208437.6385,224912.9331,0.45801773,95468.13397,96089.90702,0.461000747,,
16,4.59277E-06,0.940685647,1.124927942,217733.7422,244934.7705,0.47388157,103180.0075,103840.6101,0.476915562,,
17,4.39503E-06,1.094026731,1.334080946,227529.8832,303543.2819,0.542456435,123425.0493,124119.2278,0.545507368,,
18,3.77056E-06,0.739806437,1.096519045,265212.3262,290810.3666,0.464094741,123083.6459,123880.4522,0.46709915,,
19,3.72198E-06,0.787239444,1.099954967,268674.1971,295529.5177,0.465284419,125009.9176,125818.1781,0.468292748,,
