"","Chain.1","Chain.2","Chain.3"
"3011000",8.12502834200771e-06,2.44534124877816e-06,5.57140341426933e-06
"3012000",4.12876606418195e-06,2.61034537139083e-06,4.51291507010664e-06
"3013000",4.32168632775919e-06,2.02999900513034e-06,3.03496866855343e-06
"3014000",7.89990736549385e-06,7.71924594610573e-06,3.73407232153142e-06
"3015000",5.42142601109805e-06,3.83567619182605e-06,2.84369801270861e-06
"3016000",9.36581022883282e-06,6.89070019720954e-06,3.00308017270061e-06
"3017000",5.76953098718346e-06,4.21820534253153e-06,8.3891878462483e-06
"3018000",6.97344837393041e-06,6.03547415268936e-06,6.30424107053106e-06
"3019000",7.70957172182788e-06,1.6736475165312e-06,3.62362177447583e-06
"3020000",7.33147140004064e-06,6.97803277279777e-06,3.58768684891299e-06
"3021000",6.0914370655151e-06,2.96335367499548e-06,5.5959761487719e-06
"3022000",1.80455848686312e-06,3.38755865891368e-06,5.30723033882098e-06
"3023000",5.06726110678307e-06,5.40926349681886e-06,7.5267546013186e-06
"3024000",4.26822648437244e-06,3.5347103692985e-06,4.70083478062336e-06
"3025000",6.7698234933138e-07,7.1454047811416e-06,2.22608731701317e-06
"3026000",6.12577599403499e-06,3.25760848789556e-06,5.83233767999124e-06
"3027000",4.33709523015354e-06,7.90865793085512e-06,6.10834011104685e-06
"3028000",6.59463659958885e-06,5.79595098528565e-06,9.25538190545888e-06
"3029000",7.02595172508308e-06,5.07932183519095e-06,3.32193658228717e-06
"3030000",5.13638114688681e-06,2.55586939133177e-06,4.20117028711882e-06
"3031000",4.23374580305726e-06,2.90571286682962e-06,4.56944435708043e-06
"3032000",1.01622633400452e-05,4.55113623346838e-06,5.19558962545816e-06
"3033000",3.3274634285717e-06,6.62661808717439e-06,3.49994201487712e-06
"3034000",7.27802503377582e-06,2.53684596262658e-06,5.74434743738375e-06
"3035000",3.50209347351527e-06,3.76643682943368e-06,6.31446292925117e-06
"3036000",5.21235935407985e-06,7.10138301147797e-06,6.78862621664538e-06
"3037000",6.84197054978635e-06,7.50747472654593e-06,9.17972363361516e-06
"3038000",3.11408513583966e-06,6.06618957586386e-06,2.12167180702015e-06
"3039000",4.71131786620078e-06,4.39013277409442e-06,7.51611890751111e-06
"3040000",5.83225944836965e-06,6.91385642247645e-06,4.46275147607507e-06
"3041000",7.67637487133671e-06,5.4300685174125e-06,5.10017669445178e-06
"3042000",2.77335282589292e-06,5.25772716229953e-06,4.10915123385672e-06
"3043000",4.07990465295836e-06,5.44102010718097e-06,1.69971009442852e-06
"3044000",4.47138006057708e-06,3.93159908334573e-06,6.01322953556772e-06
"3045000",7.57791442081457e-06,3.03350743368976e-07,8.16538882959077e-06
"3046000",8.9924371462722e-06,5.96995800725423e-06,3.29030196902096e-06
"3047000",3.94483329787894e-06,3.74217178533725e-06,5.15088687461349e-06
"3048000",6.62069188326648e-06,5.14480827745893e-06,5.14765860997873e-06
"3049000",6.59441440798269e-06,1.81601415381195e-06,4.49271341206421e-06
"3050000",5.29944110344435e-06,6.14035031853663e-06,1.70650206698634e-06
"3051000",5.23153832373644e-06,7.25064938258565e-06,3.05115843864224e-06
"3052000",3.56384975843816e-06,6.51977772507665e-06,3.21387393607103e-06
"3053000",3.93074916792403e-06,6.2578982010861e-06,9.31162325787665e-06
"3054000",4.90821197742125e-06,6.87867229361192e-06,6.45499867996034e-06
"3055000",3.81707624545506e-06,3.74273371401906e-06,5.76390377704481e-06
"3056000",3.98410529956638e-06,7.44180706063175e-06,5.49304212952548e-06
"3057000",3.17668026177668e-06,5.42174164134315e-06,5.03855225564032e-06
"3058000",4.48513270234702e-06,6.32902630685482e-06,7.36438641027229e-06
"3059000",4.47002919556445e-06,5.61691306616392e-06,5.27601473326324e-06
"3060000",6.16533304145846e-06,1.00841606523077e-05,5.35220166309635e-06
"3061000",2.04714510337907e-06,2.81889895392196e-06,4.08650546919759e-06
"3062000",5.92428958377678e-06,8.90122389548227e-06,2.00967531750094e-06
"3063000",1.79196821680335e-06,5.56104849269523e-06,5.10627841889654e-06
"3064000",4.54402908055557e-06,5.50881580531125e-06,3.31145890613353e-06
"3065000",3.17597294251103e-06,3.68424113526427e-06,6.28659048373743e-06
"3066000",5.13598197094731e-06,3.71530881928321e-06,7.94262788694061e-06
"3067000",7.01156624351846e-06,5.28851281014572e-06,3.14362258797305e-06
"3068000",2.81324730719845e-06,6.7903722919638e-06,6.45641436757661e-06
"3069000",6.68502104331104e-06,2.64021717468526e-07,2.84408029714874e-06
"3070000",7.08699307708755e-06,4.86986062235559e-06,1.70964198169814e-06
"3071000",7.02203359710697e-06,5.8031835729748e-06,6.32054578308862e-06
"3072000",3.41978612845599e-06,6.42549568055281e-06,2.75768767027063e-06
"3073000",8.69866567165426e-06,8.75615133742662e-06,4.91606639552359e-06
"3074000",6.24661118967017e-06,6.93711016364187e-06,5.35857391248503e-06
"3075000",7.15274313612322e-06,8.113445695703e-06,6.72109289806354e-06
"3076000",5.20632542999202e-06,7.79292171079472e-06,6.15650726641976e-06
"3077000",4.86664514129939e-06,1.28099620550816e-06,3.21071171348723e-06
"3078000",1.26891133058704e-06,5.73907434203109e-06,3.73811811195675e-06
"3079000",3.8503084508344e-06,3.86409770392507e-06,6.44335939529823e-06
"3080000",4.17033828134777e-06,7.96931880191327e-06,5.41433749948133e-07
"3081000",8.55867650804447e-06,9.54409500635103e-06,8.40657752699782e-06
"3082000",5.36958091522111e-06,7.51125430589982e-08,9.66892966801499e-06
