"","Chain.1","Chain.2","Chain.3"
"5011000",77093.6119920867,115831.128468218,81015.9899342999
"5012000",108588.884286505,108118.044365382,122738.549099023
"5013000",83277.5657622573,116964.290639056,85495.2945753914
"5014000",107346.413807344,188149.370667388,171130.498130294
"5015000",109086.892838321,100838.299546618,131172.384574959
"5016000",91466.6930416465,109078.077049641,81318.7783155833
"5017000",72247.621664464,103651.103164013,-80708.2058955209
"5018000",113581.348795457,123783.211398396,83766.7652413423
"5019000",79607.0478749163,72984.3956209223,96609.7876606689
"5020000",90425.9504121878,123108.385980693,144605.749571044
"5021000",136239.200175055,71959.9330436991,73353.3480089217
"5022000",93982.784388975,96416.4791430557,78946.0187259262
"5023000",164856.689555575,102352.066397678,112237.68783514
"5024000",88538.5549513276,92826.3437038355,133024.477796871
"5025000",197283.639532675,73342.8491272121,111257.433783485
"5026000",108620.060418699,92832.6217832933,69527.7310172059
"5027000",87629.531348727,89119.519761224,475530.736766046
"5028000",100849.477162746,124202.322081006,109874.300659346
"5029000",98164.9497710208,103468.979918723,224130.871300527
"5030000",87335.582226883,87192.1438632729,179149.439558321
"5031000",100429.730812835,82536.5369797259,99132.1242924736
"5032000",133137.905797014,113443.806790939,150850.839194847
"5033000",119662.573181877,159916.430032732,121776.405384189
"5034000",91834.3549938374,84227.8784396775,101131.203450945
"5035000",136862.681706692,93547.9011915171,112505.957724933
"5036000",116379.190622599,96343.7581746805,96366.7759586227
"5037000",74136.3373714064,220787.468796802,86586.437857896
"5038000",101194.187284347,87285.1202577003,79792.7945780791
"5039000",98660.4133961376,90162.2360263985,80100.3481650502
"5040000",57255.7399555775,236021.826761505,127828.037611749
"5041000",78264.9191245629,123138.073252503,117086.31728499
"5042000",84074.6469834334,103455.484855846,94487.360419144
"5043000",68629.7501076509,144166.942376433,160719.054196822
"5044000",197067.782725461,135361.05548971,79038.1147886053
"5045000",119239.150625346,87395.325376667,108620.606987173
"5046000",90896.7535484762,133747.8817435,139439.590884961
"5047000",61730.1000577558,150121.862573954,77747.3265388236
"5048000",124625.834128055,109227.618760433,84480.1286250698
"5049000",85687.4811225186,214432.483800591,97840.3096991755
"5050000",178821.484990268,82637.4596279795,95862.1912110963
"5051000",131162.75594283,179075.50779631,70851.2105004497
"5052000",82264.2859974155,186545.491918332,74821.6257713563
"5053000",118338.994717818,120244.619174489,105010.749773624
"5054000",100652.923922809,103568.923154183,116708.806308655
"5055000",84370.7997142977,78770.1604728909,76288.3111759033
"5056000",99652.9600949892,122736.067727161,98196.495533561
"5057000",132703.150550578,133658.964916036,153448.796998765
