"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0,0,1,1,0,0,1,5000
0,0,0,0,1,1,0,0,1,10000
0,0,0.002,0.005,1,1,0,0.006,1,15000
0,0.001,0.006,0.007,1,0.999,0.001,0.007,0.999,20000
0.001,0.001,0.007,0.01,0.999,0.999,0.016,0.022,0.984,25000
0.001,0.009,0.01,0.023,0.999,0.991,0.065,0.053,0.935,30000
0.002,0.035,0.02,0.045,0.998,0.965,0.22,0.123,0.78,35000
0.016,0.13,0.039,0.089,0.984,0.87,0.408,0.231,0.592,40000
0.045,0.273,0.066,0.168,0.955,0.727,0.587,0.326,0.413,45000
0.118,0.418,0.116,0.249,0.881,0.582,0.696,0.445,0.304,50000
0.22,0.562,0.182,0.335,0.779,0.437,0.777,0.545,0.223,55000
0.344,0.668,0.25,0.437,0.655,0.331,0.829,0.625,0.17,60000
0.467,0.727,0.315,0.526,0.532,0.272,0.864,0.708,0.135,65000
0.578,0.794,0.391,0.589,0.42,0.205,0.892,0.752,0.107,70000
0.658,0.829,0.479,0.656,0.338,0.169,0.914,0.792,0.085,75000
0.699,0.861,0.542,0.717,0.29,0.136,0.926,0.824,0.072,80000
0.749,0.884,0.598,0.756,0.236,0.112,0.938,0.849,0.059,85000
0.783,0.892,0.65,0.787,0.193,0.097,0.946,0.872,0.05,90000
0.798,0.904,0.701,0.819,0.164,0.081,0.948,0.891,0.046,95000
0.802,0.908,0.743,0.843,0.138,0.071,0.948,0.907,0.04,1e+05
0.787,0.911,0.77,0.856,0.118,0.059,0.947,0.923,0.036,105000
0.759,0.902,0.795,0.874,0.104,0.051,0.947,0.931,0.032,110000
0.719,0.881,0.822,0.895,0.091,0.047,0.938,0.938,0.031,115000
0.669,0.848,0.84,0.902,0.078,0.044,0.925,0.942,0.03,120000
0.625,0.818,0.853,0.919,0.073,0.039,0.903,0.949,0.025,125000
0.581,0.772,0.868,0.93,0.062,0.036,0.877,0.957,0.025,130000
0.527,0.718,0.883,0.933,0.053,0.033,0.841,0.959,0.023,135000
0.471,0.672,0.896,0.939,0.05,0.031,0.807,0.963,0.022,140000
0.425,0.629,0.904,0.942,0.047,0.03,0.755,0.966,0.02,145000
0.376,0.581,0.917,0.947,0.045,0.029,0.707,0.966,0.02,150000
0.339,0.521,0.925,0.953,0.04,0.026,0.667,0.968,0.018,155000
0.306,0.474,0.931,0.958,0.038,0.025,0.628,0.97,0.017,160000
0.282,0.434,0.935,0.96,0.034,0.023,0.576,0.972,0.017,165000
0.261,0.391,0.94,0.962,0.032,0.023,0.525,0.972,0.016,170000
0.243,0.356,0.938,0.966,0.032,0.022,0.484,0.973,0.016,175000
0.215,0.327,0.942,0.966,0.031,0.02,0.437,0.974,0.015,180000
0.185,0.303,0.945,0.967,0.03,0.019,0.403,0.974,0.014,185000
0.171,0.28,0.949,0.97,0.028,0.019,0.371,0.976,0.014,190000
0.161,0.264,0.951,0.966,0.026,0.017,0.342,0.977,0.014,195000
0.146,0.243,0.95,0.967,0.025,0.017,0.314,0.978,0.014,2e+05
0.135,0.215,0.951,0.967,0.024,0.017,0.295,0.979,0.011,205000
0.125,0.194,0.95,0.967,0.023,0.016,0.28,0.979,0.011,210000
0.113,0.181,0.949,0.965,0.022,0.016,0.26,0.975,0.01,215000
0.101,0.17,0.944,0.964,0.022,0.016,0.236,0.975,0.01,220000
0.094,0.155,0.941,0.965,0.021,0.014,0.218,0.975,0.009,225000
0.09,0.146,0.939,0.964,0.02,0.014,0.202,0.976,0.008,230000
0.084,0.136,0.933,0.96,0.019,0.014,0.189,0.975,0.007,235000
0.079,0.124,0.925,0.959,0.018,0.014,0.178,0.974,0.007,240000
0.076,0.116,0.918,0.956,0.017,0.014,0.163,0.974,0.007,245000
0.071,0.107,0.91,0.954,0.017,0.013,0.154,0.973,0.007,250000
0.063,0.102,0.906,0.95,0.017,0.011,0.144,0.972,0.007,255000
0.061,0.097,0.896,0.945,0.017,0.011,0.134,0.97,0.007,260000
0.056,0.093,0.884,0.937,0.016,0.01,0.126,0.968,0.007,265000
0.052,0.088,0.874,0.929,0.016,0.01,0.118,0.966,0.007,270000
0.05,0.084,0.863,0.926,0.016,0.009,0.112,0.961,0.007,275000
0.046,0.081,0.853,0.918,0.015,0.009,0.105,0.958,0.007,280000
0.043,0.073,0.836,0.911,0.014,0.008,0.098,0.958,0.007,285000
0.04,0.072,0.823,0.899,0.014,0.007,0.094,0.949,0.007,290000
0.036,0.069,0.805,0.892,0.014,0.007,0.091,0.946,0.006,295000
0.035,0.066,0.793,0.884,0.014,0.007,0.087,0.938,0.006,3e+05
0.035,0.061,0.776,0.874,0.014,0.007,0.084,0.932,0.006,305000
0.035,0.057,0.762,0.864,0.014,0.007,0.077,0.925,0.006,310000
0.036,0.054,0.743,0.851,0.012,0.007,0.074,0.919,0.006,315000
0.035,0.052,0.732,0.837,0.011,0.007,0.07,0.909,0.006,320000
0.029,0.049,0.714,0.82,0.011,0.007,0.067,0.901,0.006,325000
0.027,0.045,0.7,0.809,0.011,0.007,0.065,0.893,0.006,330000
0.027,0.043,0.683,0.797,0.01,0.007,0.059,0.883,0.006,335000
0.027,0.042,0.666,0.785,0.01,0.007,0.057,0.874,0.006,340000
0.025,0.042,0.656,0.772,0.009,0.007,0.055,0.862,0.006,345000
0.024,0.042,0.647,0.758,0.009,0.007,0.054,0.857,0.005,350000
0.025,0.04,0.625,0.739,0.008,0.007,0.049,0.836,0.005,355000
