Year,Age,p,q,N.ya,age_comp
1970,4,0.05063874,NA,NA,NA
1971,4,0.050539726,NA,NA,NA
1972,4,0.051202627,NA,NA,NA
1973,4,0.023337823,NA,NA,NA
1974,4,0.0447286,NA,NA,NA
1975,4,0.031782105,NA,NA,NA
1976,4,0.021829056,0.049132464,7606.134106,0.05
1977,4,0.0124968,0.033972288,3958.361776,0.03
1978,4,0.033777472,0.059114877,10715.67311,0.06
1979,4,0.047278,0.025388499,5658.407126,0.02
1980,4,0.030753975,0.026145937,4482.290908,0.02
1981,4,0.035719946,0.018606042,3078.466234,0.01
1982,4,0.032073124,0.034754438,8399.515774,0.03
1983,4,0.030548371,0.052435865,15681.07238,0.05
1984,4,0.009055635,0.023888012,6501.06252,0.02
1985,4,0.031231024,0.021497614,4657.796432,0.02
1986,4,0.020480245,0.02431513,4749.688527,0.02
1987,4,0.010701833,0.034162386,4737.441048,0.03
1988,4,0.017664661,0.028162246,3395.282972,0.02
1989,4,0.052522026,0.015946656,5455.379133,0.01
1990,4,0.033954601,0.016190185,3790.021615,0.01
1991,4,0.028055578,0.027765393,3731.157755,0.02
1992,4,0.057846094,0.018280961,4461.766992,0.01
1993,4,0.040712498,0.031538217,12200.2951,0.03
1994,4,0.039131904,0.023983957,5642.146383,0.02
1995,4,0.055618772,0.042409856,7208.648595,0.04
1996,4,0.022697634,0.050424658,13084.50893,0
1997,4,0.029425042,0.061405991,13905.92024,0
1998,4,0.049595472,0.043181544,10756.87465,0
1999,4,0.031294664,0.009971484,3039.545211,0.01
2000,4,0.086469466,0.026415416,3889.37288,0.02
2001,4,0.037276073,0.034825632,4429.252194,0.03
2002,4,0.078939504,0.029246914,4068.01293,0.03
2003,4,0.018599182,0.033952886,4223.522709,0.02
2004,4,0.022979602,0.040417846,5166.113726,0.05
2005,4,0.064327768,0.031622556,2442.110838,0.03
2006,4,0.037844513,0.054626279,3777.197457,0.06
2007,4,0.030009498,0.056054862,3002.163765,0.05
2008,4,0.059943042,0.052658697,5243.349919,0.05
2009,4,0.057819154,0.01744567,4144.588051,0.02
2010,4,0.063812997,0.030949423,3317.71144,0.03
2011,4,0.042819313,0.081544321,6616.773358,0.08
2012,4,0.033876709,0.057309925,9675.776153,0.06
2013,4,NA,0.056943657,11534.5745,0.06
2014,4,NA,0.034217276,5507.55383,0.04
2015,4,NA,0.039110783,4991.947686,0.04
2016,4,NA,0.043847493,4741.72598,0.04
1970,5,0.595792133,NA,NA,NA
1971,5,0.726786489,NA,NA,NA
1972,5,0.55370449,NA,NA,NA
