Year,SMSY,UMSY,SMAX,SEQ,S_mean,S_sd,S_MC_error,S_val2.5pc,S_median,S_val97.5pc,R_mean,R_sd,R_MC_error,R_val2.5pc,R_median,R_val97.5pc,N_mean,N_sd,N_MC_error,N_val2.5pc,N_median,N_val97.5pc,qS_mr_mean,qS_mr_sd,qS_mr_MC_error,qS_mr_val2.5pc,qS_mr_median,qS_mr_val97.5pc,qS_weir_mean,qS_weir_sd,qS_weir_MC_error,qS_weir_val2.5pc,qS_weir_median,qS_weir_val97.5pc,log.resid_mean,log.resid_sd,log.resid_MC_error,log.resid_val2.5pc,log.resid_median,log.resid_val97.5pc,mu.HB_mean,mu.HB_sd,mu.HB_MC_error,mu.HB_val2.5pc,mu.HB_median,mu.HB_val97.5pc,DIDSON,mr,weir,lnalpha,beta,lnalpha.c
1970,102521.43,0.52,199352.75,250580.96,,,,,,,137412.5098,31034.79382,566.3903648,83142.21034,135445.6451,204987.0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,5.02E-06,1.28
1971,102521.43,0.52,199352.75,250580.96,,,,,,,138363.1846,13235.29912,241.6983319,114539.8588,137580.8559,166067.1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,102521.43,0.52,199352.75,250580.96,,,,,,,148181.8406,13021.96427,246.1022205,124276.3969,147575.2373,174414.7375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,102521.43,0.52,199352.75,250580.96,,,,,,,169841.7817,14872.83571,271.4947233,141514.935,169369.6345,199554.1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,102521.43,0.52,199352.75,250580.96,,,,,,,239275.2769,19514.30748,361.9988146,202864.3903,238477.5486,280732.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,102521.43,0.52,199352.75,250580.96,,,,,,,177777.0951,16497.82495,300.8807623,146461.1923,177476.3092,210924.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,102521.43,0.52,199352.75,250580.96,95570.91793,7831.733141,142.9796333,81543.41721,95262.64536,112045.4624,205172.2764,19739.14162,348.3398776,169291.7664,204006.967,244550.2586,154737.6832,9759.501864,188.9894463,136643.1874,154254.6115,174716.0151,151156.6173,10511.11131,191.9190556,131782.4707,150945.3938,172846.3338,69742.70607,3556.862511,64.96633335,63009.70531,69638.22717,77058.02686,0.200403831,0.256117823,0.004677537,-0.3190,0.1969,0.7409,0.382436964,0.030653104,0.000559821,0.324411497,0.382526444,0.445579768,NA,NA,69729,,,
1977,102521.43,0.52,199352.75,250580.96,73504.41125,8517.997659,158.84773,57888.7029,73000.86621,91085.26532,247026.3773,25501.51305,465.6961039,201384.8355,245547.1156,300226.6799,116657.9978,9437.030896,186.4743415,99236.51895,116242.845,136644.0902,116265.2753,12615.26949,235.4266018,93699.57986,115493.8174,142334.2749,53645.97668,5246.831888,95.79240147,44104.60311,53392.85516,64683.98422,0.539374902,0.265349277,0.004635746,0.0260,0.5354,1.0752,0.371031527,0.03620015,0.000677793,0.303272939,0.370067373,0.445629447,NA,NA,50363,,,
1978,102521.43,0.52,199352.75,250580.96,92354.95912,7454.251566,136.0980753,78486.10096,91745.666,107805.2005,248582.9358,24754.80552,460.7986914,202354.0873,248338.4107,299094.7957,181399.7449,11351.47794,197.5399597,159241.0661,181036.585,203982.0796,146082.5404,10137.35686,185.0725117,126941.429,145677.6469,167084.1179,67399.80118,3382.88523,63.14022226,60845.33549,67325.95731,74158.18868,0.409852778,0.258730531,0.004725315,-0.0918,0.4066,0.9403,0.49057312,0.031150381,0.00056843,0.429294541,0.491160624,0.550072508,NA,NA,67528,,,
1979,102521.43,0.52,199352.75,250580.96,109945.8705,8808.76882,166.0378732,93425.0517,109659.6909,128305.3839,330641.0242,26456.36177,495.75727,279636.2457,329751.3597,384145.6439,223185.2084,14548.58957,273.6598733,196730.5493,222647.0387,253564.44,173901.2498,11859.47094,216.5822842,151238.8783,173949.7172,197480.5913,80241.73064,4055.331668,76.08087403,72457.24668,80179.97801,88288.67535,0.611239669,0.248411773,0.004536564,0.1303,0.6077,1.1056,0.50695446,0.030767125,0.000561782,0.446304646,0.507019905,0.56459599,NA,NA,80588,,,
