"","beta","lnalpha","lnalpha.c","S.max","S.eq.c","U.msy_Hilborn","S.msy_Hilborn","Smsy_lambert","Umsy_lambert"
"0%",2.46925591149527e-09,0.0297858417145154,0.299361269779878,81975.9427214086,81538.6684102242,0.143407433000843,38622.8351747496,38794.5309025007,0.143942978556613
"2.5%",1.88065398313218e-06,0.558875129240163,0.800333587230993,107727.355341122,166760.954062686,0.35532942344228,66399.2198019731,66764.5312066262,0.357674105440546
"50%",5.35640459598182e-06,1.09565952708214,1.30281758403909,186692.404015291,240774.343730463,0.532595435225702,97780.4741309678,98369.5386533813,0.535666134228406
"97.5%",9.2826935157143e-06,1.63437445251245,1.93639597157406,531730.282339947,550261.810908576,0.705723906236059,221932.586952114,223965.86936622,0.707410656394516
"100%",1.21987008237094e-05,2.74702941385999,3.77747575202121,404980300.075274,290038575.063381,0.892849730730418,130478910.504361,131314433.157071,0.94134767579207
