"","Mean","SD","Time-series SE","2.5%","50%","97.5%"
"D.scale",0.183765598684262,0.0198450629400509,0.000357653362983098,0.147392834050351,0.182980571393063,0.226042216811854
"D.sum",30.6549842231466,6.64443393180159,0.119592576294925,19.5713545574051,29.8668926612549,46.0306667561765
"H.below[1]",59211.1394304112,5855.44275088866,105.367372014444,48604.7868546939,58953.6353559615,71567.5567236166
"H.below[2]",43023.3845178803,4272.43061808969,78.0122999976408,35123.6355230376,42852.727356501,51683.6772847234
"H.below[3]",88653.4508556981,8768.25594685734,156.781489197992,72671.9235154132,88253.8556663686,106934.814891923
"H.below[4]",112745.769352679,11289.9140602625,206.112608848195,92439.8507328023,112137.32527383,135903.514719078
"H.below[5]",31737.7012539993,3191.10432846855,57.1541392159914,26112.998181213,31602.2088272255,38506.9058427066
"H.below[6]",49377.4534166065,4930.92400891462,90.0273331504592,40532.0187500117,49113.570473565,59751.7200454409
"H.below[7]",125896.685461459,12359.9301785369,221.976736859373,103143.731581979,125349.243566044,151070.052524243
"H.below[8]",121585.398091033,11880.9419663097,212.478643196022,99906.2816684973,120928.36471359,145897.520972872
"H.below[9]",101173.529608021,10228.6663041906,180.226092385407,82037.6285796963,100722.754790737,122470.628962847
"H.below[10]",135300.780845709,13353.4740132392,243.727567864847,111441.706176166,134677.709118731,163146.097748343
"H.below[11]",162517.931391832,15449.1431528223,282.143467680979,134057.359582731,161805.607945899,195181.368829394
"H.below[12]",70774.5998225391,6884.38202592828,125.698286820965,58342.2520707206,70415.4157581218,85480.403350206
"H.below[13]",80429.9605468409,7915.66436837626,150.429213593222,65782.6259332424,80047.8633090737,96429.0002232219
"H.below[14]",150805.63944251,14764.6824446952,263.49803537483,123800.507620334,150135.003478311,181933.320017251
"H.below[15]",151502.680407349,14414.4525855481,263.250798591416,124306.934000695,151015.204039078,181202.484796369
"H.below[16]",63389.3286536486,6342.25108197747,115.828349583531,51935.0752311787,62977.9021206194,76436.2905239782
"H.below[17]",112960.395348661,10973.4274042102,200.362034023984,93248.4076514483,112094.231419247,135682.343063639
"H.below[18]",101656.5516766,9886.76938876307,185.204721775446,83799.4077072843,101208.057451511,121872.186202955
"H.below[19]",127089.133080273,12369.0941542698,253.810668527999,104655.500328978,126754.74036016,152674.149050301
"H.below[20]",70316.831615824,7078.79587286582,129.265017338867,57687.6345096453,69994.0310937156,85625.6173911902
"H.below[21]",98533.3363864012,9873.86894056694,180.313548571417,81124.6289052884,98045.8311333351,119626.625380379
"H.below[22]",74642.022338185,7277.27617641249,136.679913845313,61084.5146538752,74561.0908247632,89330.7500437182
"H.below[23]",114994.165633654,11472.5931955354,213.109755072186,94903.2736847617,114198.506895479,138917.710237293
"H.below[24]",147783.226178874,14527.6611046215,261.393975098316,120983.071463334,147278.952627504,178092.177593478
"H.below[25]",80074.5602697481,7856.24792607523,143.233149938681,65300.4933313053,79769.4170752726,96456.903959064
"H.below[26]",60344.4177368775,5955.01907279631,106.830227809916,49045.8512409907,60147.8706939508,72885.3848778378
"H.below[27]",48113.1200101078,4691.67603419085,84.1944839904501,39317.3086458884,47937.3270859125,57727.5995634972
"H.below[28]",50084.8040749225,4828.30941889339,89.7591692771396,41440.0940194733,49818.318299076,60353.8256424401
"H.below[29]",50604.3614723273,4939.72183713333,90.1332395351359,41603.9882808856,50275.0038609028,60897.9510462635
"H.below[30]",23328.1597897927,2293.73087429404,42.7679511564178,19109.4731986401,23282.4426316008,28094.8049207035
"H.below[31]",16032.6953173047,1558.56293097995,28.5857030127124,13246.0046704249,15936.9954915285,19312.6132887882
"H.below[32]",14472.6732096947,1447.40862460488,26.434083027358,11854.4269868306,14373.9925011184,17495.1695899947
"H.below[33]",22675.9088633471,2241.00266794672,41.5236097944714,18640.7319646759,22570.9352129513,27291.4472288245
"H.below[34]",83548.5900004562,8289.65906782498,146.122723637594,68368.8939036438,83147.0956260131,100664.403181929
"H.below[35]",49193.0036886218,4896.40449729842,92.3925057829227,40452.8250228443,48940.2775453889,59719.0277267957
"H.below[36]",15830.4606259278,1557.56007424091,29.5214748111573,13030.5152869879,15718.090738769,19137.1688141903
"H.below[37]",54985.2573739499,5509.87707689247,97.8893796633561,44946.9575367215,54839.6355061784,66220.6346182584
"H.below[38]",75016.8775492013,7415.43897448499,131.180274877545,61677.8651124223,74747.2194234708,90847.9273802287
"H.below[39]",83408.6699700691,8176.80891779109,151.930537888104,67950.9431704423,83160.0515297277,100774.17919959
"H.below[40]",33643.9688469762,3406.03780951797,56.3119075211797,27534.4004961906,33512.8975827741,40771.6224167564
"H.below[41]",36208.7405425129,3620.57350363164,64.8656231397565,29575.6551178978,35995.7356565978,43846.9124041894
"N[1]",154554.324617123,9510.79480378714,173.637147751691,136533.733204391,154300.621031551,173290.770497386
"N[2]",116481.232993209,9402.26787078519,168.944233164811,99904.0641133568,115913.92234675,136136.866032034
"N[3]",180852.916894359,11327.360439626,201.93882121267,160147.287169632,180618.359622718,204270.415671967
"N[4]",222464.852599211,14425.4516563856,263.351904619129,195952.789642146,221780.948357522,251208.573058488
"N[5]",171422.342959493,16175.914738585,295.414591369357,142007.054521942,170852.10464433,205731.890492299
"N[6]",165278.082802791,10724.2670548359,192.423088435298,145781.733237758,164821.626535059,187052.797504682
"N[7]",240990.852961706,24909.6131846798,454.610710462272,198776.607559084,238347.836417866,294613.520270855
"N[8]",298418.912882681,23721.9581688892,433.168926291278,255343.89322623,296857.753382196,348737.19179993
"N[9]",272525.285658002,21793.6345357484,390.074201188846,231858.208629257,271879.56549217,319315.668950897
"N[10]",216467.424772211,16095.2093354787,280.56457243889,185715.049861446,216201.159404241,249901.570981674
"N[11]",195382.764228459,15674.1329746484,286.23318705538,166662.790185,194802.694062077,228066.044920642
"N[12]",138979.454186691,10286.5555225242,187.840562817276,120395.520257658,138478.003557151,160516.444971463
"N[13]",120365.702376486,8988.03087209463,170.544633881836,104177.267330354,119948.558886677,138798.521298227
"N[14]",342116.574837602,21190.032779328,386.919414084195,302156.606061217,341732.219409167,385895.20785101
"N[15]",234101.936883102,15757.4983452163,287.743179481684,204265.449345384,233065.648827195,265685.169943128
"N[16]",134423.226929155,8436.35878875046,154.065508620476,118896.580841266,134296.851143282,151884.49809608
"N[17]",243969.840477046,15265.1574707326,289.811898763214,216011.78069159,243693.31622285,275812.870552653
"N[18]",385607.63204289,24729.4472258199,371.24953127786,338387.729385576,384909.211232723,435802.323238959
"N[19]",235012.063324043,15331.3794420211,279.958759263284,206079.909080508,234448.782976374,266093.748629097
"N[20]",169873.682457655,10780.0996165053,188.551767053438,149882.514301864,169826.179276995,191758.531001681
"N[21]",259618.611429686,19651.7984483593,358.903805321746,225397.098513656,258661.65643458,301902.23198807
"N[22]",227021.231168819,17622.7500674983,321.852863264566,195072.362237975,226155.432621055,263745.595888003
"N[23]",249408.282118323,16995.5069579018,306.213446046581,218336.75994054,248990.338504146,285407.43483947
"N[24]",304751.935565901,17492.3239239975,312.901871674422,271963.996241648,304257.382969467,340416.404952303
