"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0,0,1,1,0,0,1,5000
0,0,0,0,1,1,0,0.000333333333333333,1,10000
0,0,0.000333333333333333,0.000666666666666667,1,1,0,0.000666666666666667,1,15000
0,0,0.000666666666666667,0.00133333333333333,1,1,0,0.00333333333333333,1,20000
0,0,0.00233333333333333,0.00566666666666667,1,1,0.00366666666666667,0.014,0.996333333333333,25000
0,0.003,0.006,0.0143333333333333,1,0.997,0.082,0.0456666666666667,0.918,30000
0.000666666666666667,0.0376666666666667,0.014,0.0396666666666667,0.999333333333333,0.962333333333333,0.262666666666667,0.124666666666667,0.737333333333333,35000
0.005,0.156333333333333,0.0303333333333333,0.0906666666666667,0.995,0.843666666666667,0.472,0.234,0.528,40000
0.05,0.319333333333333,0.0596666666666667,0.167666666666667,0.95,0.680666666666667,0.627333333333333,0.358,0.372666666666667,45000
0.141666666666667,0.484333333333333,0.116333333333333,0.265,0.858333333333333,0.515666666666667,0.745,0.475333333333333,0.255,50000
0.264333333333333,0.611,0.181,0.367,0.735666666666667,0.389,0.813,0.573,0.187,55000
0.405,0.709,0.263333333333333,0.463666666666667,0.595,0.291,0.867,0.66,0.133,60000
0.523333333333333,0.777666666666667,0.344666666666667,0.545666666666667,0.476666666666667,0.222333333333333,0.896666666666667,0.719333333333333,0.103333333333333,65000
0.619666666666667,0.830666666666667,0.425333333333333,0.622333333333333,0.380333333333333,0.169333333333333,0.922333333333333,0.776333333333333,0.0776666666666667,70000
0.698,0.870666666666667,0.499333333333333,0.683666666666667,0.301666666666667,0.129333333333333,0.936333333333333,0.817,0.0636666666666667,75000
0.760333333333333,0.893666666666667,0.568333333333333,0.732333333333333,0.238,0.106,0.946333333333333,0.845666666666667,0.0536666666666667,80000
0.801333333333333,0.916,0.626666666666667,0.775666666666667,0.195,0.0836666666666667,0.954,0.872333333333333,0.046,85000
0.827333333333333,0.929666666666667,0.677333333333333,0.812,0.16,0.0686666666666667,0.959,0.894666666666667,0.0406666666666667,90000
0.839333333333333,0.937,0.714333333333333,0.835666666666667,0.127,0.06,0.962666666666667,0.908,0.0363333333333333,95000
0.822333333333333,0.937333333333333,0.757666666666667,0.859,0.107333333333333,0.053,0.968,0.918,0.0303333333333333,100000
0.796666666666667,0.929666666666667,0.790666666666667,0.879666666666667,0.09,0.0456666666666667,0.968,0.927666666666667,0.028,105000
0.759333333333333,0.911666666666667,0.818,0.896,0.0746666666666667,0.0426666666666667,0.964,0.938333333333333,0.0253333333333333,110000
0.711333333333333,0.874666666666667,0.834666666666667,0.907666666666667,0.066,0.0386666666666667,0.951333333333333,0.945666666666667,0.0233333333333333,115000
0.656666666666667,0.842333333333333,0.856333333333333,0.917333333333333,0.06,0.035,0.935333333333333,0.953333333333333,0.021,120000
0.590333333333333,0.797333333333333,0.875333333333333,0.925,0.054,0.0296666666666667,0.900666666666667,0.958666666666667,0.0183333333333333,125000
0.539333333333333,0.748333333333333,0.89,0.932,0.0473333333333333,0.028,0.868,0.962333333333333,0.0166666666666667,130000
0.476333333333333,0.695666666666667,0.902,0.940333333333333,0.0453333333333333,0.0256666666666667,0.828,0.966333333333333,0.0153333333333333,135000
0.429333333333333,0.635666666666667,0.908333333333333,0.946666666666667,0.0406666666666667,0.024,0.783333333333333,0.969,0.014,140000
0.381666666666667,0.582333333333333,0.917666666666667,0.952666666666667,0.0386666666666667,0.0226666666666667,0.739,0.972333333333333,0.0126666666666667,145000
0.336333333333333,0.527,0.922666666666667,0.958333333333333,0.0356666666666667,0.0206666666666667,0.679333333333333,0.974,0.012,150000
0.305666666666667,0.478666666666667,0.929,0.961,0.0313333333333333,0.0176666666666667,0.623666666666667,0.975666666666667,0.011,155000
0.268666666666667,0.435333333333333,0.937,0.964666666666667,0.0296666666666667,0.017,0.577666666666667,0.978,0.0103333333333333,160000
0.236666666666667,0.389666666666667,0.942,0.966333333333333,0.027,0.0156666666666667,0.524333333333333,0.978333333333333,0.0103333333333333,165000
0.215,0.349666666666667,0.947333333333333,0.969666666666667,0.0253333333333333,0.0146666666666667,0.481333333333333,0.98,0.009,170000
0.198333333333333,0.318666666666667,0.951333333333333,0.972333333333333,0.0246666666666667,0.0136666666666667,0.438666666666667,0.981,0.00866666666666667,175000
0.177,0.288333333333333,0.954333333333333,0.973,0.0233333333333333,0.0126666666666667,0.397333333333333,0.981666666666667,0.008,180000
0.156333333333333,0.257333333333333,0.957,0.974333333333333,0.022,0.012,0.360666666666667,0.982666666666667,0.007,185000
0.141666666666667,0.234,0.958333333333333,0.975666666666667,0.02,0.0116666666666667,0.330333333333333,0.983333333333333,0.00633333333333333,190000
0.129,0.217333333333333,0.959,0.976333333333333,0.018,0.0103333333333333,0.299333333333333,0.983666666666667,0.00633333333333333,195000
0.114333333333333,0.202333333333333,0.956666666666667,0.977,0.017,0.0103333333333333,0.269666666666667,0.984333333333333,0.00633333333333333,200000
0.106,0.177666666666667,0.957333333333333,0.977666666666667,0.0163333333333333,0.0103333333333333,0.248333333333333,0.984666666666667,0.006,205000
0.0963333333333333,0.165666666666667,0.955,0.977,0.0153333333333333,0.009,0.231333333333333,0.985,0.006,210000
0.0896666666666667,0.150333333333333,0.949666666666667,0.975,0.0143333333333333,0.009,0.217666666666667,0.985,0.00533333333333333,215000
0.0823333333333333,0.137333333333333,0.941333333333333,0.973333333333333,0.0136666666666667,0.008,0.2,0.985,0.005,220000
0.0736666666666667,0.124,0.937,0.972666666666667,0.0133333333333333,0.00766666666666667,0.178666666666667,0.984666666666667,0.00466666666666667,225000
0.067,0.117,0.928,0.97,0.0123333333333333,0.00666666666666667,0.165,0.984666666666667,0.00466666666666667,230000
0.062,0.108,0.918666666666667,0.965,0.012,0.00633333333333333,0.152,0.983333333333333,0.00466666666666667,235000
0.058,0.100333333333333,0.91,0.961,0.0116666666666667,0.00633333333333333,0.139666666666667,0.981,0.00466666666666667,240000
