,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5055000,6.25E-06,1.073867672,1.509815074,159892.9412,241408.7729,0.595339628,95190.60416,95639.44395,0.598146755,,
5056000,5.33E-06,1.40197786,1.753590199,187568.7882,328918.7886,0.661539598,124084.1808,124495.9441,0.663734864,,
5057000,4.52E-06,0.796570931,0.918513691,221413.5734,203371.3985,0.400200127,88609.74027,89202.81154,0.402878695,,
5058000,5.28E-06,1.017552876,1.223015014,189456.5436,231708.1972,0.506803906,96017.31634,96601.97149,0.509889865,,
5059000,6.70E-06,1.311521418,1.46657056,149264.6666,218907.1656,0.582727235,86980.58649,87411.44291,0.585613762,,
5060000,7.43E-06,1.355825287,1.502335108,134520.0248,202094.156,0.5931768,79794.15781,80173.72991,0.595998477,,
5061000,3.85E-06,0.89921314,1.009929368,259713.0169,262291.8031,0.433567671,112603.1679,113349.8881,0.436442845,,
5062000,6.26E-06,1.147147107,1.271868125,159753.1393,203184.9257,0.522698666,83502.75272,83995.22115,0.525781349,,
5063000,6.85E-06,1.097220059,1.242146175,146034.4802,181396.171,0.513068189,74925.64631,75376.45111,0.516155164,,
5064000,6.14E-06,1.089980857,1.242601031,162778.4098,202268.6198,0.513216503,83540.56623,84043.05718,0.516303466,,
5065000,4.61E-06,0.798544953,1.072887604,216806.5095,232609.0166,0.455867655,98835.07516,99480.05526,0.458842566,,
5066000,7.43E-06,1.315527753,1.453096947,134595.3496,195580.0915,0.578744122,77896.26737,78287.78485,0.58165297,,
5067000,6.46E-06,1.08425059,1.243234697,154751.7037,192392.6874,0.513423073,79453.09519,79930.80499,0.516510016,,
5068000,6.46E-06,1.243600072,1.380607786,154686.918,213561.9633,0.556878443,86141.81002,86607.05353,0.559886089,,
5069000,3.12E-06,0.614477724,0.76999124,320369.8432,246681.9729,0.343493564,110044.9794,110764.7693,0.345740311,,
5070000,3.71E-06,0.687023208,0.903938087,269630.3701,243729.1609,0.394771759,106442.4555,107154.803,0.3974137,,
5071000,7.10E-06,1.174899952,1.321305409,140838.8027,186091.0717,0.538443346,75833.7161,76264.67306,0.541503276,,
5072000,4.90E-06,1.128252945,1.320544038,203972.851,269355.1324,0.53820346,109778.8942,110403.1382,0.541263887,,
5073000,4.59E-06,0.805768942,0.96757208,218097.1539,211024.717,0.418252339,91219.64477,91828.44074,0.421043737,,
5074000,8.14E-06,1.388844541,1.660051202,122901.6006,204022.9498,0.637121701,78303.2769,78604.94796,0.639576275,,
5075000,7.96E-06,1.424789926,1.554915336,125613.3552,195318.1324,0.608214349,76399.84504,76740.59179,0.610927012,,
5076000,4.00E-06,0.795500752,1.11668185,250297.2062,279502.3473,0.47105244,117903.1098,118660.5269,0.474078511,,
5077000,4.36E-06,1.144917085,1.543342508,229234.5353,353787.4026,0.604937827,138672.6417,139300.2775,0.607675791,,
5078000,1.01E-05,1.574943991,1.757838504,99160.76727,174308.6148,0.662619518,65705.85977,65922.3418,0.664802659,,
5079000,6.78E-06,1.432648278,1.608449329,147476.13,237207.8823,0.623127017,91896.36102,92277.88968,0.625714071,,
5080000,8.44E-06,1.712937537,1.986299845,118496.0889,235368.7631,0.716972827,84958.4759,85144.0472,0.718538882,,
5081000,7.05E-06,1.22024349,1.401682168,141922.6702,198930.4761,0.563311181,79946.62698,80369.94693,0.566293932,,
5082000,7.36E-06,1.710996852,1.936301355,135844.6157,263036.1134,0.705702272,95865.85392,96095.02246,0.707389262,,
5083000,5.93E-06,1.236123738,1.404117201,168743.7912,236936.0598,0.564050443,95180.01009,95682.81045,0.56703011,,
5084000,5.71E-06,0.972654907,1.311417621,175224.4477,229792.4284,0.535321678,93801.44542,94338.68759,0.538387701,,
5085000,6.98E-06,1.199045872,1.352364025,143338.9857,193846.4876,0.548159821,78572.67268,79007.83173,0.551195694,,
5086000,6.06E-06,1.115191542,1.291998602,165117.3511,213331.3868,0.529151074,87372.02364,87879.88392,0.532226828,,
5087000,3.32E-06,1.221691023,1.456409395,300951.5404,438308.651,0.579725715,174469.3469,175343.1509,0.582629186,,
5088000,5.41E-06,0.860066762,1.091109176,184889.7397,201734.8916,0.462218242,85459.41039,86013.71824,0.465216287,,
5089000,8.82E-06,1.466386446,1.694192264,113442.8821,192194.0533,0.646176012,73304.06916,73572.03706,0.648538151,,
5090000,5.54E-06,1.189719988,1.388812708,180363.5788,250491.2302,0.559390302,100893.6369,101434.4277,0.56238864,,
5091000,4.14E-06,0.657290781,0.931775691,241293.8943,224831.7851,0.40511343,97751.39712,98405.46808,0.407824112,,
5092000,6.17E-06,0.80141016,0.99858971,162155.2546,161926.5687,0.429492156,69644.40998,70107.20562,0.432346184,,
5093000,7.38E-06,1.274695396,1.379458352,135581.8502,187029.5155,0.556525802,75454.79786,75862.75154,0.559534712,,
5094000,9.09E-06,1.637207276,1.820508503,110058.2947,200362.0613,0.678256667,74647.77213,74868.29261,0.680260337,,
5095000,4.65E-06,0.827201558,1.019747055,214895.775,219139.3336,0.437081643,93926.99849,94548.62982,0.439974354,,
5096000,6.13E-06,1.282583733,1.456956348,163197.8913,237772.2036,0.579887648,94636.44132,95110.13562,0.582790224,,
5097000,4.97E-06,1.511072958,1.748977038,201301.1683,352071.121,0.660364071,132932.0591,133376.6148,0.662572483,,
5098000,4.19E-06,0.847263619,1.062587636,238526.9153,253455.751,0.452257344,107875.5492,108581.7514,0.455218025,,
5099000,4.33E-06,1.02481261,1.517132714,231020.6078,350488.9216,0.59744794,138022.7862,138667.9285,0.600240515,,
5100000,5.66E-06,1.169291274,1.308769808,176669.9932,231220.353,0.534483415,94427.18133,94969.12086,0.53755094,,
5101000,3.69E-06,1.06982279,1.210900785,270907.9188,328042.6116,0.502810743,136215.4119,137050.8318,0.505894521,,
5102000,5.17E-06,1.064979406,1.263435936,193447.4779,244408.4953,0.519979043,100588.6343,101185.3471,0.523063667,,
5103000,5.50E-06,1.344700913,1.735946809,181704.6216,315429.558,0.657027612,119384.9536,119792.9556,0.659273025,,
