"","     beta","   lnalpha","  lnalpha.c","    S.max","    S.eq.c","U.msy_Hilborn","S.msy_Hilborn"," Smsy_lambert"," Umsy_lambert"
"","Min.   :8.223e-08  ","Min.   :0.006711  ","Min.   :0.4509  ","Min.   :   76596  ","Min.   : 114411  ","Min.   :0.2112  ","Min.   :  53179  ","Min.   :  53466  ","Min.   :0.2123  "
"","1st Qu.:4.140e-06  ","1st Qu.:0.926146  ","1st Qu.:1.1342  ","1st Qu.:  147359  ","1st Qu.: 205846  ","1st Qu.:0.4770  ","1st Qu.:  83199  ","1st Qu.:  83616  ","1st Qu.:0.4801  "
"","Median :5.404e-06  ","Median :1.105090  ","Median :1.3138  ","Median :  185055  ","Median : 240241  ","Median :0.5361  ","Median :  97403  ","Median :  98018  ","Median :0.5391  "
"","Mean   :5.464e-06  ","Mean   :1.104429  ","Mean   :1.3275  ","Mean   :  236311  ","Mean   : 283159  ","Mean   :0.5341  ","Mean   : 115971  ","Mean   : 116624  ","Mean   :0.5370  "
"","3rd Qu.:6.786e-06  ","3rd Qu.:1.286467  ","3rd Qu.:1.4982  ","3rd Qu.:  241563  ","3rd Qu.: 292856  ","3rd Qu.:0.5920  ","3rd Qu.: 120497  ","3rd Qu.: 121167  ","3rd Qu.:0.5948  "
"","Max.   :1.306e-05  ","Max.   :2.758991  ","Max.   :3.7544  ","Max.   :12161184  ","Max.   :6466929  ","Max.   :0.8921  ","Max.   :2992741  ","Max.   :3009443  ","Max.   :0.9401  "
