"","Point est.","Upper C.I."
"S.eq.c",1.1360150433574,1.1399838825473
"S.eq.c2",1.1360150433574,1.1399838825473
"S.msy.c",1.12663613151479,1.13024879503787
"S.msy.c2",1.1258772148719,1.12944371502236
