"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
23934.9229112037,20836.1021768197,12871.5003810275,8015.0829178837,6935.97470806376,5000
45796.4681966441,39791.7387158717,24824.5606356053,15584.4685285699,13505.3037331573,10000
66006.896633848,57067.6750782445,35806.7857835203,22671.3575958456,19646.722937285,15000
83891.1412509271,72376.604046154,45906.683537276,29233.4404103004,25523.4924570101,20000
100150.572258349,86192.1609499215,55138.2903945688,35287.8839209581,31128.150882769,25000
114737.866052707,98646.8898936648,63585.8247532968,40868.912197393,36243.1245873495,30000
128294.818491998,109997.456481272,71294.9914107372,46080.9385688782,41069.6772666566,35000
139261.465514133,119518.281584885,78143.4715544381,50924.4716753599,45364.5241162166,40000
149777.44330138,129137.593356061,84217.484742837,55455.5711966222,48944.655374379,45000
157797.229457205,137228.801476349,89721.5487650419,59255.5040433751,52343.1461251808,50000
165805.765171503,144031.956549922,94792.9727568452,62909.6969766113,55518.4071577215,55000
172719.289974374,149699.603142232,98924.8569024697,65825.5382885451,57932.2265508922,60000
179708.649861437,154943.987342806,102389.642214701,68529.2803511249,60175.9264589139,65000
185734.103634327,159469.915166769,105511.152665833,70557.9232060027,62195.141547321,70000
190546.45302525,162950.714598422,108069.51341366,72408.5673263663,63141.8626128708,75000
195100.222501294,166846.903999915,109734.162896785,73603.1899592427,63954.5347086003,80000
198368.537525133,169548.398440182,111063.668072733,74236.2244870826,64512.7173686372,85000
201528.514148372,172314.631659779,112044.666307262,74440.0505672869,64397.5464764811,90000
204483.478885236,174256.870446404,112521.843074099,74483.3283923759,63394.4217265509,95000
208439.164503222,175057.448901653,112127.599004449,73548.8864395754,62090.6513776686,100000
209788.333116162,175987.005640784,111953.415485114,71865.0905854143,61061.6472059419,105000
213058.031442276,176097.261706097,110914.650497304,70974.6031984848,58526.6259261388,110000
215663.750525713,176927.018804652,109573.327998273,68833.7382552807,56158.5198111725,115000
216475.705718824,177146.44581693,107927.837887578,66044.653929987,53303.2733644692,120000
219362.203649908,176303.985514994,106225.595985285,62921.4450832647,50534.480281216,125000
217897.401741009,177237.287682223,103616.474342495,58848.2265800055,46479.4660532009,130000
217174.957222854,176909.725589442,101342.495301582,54910.1744573385,42086.5089607168,135000
217136.641799527,176688.302450578,99006.8438856896,50767.4081124146,37652.532630826,140000
216442.848476467,176418.237362833,95734.0420297815,45709.9754028949,33068.1495213957,145000
216266.379190357,177458.648470391,92571.297021687,40795.8464165447,28015.1736608229,150000
216980.16493019,175764.536604107,89243.3514881457,35141.552397559,23554.768990019,155000
215325.351565272,174088.722937205,85918.4811102495,28969.5609975702,17316.4000200361,160000
214866.343878812,172781.900353545,81769.6174777699,23657.3148907747,11099.6452522761,165000
214040.975681392,170053.511214059,77250.6148289418,17689.7404792027,4617.27164312564,170000
214156.642036509,167128.983273495,73362.928354911,11252.5123303582,-2069.92611982558,175000
211741.592988114,165077.775393127,68789.6930675027,4560.48054715732,-9345.2055428491,180000
211956.69413927,163342.464460737,64067.4546273316,-2290.32280024886,-16250.428675867,185000
210034.87002346,161258.239646678,58940.7942985739,-9197.73855680519,-22958.2444927214,190000
210679.320370282,158744.074593036,53594.3896297953,-16375.70080255,-29898.0112047996,195000
209924.535105846,156783.623607453,47962.7386942175,-23336.546921623,-37335.0733030994,200000
207688.787934573,154702.405999019,42295.1442169332,-30263.4206625787,-45177.9693660944,205000
205808.361364516,152799.849142773,36810.5019646098,-37170.669456763,-52668.8702752186,210000
203754.080458255,148988.656056913,31374.8673708129,-44567.5735100944,-60652.5231636363,215000
204075.974654111,146552.422743857,25578.4728916707,-51840.9063505373,-68188.6862817144,220000
199647.626291148,144002.794426701,19481.1348840894,-58810.2562349636,-75435.4209300961,225000
200330.882145245,139076.842309217,13347.0308821264,-66359.1038570659,-83218.4598937888,230000
196799.591955006,136363.494123503,7128.10444566734,-73682.5828653823,-91209.393200285,235000
194330.084509509,133177.375823567,759.155565880457,-81159.7689238967,-99065.2367694996,240000
191274.465696022,129813.430973984,-5350.44870963875,-89157.1462119461,-107200.548685165,245000
189452.557842993,125609.405593037,-11694.0128645603,-96738.9461468427,-115215.598100457,250000
188350.542473297,122352.855581457,-18300.670477311,-104576.296467658,-123254.666829379,255000
185720.431399565,117919.558922411,-24924.3688618467,-112317.98827531,-130933.311715458,260000
184128.450178952,113774.003432645,-31937.2483074213,-120144.11666614,-138648.410375689,265000
178547.225857428,110283.549288763,-39138.4424806225,-127914.984473502,-146810.604666784,270000
173773.885415487,107007.123487148,-45922.7426840999,-135848.896932609,-154699.322097785,275000
170024.40883595,102793.486477681,-52837.4556892761,-143948.51789211,-162623.609004877,280000
166099.540638381,98743.9651447545,-59930.328637128,-151861.998412591,-170433.071061453,285000
160301.771135718,92918.7799775034,-67394.228989162,-159665.898040596,-178319.401990488,290000
155687.853475168,88361.2418745178,-74508.3639646795,-167163.212487888,-186102.315821474,295000
