lnalpha,beta,lnalpha.c
1.080159112,5.41E-06,1.223067563
0.960411417,4.77E-06,1.194048006
0.838333256,3.57E-06,1.041073594
1.078824485,3.29E-06,1.305726808
1.15471456,5.80E-06,1.330648777
0.939546751,4.86E-06,1.168512618
1.43787395,6.78E-06,1.661805712
1.250200879,6.60E-06,1.460257903
1.170530651,4.15E-06,1.370048046
1.166903913,6.68E-06,1.447204544
1.682582843,7.02E-06,2.473151376
1.492717006,8.75E-06,1.706793632
1.498317486,4.89E-06,1.732853672
1.333379696,6.86E-06,1.612728276
0.702585419,4.35E-06,1.169961018
1.04230028,5.60E-06,1.229080758
0.805853104,4.83E-06,0.986661597
1.343229956,7.54E-06,1.602639133
1.020707087,3.75E-06,1.252505681
1.40656023,6.47E-06,1.807894403
1.357195288,7.13E-06,1.660061576
1.216380823,6.97E-06,1.510880629
0.66639282,2.55E-06,0.838822751
1.275375539,7.21E-06,1.485328651
0.820898839,3.11E-06,1.018751756
1.347346143,6.56E-06,1.60380462
0.703936698,2.17E-06,0.954790908
1.050773573,7.27E-06,1.344421023
1.12238008,6.93E-06,1.261936497
1.255907074,6.96E-06,1.396753543
1.924715249,8.31E-06,2.122864513
1.491319103,7.76E-06,1.755383736
1.024097172,4.29E-06,1.183195312
0.855801416,3.96E-06,0.993377952
1.024699791,6.09E-06,1.227548698
1.303021214,5.32E-06,1.52726473
1.042404969,5.38E-06,1.289219421
0.947140042,5.35E-06,1.077131998
0.789349208,2.22E-06,1.000392295
1.065243783,5.09E-06,1.509826578
0.866794889,5.80E-06,1.165198998
0.80214976,3.29E-06,1.149615739
1.426885749,7.30E-06,1.611726118
1.274118845,6.22E-06,1.508525236
0.599116131,2.48E-06,0.754364403
0.883028975,3.59E-06,1.052377485
0.756001043,4.03E-06,0.974375903
1.271777159,7.69E-06,1.405640481
1.010003825,4.80E-06,1.211978059
1.17234299,5.86E-06,1.335155895
0.719344228,4.15E-06,0.9818585
0.971704242,2.95E-06,1.147687184
1.244815469,6.62E-06,1.46483481
0.692946047,2.13E-06,0.963872748
0.904238451,3.07E-06,1.188731939
0.710398599,2.94E-06,0.868303379
1.196117751,6.06E-06,1.325751298
0.997190731,5.00E-06,1.295702928
1.155504068,5.61E-06,1.311982056
1.239563968,5.26E-06,1.4186449
1.346164952,8.62E-06,1.587003768
1.570715035,9.82E-06,1.88794147
1.978392845,7.51E-06,2.267463376
1.256550386,5.50E-06,1.395090925
1.093106042,7.34E-06,1.375227156
1.114003943,5.53E-06,1.396380524
1.178245744,5.01E-06,1.407583519
