Year,SMSY,UMSY,SMAX,SEQ,S_mean,S_sd,S_MC_error,S_val2.5pc,S_median,S_val97.5pc,R_mean,R_sd,R_MC_error,R_val2.5pc,R_median,R_val97.5pc,N_mean,N_sd,N_MC_error,N_val2.5pc,N_median,N_val97.5pc,qS_mr_mean,qS_mr_sd,qS_mr_MC_error,qS_mr_val2.5pc,qS_mr_median,qS_mr_val97.5pc,qS_weir_mean,qS_weir_sd,qS_weir_MC_error,qS_weir_val2.5pc,qS_weir_median,qS_weir_val97.5pc,log.resid_mean,log.resid_sd,log.resid_MC_error,log.resid_val2.5pc,log.resid_median,log.resid_val97.5pc,mu.HB_mean,mu.HB_sd,mu.HB_MC_error,mu.HB_val2.5pc,mu.HB_median,mu.HB_val97.5pc,DIDSON,mr,weir,lnalpha,beta,lnalpha.c
1980,98369.54,0.54,185726.31,240618.31,139684.64,15893.97,316.65,111312.61,139153.25,172795.51,210500.66,18905.64,345.04,174542.96,209895.81,249669.81,171422.34,16175.91,295.41,142007.05,170852.10,205731.89,221065.06,23457.49,458.11,179385.65,220061.70,270796.60,102121.73,9748.01,178.03,84312.03,101644.04,122617.69,0.07,0.22,0.00,-0.37,0.07,0.51,0.19,0.02,0.00,0.15,0.19,0.24,NA,NA,101135.00,,,
1981,98369.54,0.54,185726.31,240618.31,115900.63,9449.48,172.53,98704.09,115519.33,135650.82,130273.04,13893.20,254.03,104373.00,130118.54,159651.90,165278.08,10724.27,192.42,145781.73,164821.63,187052.80,183410.62,12714.33,232.15,159826.60,183052.06,209506.35,84721.11,4256.62,77.72,76822.37,84529.22,93300.33,-0.36,0.21,0.00,-0.78,-0.35,0.07,0.30,0.03,0.00,0.25,0.30,0.35,NA,NA,84097.00,,,
1982,98369.54,0.54,185726.31,240618.31,115094.17,22226.38,405.86,77914.00,112649.59,164226.73,147687.24,11940.32,218.01,125162.53,147452.73,173132.53,240990.85,24909.61,454.61,198776.61,238347.84,294613.52,182133.98,34312.32,626.54,125206.56,178377.97,258186.02,84153.25,15400.79,286.83,57719.65,82828.79,118293.17,-0.21,0.22,0.00,-0.66,-0.21,0.21,0.53,0.05,0.00,0.42,0.52,0.63,NA,NA,86213.00,,,
1983,98369.54,0.54,185726.31,240618.31,176833.51,20690.16,380.83,140358.71,175781.35,221704.72,155228.06,17678.75,334.65,122326.53,154769.29,191237.67,298418.91,23721.96,433.17,255343.89,296857.75,348737.19,279858.54,30683.09,554.34,225701.24,277853.43,346736.99,129279.88,12815.88,235.21,106583.12,128510.59,156203.19,-0.27,0.26,0.00,-0.79,-0.27,0.22,0.41,0.04,0.00,0.34,0.41,0.48,NA,NA,134601.00,,,
1984,98369.54,0.54,185726.31,240618.31,171351.76,19664.95,353.92,135592.15,170687.78,212031.34,375179.94,26912.97,502.58,324493.90,374450.32,430638.16,272525.29,21793.63,390.07,231858.21,271879.57,319315.67,271177.38,29054.02,520.69,218286.75,269706.09,330418.74,125277.41,12184.42,222.48,103077.94,124937.64,149980.13,0.61,0.24,0.00,0.11,0.62,1.07,0.37,0.04,0.00,0.30,0.37,0.44,NA,NA,123190.00,,,
1985,98369.54,0.54,185726.31,240618.31,81166.64,9407.32,164.87,64411.13,80825.48,100691.30,172972.56,16016.70,304.91,143768.20,172343.49,205071.35,216467.42,16095.21,280.56,185715.05,216201.16,249901.57,128443.37,13825.01,248.18,103183.81,127905.95,156749.17,59334.27,5750.23,104.99,48630.26,59244.66,71199.30,0.10,0.22,0.00,-0.33,0.09,0.55,0.62,0.04,0.00,0.55,0.63,0.69,NA,NA,58335.00,,,
1986,98369.54,0.54,185726.31,240618.31,32864.83,2590.22,48.04,28175.59,32774.43,38271.44,185035.87,16460.40,300.61,153664.52,184795.47,218716.65,195382.76,15674.13,286.23,166662.79,194802.69,228066.04,52013.15,3520.24,65.68,45467.01,51858.40,59223.20,24027.01,1175.92,21.48,21776.75,23987.90,26452.22,0.80,0.25,0.00,0.33,0.80,1.28,0.83,0.02,0.00,0.79,0.83,0.86,NA,NA,23947.00,,,
1987,98369.54,0.54,185726.31,240618.31,68204.85,7949.03,142.21,54042.97,67763.36,84812.00,348238.44,28884.74,536.25,293995.06,347517.51,405123.60,138979.45,10286.56,187.84,120395.52,138478.00,160516.45,107924.66,11597.40,211.76,87172.41,107166.16,131868.91,49851.91,4788.82,92.93,41249.57,49606.50,60197.96,0.90,0.22,0.00,0.48,0.90,1.35,0.51,0.04,0.00,0.43,0.51,0.58,NA,NA,48972.00,,,
1988,98369.54,0.54,185726.31,240618.31,39935.74,4696.15,85.75,31618.63,39619.65,49997.87,252101.32,26394.75,475.07,203537.05,251233.51,306582.82,120365.70,8988.03,170.54,104177.27,119948.56,138798.52,63202.60,6965.19,129.46,51016.61,62723.53,78358.82,29194.77,2904.15,53.90,24099.26,29048.57,35630.78,0.96,0.25,0.00,0.48,0.96,1.44,0.67,0.03,0.00,0.60,0.67,0.73,NA,NA,27722.00,,,
1989,98369.54,0.54,185726.31,240618.31,191310.94,15085.81,270.67,162741.58,191127.75,221749.89,229393.77,18895.27,340.12,192980.56,228960.34,268450.57,342116.57,21190.03,386.92,302156.61,341732.22,385895.21,302772.11,20465.52,373.71,264078.98,302870.58,343622.31,139878.70,7153.42,130.63,126165.83,139786.82,153597.74,0.12,0.26,0.00,-0.39,0.12,0.63,0.44,0.03,0.00,0.38,0.44,0.50,NA,NA,141475.00,,,
1990,98369.54,0.54,185726.31,240618.31,82599.26,6567.41,108.21,70833.25,82417.67,96275.14,167843.95,35257.35,626.64,109599.46,163925.59,246503.78,234101.94,15757.50,287.74,204265.45,233065.65,265685.17,130726.42,8982.38,151.53,114086.42,130396.15,149008.03,60384.14,2972.89,48.01,54640.08,60312.62,66642.43,0.04,0.29,0.01,-0.51,0.03,0.61,0.65,0.03,0.00,0.59,0.65,0.70,NA,NA,60230.00,,,
1991,98369.54,0.54,185726.31,240618.31,71033.90,5662.83,103.41,60759.19,70786.22,82570.18,270713.71,58402.01,1066.44,153665.84,272664.75,383045.09,134423.23,8436.36,154.07,118896.58,134296.85,151884.50,112422.41,7738.95,141.30,97629.47,112018.12,128814.36,51930.71,2585.18,47.19,47128.19,51903.08,57183.41,0.60,0.30,0.01,-0.04,0.62,1.13,0.47,0.03,0.00,0.41,0.47,0.54,NA,NA,51138.00,,,
1992,98369.54,0.54,185726.31,240618.31,131009.45,10449.22,204.97,111388.98,130625.29,152615.34,209372.64,58326.44,1065.13,100294.65,209852.84,325586.17,243969.84,15265.16,289.81,216011.78,243693.32,275812.87,207325.51,14063.65,263.05,181396.04,206756.52,235625.99,95774.42,4756.08,93.04,86921.71,95692.90,105205.45,0.04,0.36,0.01,-0.76,0.07,0.66,0.46,0.03,0.00,0.40,0.46,0.52,NA,NA,95880.00,,,
1993,98369.54,0.54,185726.31,240618.31,283951.08,22545.18,418.81,241618.44,282635.88,330995.75,334322.05,41001.34,735.24,253103.95,333952.62,415436.92,385607.63,24729.45,371.25,338387.73,384909.21,435802.32,449380.04,30504.41,556.16,390798.83,448835.64,510930.21,207587.70,10249.09,183.41,188208.56,207177.12,227771.73,0.59,0.40,0.01,-0.20,0.60,1.38,0.26,0.02,0.00,0.22,0.26,0.31,NA,NA,212757.00,,,
1994,98369.54,0.54,185726.31,240618.31,107922.93,9279.92,169.43,90570.47,107609.26,127121.72,264911.60,22385.41,413.43,224985.49,263581.03,312660.56,235012.06,15331.38,279.96,206079.91,234448.78,266093.75,170787.49,12757.88,225.87,146844.36,170233.27,198423.40,78979.15,5883.63,107.44,67765.62,78752.09,91311.11,0.38,0.21,0.00,-0.04,0.39,0.78,0.54,0.03,0.00,0.48,0.54,0.60,NA,153540.00,86385.00,,,
1995,98369.54,0.54,185726.31,240618.31,99556.85,8434.26,148.72,83720.92,99143.24,117176.00,54107.76,8187.98,146.59,39027.83,53707.39,71280.38,169873.68,10780.10,188.55,149882.51,169826.18,191758.53,157554.21,11634.56,204.93,135601.88,156764.30,181680.54,72867.28,5478.28,95.57,62882.62,72541.94,84301.84,-1.18,0.24,0.00,-1.64,-1.17,-0.73,0.41,0.03,0.00,0.35,0.41,0.48,NA,184541.00,61783.00,,,
1996,98369.54,0.54,185726.31,240618.31,161085.28,16987.15,310.21,130433.09,159968.29,196515.40,170608.82,12305.37,216.51,147642.24,170273.82,195822.31,259618.61,19651.80,358.90,225397.10,258661.66,301902.23,254963.59,25066.67,457.72,210189.20,253658.22,306191.85,118028.90,12780.86,223.94,94950.33,117075.33,144058.98,-0.17,0.23,0.00,-0.64,-0.16,0.28,0.38,0.03,0.00,0.31,0.38,0.45,NA,262852.00,NA,,,
1997,98369.54,0.54,185726.31,240618.31,152379.21,16241.97,313.96,123471.79,151584.71,185922.16,149791.95,11846.73,211.78,127461.09,149540.72,173789.70,227021.23,17622.75,321.85,195072.36,226155.43,263745.60,241149.84,23683.34,432.54,199290.29,239736.47,290677.71,111655.71,12283.14,224.33,89396.93,110827.17,137068.97,-0.29,0.23,0.00,-0.74,-0.28,0.16,0.33,0.03,0.00,0.27,0.33,0.39,NA,238803.00,NA,,,
1998,98369.54,0.54,185726.31,240618.31,134414.12,13133.62,227.32,110368.73,133790.64,162748.13,82313.50,9035.30,164.95,65386.49,82146.41,100761.30,249408.28,16995.51,306.21,218336.76,248990.34,285407.43,212730.67,18932.67,324.77,178038.87,211912.51,251087.50,98489.95,9975.98,182.17,80423.21,97966.32,119037.36,-0.86,0.23,0.00,-1.32,-0.86,-0.42,0.46,0.04,0.00,0.40,0.46,0.53,NA,211114.00,NA,,,
1999,98369.54,0.54,185726.31,240618.31,156968.71,9507.05,169.64,139301.65,156663.19,176180.48,134577.69,9821.81,174.37,115383.47,134715.07,154196.45,304751.94,17492.32,312.90,271964.00,304257.38,340416.41,248428.71,11330.03,206.86,226866.98,248110.85,270979.33,114960.50,6705.66,124.92,102285.56,114666.76,128540.09,-0.40,0.23,0.00,-0.86,-0.40,0.01,0.48,0.03,0.00,0.43,0.48,0.54,NA,240002.00,134048.00,,,
2000,98369.54,0.54,185726.31,240618.31,67069.12,4866.44,88.87,58101.67,66876.20,77131.25,59721.81,6674.72,121.90,47256.59,59412.74,73785.84,147143.69,9108.96,160.09,130454.22,146667.52,165761.19,106141.16,6316.92,117.38,94804.69,105995.15,118982.72,49050.68,2280.76,40.92,44775.85,49007.21,53779.38,-0.86,0.22,0.00,-1.31,-0.86,-0.43,0.54,0.03,0.00,0.48,0.54,0.60,NA,132687.00,47077.00,,,
2001,98369.54,0.54,185726.31,240618.31,67105.98,5262.01,98.26,57448.98,66826.34,77966.33,64859.32,6421.45,117.16,53141.21,64456.59,78013.65,127450.40,8010.66,146.22,112599.57,127086.26,143781.38,106196.90,7021.07,124.60,93095.30,105904.24,120270.62,49152.87,3846.52,73.83,41902.89,48989.24,57102.37,-0.77,0.23,0.00,-1.21,-0.77,-0.33,0.47,0.03,0.00,0.41,0.47,0.53,NA,105064.00,53239.00,,,
2002,98369.54,0.54,185726.31,240618.31,90704.00,9098.30,167.08,74024.26,90280.46,109574.44,47613.42,5038.42,93.85,38211.33,47463.33,57850.16,138817.12,10076.32,175.89,119819.16,138505.50,159166.03,143543.25,13109.04,232.97,119909.32,142985.74,171551.38,66351.65,5727.53,104.58,55954.14,66178.09,78214.75,-1.25,0.22,0.00,-1.69,-1.26,-0.81,0.35,0.03,0.00,0.29,0.35,0.41,NA,148465.00,65611.00,,,
2003,98369.54,0.54,185726.31,240618.31,74397.07,5754.24,103.10,63654.06,74174.97,86571.91,162163.32,12991.43,238.30,137276.20,161713.22,188848.00,124481.88,7621.43,139.11,110551.51,124140.52,140259.61,117740.79,7725.22,146.61,103419.36,117548.41,133865.74,54494.19,4205.65,77.29,46503.71,54423.59,62984.07,0.08,0.21,0.00,-0.35,0.08,0.50,0.40,0.03,0.00,0.34,0.40,0.46,NA,116891.00,55516.00,,,
2004,98369.54,0.54,185726.31,240618.31,77434.05,5385.17,100.51,67343.79,77286.98,88356.76,227985.43,14137.28,262.20,200730.06,227543.17,256800.04,128038.41,7350.96,136.57,114261.54,127719.76,143685.30,122545.93,6877.33,121.80,109494.47,122463.59,136140.48,56722.56,4004.53,71.61,49277.42,56597.70,64897.30,0.40,0.21,0.00,-0.02,0.40,0.79,0.40,0.03,0.00,0.34,0.39,0.45,NA,118795.00,83534.00,,,
2005,98369.54,0.54,185726.31,240618.31,54080.91,5285.08,99.12,44554.47,53820.89,65223.70,63623.05,6978.09,126.09,50782.55,63492.21,78073.88,77409.07,5727.67,104.59,67057.57,77048.18,89251.54,85588.53,7590.25,138.61,71652.86,85188.38,101365.45,39603.51,3773.84,63.39,32798.82,39397.35,47614.30,-0.65,0.25,0.00,-1.13,-0.65,-0.16,0.30,0.03,0.00,0.25,0.30,0.36,NA,89072.00,32098.00,,,
2006,98369.54,0.54,185726.31,240618.31,53003.99,6784.62,123.91,40950.39,52500.99,68001.53,86788.02,8064.82,147.22,71896.06,86554.58,103292.48,69036.68,6969.34,127.27,56198.97,68478.45,84294.76,83895.30,10263.48,193.88,65524.38,83243.91,106278.90,38808.33,4840.39,88.40,30224.56,38522.05,49040.01,-0.32,0.24,0.00,-0.80,-0.32,0.16,0.23,0.03,0.00,0.18,0.23,0.29,NA,91439.00,38850.00,,,
2007,98369.54,0.54,185726.31,240618.31,39081.50,3344.74,60.66,32904.79,39011.22,46015.81,221156.64,15234.31,278.14,191980.82,220818.22,252504.98,53554.18,3594.49,64.56,46800.24,53378.49,61002.56,61844.99,4579.77,81.39,53154.56,61749.67,71301.18,28600.52,2128.40,38.86,24658.29,28524.26,33054.20,0.85,0.24,0.00,0.39,0.85,1.31,0.27,0.03,0.00,0.22,0.27,0.32,NA,59884.00,27915.00,,,
2008,98369.54,0.54,185726.31,240618.31,76714.55,5737.44,104.74,65893.94,76511.71,88402.93,161043.47,14608.20,266.74,133252.48,160687.32,189099.38,99390.46,6140.04,112.12,87776.17,99239.67,111627.62,121514.40,9156.62,163.73,104763.48,121274.68,140187.87,56255.71,4996.49,91.25,47006.75,56044.37,66720.84,0.06,0.22,0.00,-0.37,0.06,0.49,0.23,0.02,0.00,0.19,0.23,0.27,74919.00,119808.00,NA,,,
2009,98369.54,0.54,185726.31,240618.31,154357.58,7210.94,134.80,140870.85,154403.23,169420.64,199092.16,13786.40,248.82,172973.35,198584.68,228211.45,237906.17,10886.95,198.69,217840.91,237633.01,259291.28,244647.04,14420.69,268.33,217376.27,244521.54,273980.76,113256.91,8486.92,158.18,97745.65,112994.37,130518.75,-0.01,0.22,0.00,-0.46,0.00,0.42,0.35,0.03,0.00,0.30,0.35,0.40,153033.00,285218.00,NA,,,
2010,98369.54,0.54,185726.31,240618.31,57834.77,2576.82,47.06,53026.89,57746.86,63230.12,85921.46,8970.53,161.67,68911.13,85594.65,104685.43,107027.77,5445.29,98.86,96803.44,106813.16,118515.66,91648.26,4950.65,90.70,82255.75,91509.09,102182.42,42429.98,3050.71,54.78,36937.15,42304.07,48633.19,-0.40,0.23,0.00,-0.85,-0.39,0.06,0.46,0.03,0.00,0.41,0.46,0.51,61906.00,72318.00,NA,,,
2011,98369.54,0.54,185726.31,240618.31,65219.06,2841.94,51.88,59766.94,65178.95,70801.95,118602.22,21900.57,399.86,85134.75,115369.97,170899.82,81049.52,3190.59,58.25,75094.07,80972.82,87283.12,103338.06,5277.44,91.68,93624.45,103207.28,113822.46,47842.53,3340.06,55.92,41551.02,47829.64,54782.22,-0.16,0.26,0.00,-0.68,-0.16,0.36,0.20,0.02,0.00,0.16,0.19,0.23,63628.00,109335.00,NA,,,
2012,98369.54,0.54,185726.31,240618.31,114220.02,8174.11,149.25,99610.17,113856.04,131369.48,177847.39,103954.36,1897.29,56650.30,154350.77,437099.38,169205.28,9727.66,177.59,151340.93,168986.80,189308.91,180922.47,13068.97,238.65,157587.90,180288.68,209142.07,83756.88,7194.02,130.85,70963.06,83337.59,99023.75,-0.17,0.53,0.01,-1.19,-0.18,0.89,0.33,0.03,0.00,0.27,0.32,0.38,121810.00,171924.00,NA,,,
2013,98369.54,0.54,185726.31,240618.31,127079.78,9119.67,166.18,110378.75,126768.65,145964.78,,,,,,,202096.66,11821.48,206.50,180447.63,201778.60,226292.43,201298.49,14642.04,280.96,174854.65,200480.92,231800.40,93195.55,8117.98,149.46,78453.18,92744.10,110166.22,,,,,,,0.37,0.03,0.00,0.32,0.37,0.43,116300.00,224516.00,NA,,,
2014,98369.54,0.54,185726.31,240618.31,77896.58,3594.63,65.64,71163.05,77838.46,85317.72,,,,,,,161305.25,8929.42,163.64,144372.25,161013.21,178921.08,123458.41,7164.68,126.56,109967.24,123368.53,137468.89,57152.06,4218.00,73.95,49071.92,56848.29,66128.44,,,,,,,0.52,0.03,0.00,0.46,0.52,0.57,70470.00,212201.00,NA,,,
2015,98369.54,0.54,185726.31,240618.31,94136.24,8764.89,162.58,78419.71,93584.13,112490.57,,,,,,,127780.21,9288.14,172.81,110714.02,127419.25,147414.64,149031.34,13045.54,238.20,125011.34,148497.89,176261.88,68992.57,6827.35,124.68,56600.39,68583.44,83300.90,,,,,,,0.26,0.03,0.00,0.21,0.26,0.32,175874.00,124892.00,NA,,,
2016,98369.54,0.54,185726.31,240618.31,71874.94,4939.54,90.21,62828.41,71665.17,81896.65,,,,,,,108083.68,6063.25,110.72,96772.04,107869.33,120311.22,113832.61,7652.01,137.55,99811.79,113446.45,129375.75,52700.17,4335.04,77.53,44618.00,52614.34,61834.22,,,,,,,0.33,0.03,0.00,0.28,0.33,0.39,88513.00,96148.00,NA,,,
