Year,SMSY,UMSY,SMAX,SEQ,S_mean,S_sd,S_MC_error,S_val2.5pc,S_median,S_val97.5pc,R_mean,R_sd,R_MC_error,R_val2.5pc,R_median,R_val97.5pc,N_mean,N_sd,N_MC_error,N_val2.5pc,N_median,N_val97.5pc,qS_mr_mean,qS_mr_sd,qS_mr_MC_error,qS_mr_val2.5pc,qS_mr_median,qS_mr_val97.5pc,qS_weir_mean,qS_weir_sd,qS_weir_MC_error,qS_weir_val2.5pc,qS_weir_median,qS_weir_val97.5pc,log.resid_mean,log.resid_sd,log.resid_MC_error,log.resid_val2.5pc,log.resid_median,log.resid_val97.5pc,mu.HB_mean,mu.HB_sd,mu.HB_MC_error,mu.HB_val2.5pc,mu.HB_median,mu.HB_val97.5pc,DIDSON,mr,weir,lnalpha,beta,lnalpha.c
1970,98369.54,0.54,185726.31,240618.31,,,,,,,138188.40,31581.79,589.00,85674.26,135417.43,207684.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099384692,0.00000538,1.3017722
1971,98369.54,0.54,185726.31,240618.31,,,,,,,138115.43,12972.31,243.02,115308.93,137247.05,165483.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,98369.54,0.54,185726.31,240618.31,,,,,,,147869.55,12939.34,227.99,123596.14,147153.34,173853.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,98369.54,0.54,185726.31,240618.31,,,,,,,169503.59,14885.93,271.72,142042.64,169097.97,199882.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,98369.54,0.54,185726.31,240618.31,,,,,,,238810.18,19458.78,355.38,203627.91,237822.63,278973.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,98369.54,0.54,185726.31,240618.31,,,,,,,177685.27,16749.51,305.88,146839.13,176964.60,213553.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,98369.54,0.54,185726.31,240618.31,95343.19,7656.85,139.32,81375.09,95136.62,111247.94,204358.60,20077.13,369.25,168155.01,203223.47,246199.74,154554.32,9510.79,173.64,136533.73,154300.62,173290.77,150884.77,10344.56,183.21,131520.75,150392.57,172873.33,69696.13,3412.16,62.32,63265.04,69654.16,76444.78,0.18,0.21,0.00,-0.25,0.17,0.59,0.38,0.03,0.00,0.32,0.38,0.44,NA,NA,69729.00,,,
1977,98369.54,0.54,185726.31,240618.31,73457.85,8544.29,156.03,58331.49,73023.80,91597.24,247611.70,26029.10,475.21,200640.51,246450.14,302139.33,116481.23,9402.27,168.94,99904.06,115913.92,136136.87,116269.08,12790.68,226.12,92767.48,115681.19,143805.35,53700.09,5245.22,92.99,44195.95,53460.44,64464.90,0.51,0.23,0.00,0.07,0.51,0.96,0.37,0.04,0.00,0.30,0.37,0.44,NA,NA,50363.00,,,
1978,98369.54,0.54,185726.31,240618.31,92199.47,7545.26,137.78,78443.87,91988.00,108275.44,247285.26,25357.71,487.79,200325.38,246149.01,299949.14,180852.92,11327.36,201.94,160147.29,180618.36,204270.42,145917.71,10349.98,189.01,126738.05,145313.38,167303.15,67397.82,3446.08,64.02,60922.35,67324.76,74449.26,0.38,0.21,0.00,-0.03,0.39,0.80,0.49,0.03,0.00,0.43,0.49,0.55,NA,NA,67528.00,,,
1979,98369.54,0.54,185726.31,240618.31,109719.08,8869.60,161.91,93147.01,109326.23,127961.96,330703.28,25762.93,470.52,282757.43,329703.87,383047.76,222464.85,14425.45,263.35,195952.79,221780.95,251208.57,173628.12,11898.20,203.61,150969.31,173183.14,197780.15,80204.60,3988.08,68.77,72706.25,80025.04,88329.81,0.60,0.20,0.00,0.18,0.60,0.97,0.51,0.03,0.00,0.44,0.51,0.57,NA,NA,80588.00,,,
