"","variable","Mean","SD","time_series_se","2.5%","50%","97.5%","mc_error","converge"
"1","D.scale",0.195012562429504,0.00754374720722248,0.00101996122257294,0.179612281745121,0.195981429963139,0.207877071576331,0.135206177322116,"false"
"2","D.sum",26.4141428130883,2.07474314836417,0.300073863458934,23.1413092064423,26.0357623539755,30.9976113752666,0.144631813193612,"false"
"3","N[1]",154962.806822373,9346.20954059283,996.998784274158,137698.262441066,154972.752138502,174745.585031813,0.106674131362447,"false"
"4","N[2]",117134.916516522,9266.5881034742,1385.9541687574,102549.073225343,116756.814262957,135858.562005343,0.14956466752178,"false"
"5","N[3]",177700.532437854,12905.1598987962,836.562221017716,151906.917880008,178005.827931199,202896.389404659,0.0648238555413599,"false"
"6","N[4]",225938.864734637,14796.7758179578,2186.82308075628,198686.190663369,224399.345390938,252127.823762362,0.147790512450847,"false"
"7","N[5]",170665.557611988,16000.9830429054,3227.39316029548,141509.428236891,169414.887726769,204284.851819177,0.201699680053499,"false"
"8","N[6]",164907.112058217,9199.29780237577,1325.67423346635,147601.146294159,164705.577514953,183975.150860172,0.144106024388513,"false"
"9","N[7]",232940.111722621,19446.9906595636,2993.35950349771,196564.225388851,231768.679715954,275331.214281328,0.153924046959196,"false"
"10","N[8]",305168.370506791,20185.2850862984,2276.63413213238,264158.245545074,306077.890335627,344521.325884432,0.112786820815215,"false"
"11","N[9]",271458.914052566,22224.1372969089,2659.16647537037,229632.975489428,271863.67994643,313836.859303465,0.119652179962919,"false"
"12","N[10]",218889.828211854,17678.8023235729,2802.92625035626,186029.172014434,218196.004285144,250479.060765574,0.158547292913549,"false"
"13","N[11]",190064.907182385,16198.1287035926,2141.72299295663,164374.655958911,188212.433360354,223348.176697564,0.13222039608079,"false"
"14","N[12]",140091.488862608,12181.2762467974,1969.58450263372,117256.989905618,138944.093594615,163043.782942088,0.16168950303147,"false"
"15","N[13]",119737.649870998,9095.48847567323,1343.79370778544,100840.823806063,120006.819343556,136691.17985677,0.14774288498958,"false"
"16","N[14]",340388.527972412,20585.8317785303,3430.15123648679,297680.73322727,342388.575347028,378792.459264285,0.166626798148823,"false"
"17","N[15]",240843.487878307,15840.9295380218,1739.01756015127,212461.52929051,241040.135860911,276332.447726571,0.109780019914692,"false"
"18","N[16]",134898.565159796,8189.05666482679,889.737675879888,119282.212249221,134911.918666938,150460.933427697,0.108649593267738,"false"
"19","N[17]",242056.045470127,15447.5111093808,1916.57188290154,213711.448420442,241286.146031138,270687.373624075,0.124069946888575,"false"
"20","N[18]",387448.320787363,26095.9551859526,4604.96491504393,327440.075529718,386948.973194813,434187.245865336,0.176462784451851,"false"
"21","N[19]",238133.631192399,13731.8782513513,1373.19825300944,212144.238668815,238581.19222843,263406.72319371,0.100000759391696,"false"
"22","N[20]",170600.768221566,9969.67360697675,1656.54803239698,152798.59480806,170319.004402397,189367.253748371,0.166158702651784,"false"
"23","N[21]",258992.479669215,19567.9175714323,1645.69002654173,221020.358241775,258437.679822446,297089.017127876,0.0841014390281525,"false"
"24","N[22]",225421.221943609,17877.7212622255,2040.11262456678,189767.510783628,226956.428850215,262584.527126916,0.114114802140774,"false"
"25","N[23]",250993.739280148,16393.9222857927,2288.32960554403,219539.356941122,251153.357675736,283358.350507719,0.139584021788803,"false"
"26","N[24]",302800.944710485,16303.7653740552,1319.82623123603,273915.847550531,303477.841200808,333403.582317776,0.0809522340977943,"false"
"27","N[25]",147003.893820098,9787.92662749343,876.757856693185,130235.140880997,146744.447136187,167073.885029127,0.089575442283195,"false"
"28","N[26]",128600.744771613,7228.69203974515,1074.45442841531,114111.151838595,128651.837708225,142098.629158861,0.148637460623262,"false"
"29","N[27]",139367.650181294,9722.29843197442,1064.29252504284,120486.438888792,139440.020817589,158425.078985309,0.109469230191764,"false"
"30","N[28]",124713.654741716,7263.32220366429,714.764036606936,110521.984664976,124376.979137539,140271.702724479,0.0984073150777123,"false"
"31","N[29]",127210.186774946,6904.30798203448,751.7296952852,113420.690739706,126884.369341763,140600.82605995,0.108878354969282,"false"
"32","N[30]",77026.3163651745,5784.98578909291,912.870285303009,67287.2514050041,76663.3677974063,89052.5807199943,0.157799918372167,"false"
"33","N[31]",72933.0488073799,7069.91294942277,1183.63228175696,60817.7003159186,72627.5247794481,87970.1132842034,0.167418225687432,"false"
"34","N[32]",53528.9846297152,3534.20140717855,425.074157144654,46071.0308203284,53281.3780547274,60009.9360231443,0.120274457556736,"false"
"35","N[33]",98352.8044006092,5943.12471325834,515.350369008482,86768.4806344382,97755.5612029556,109685.016768755,0.0867137059834538,"false"
"36","N[34]",240390.844745771,11830.1897847199,1200.93137290623,218621.943680363,240323.281900063,262653.669063311,0.101514125703831,"false"
"37","N[35]",107171.348859309,5631.81551289841,665.340984659378,97800.0159924075,107380.547634364,118540.530855367,0.118139698137406,"false"
"38","N[36]",80911.2508303945,3130.70082662723,254.796472159001,74801.0104387171,80953.1431190821,86481.0504081694,0.0813864007674917,"false"
"39","N[37]",170156.510244308,10840.7719566855,1197.87288227146,150669.464387576,170005.062104046,193229.413749268,0.110497009535629,"false"
"40","N[38]",202942.951768749,10955.9208297384,1008.89027592984,180717.772327642,203107.323469591,222541.461782364,0.0920863058074808,"false"
"41","N[39]",160795.891359272,8857.49993957511,1053.50110839817,145906.276443104,160107.307137724,181071.235887701,0.118938878417729,"false"
"42","N[40]",128305.198179294,8810.29906908208,1524.3838223493,111509.512191547,126962.98340988,144182.053287926,0.173022937178014,"false"
"43","N[41]",109598.993667156,6044.19984586677,475.865157418492,98458.5942566092,109705.965626504,121869.528485648,0.0787308774616221,"false"
"44","N.ya[1,1]",7329.94966708582,2726.61836535333,387.312912570099,2368.31360682417,7017.27912559333,13246.430143658,0.142048816765712,"false"
"45","N.ya[2,1]",3878.62348588033,1661.6791286311,307.029744361684,1396.72247375395,3766.13713316424,7060.97392369084,0.184770777385052,"false"
"46","N.ya[3,1]",10720.470957705,3778.01017667964,385.190807411848,4807.17511993568,10355.5548400645,18291.9152998041,0.101956000486579,"false"
"47","N.ya[4,1]",5516.52668706247,3565.9652381359,463.279590274836,1286.96138524902,4665.71534794561,15279.7483654197,0.129917023677161,"false"
"48","N.ya[5,1]",4565.28384765033,2382.14342006521,229.125844464303,957.31398709175,4297.99619539994,9727.95815169999,0.0961847395645179,"false"
"49","N.ya[6,1]",2693.18568636902,1567.73782383683,128.078763696715,591.578235275918,2442.0350616258,6743.26164100574,0.0816965450149433,"false"
"50","N.ya[7,1]",8292.44367355685,3585.3821197541,420.775507952909,2398.91711401509,7892.93512411954,15982.6588641612,0.117358622846529,"false"
"51","N.ya[8,1]",16094.7247549761,6321.24299736813,1075.5742166166,7533.85390088364,15359.8467408908,28778.2785882605,0.17015232875313,"false"
"52","N.ya[9,1]",6798.57342852008,4097.11745352437,678.09640629528,2050.64297417701,5956.79975258396,18923.4176316763,0.165505727865326,"false"
"53","N.ya[10,1]",5321.83900618785,2856.18340259439,510.141643863937,1522.76955424878,5114.36827623676,11833.4284472138,0.178609554064544,"false"
"54","N.ya[11,1]",5098.95377980835,2836.41922517845,304.674593557662,838.865014600754,4521.07237298518,12232.0686068697,0.107415219461606,"false"
"55","N.ya[12,1]",4062.53991324485,1879.21360746782,200.12718105434,1203.88027373199,3806.9763826756,8590.18655531507,0.106495174502278,"false"
"56","N.ya[13,1]",3641.57919373097,1928.70323558128,221.037907860899,879.505604123852,3253.76756194251,7703.98686053908,0.114604415953231,"false"
"57","N.ya[14,1]",4883.94743615753,3380.74667980316,655.506082840945,551.262873035774,4220.53289450091,13099.7792559798,0.193893877573552,"false"
"58","N.ya[15,1]",4381.83352901881,3057.11525247822,667.033503029692,394.561331956804,3786.8818670591,12230.9393297894,0.218190499193306,"false"
"59","N.ya[16,1]",3635.92083716705,1737.93208300378,155.428629250776,890.682313852577,3387.91081875386,7835.25892156325,0.0894330858902946,"false"
"60","N.ya[17,1]",4165.5881278283,2433.83504993949,244.381750209539,739.076217664737,3699.43276017483,9280.64104571375,0.100410153192434,"false"
"61","N.ya[18,1]",13919.655241692,6689.56125819037,1353.15139251012,4705.45734581754,12983.9952071074,28788.1575859156,0.202278047884439,"false"
"62","N.ya[19,1]",5720.90477008521,3068.06800404205,312.766567878466,1386.05991855027,4947.27726710336,12526.7289863429,0.101942514789897,"false"
"63","N.ya[20,1]",6647.09660971614,2962.62278526928,551.461462232612,2713.67272116653,6221.39776747161,12780.5488969807,0.186139614187328,"false"
"64","N.ya[21,1]",7635.06782931653,6472.36968391102,1510.95684427043,376.348172894215,5958.42247691903,21019.6815419641,0.233447240819132,"false"
"65","N.ya[22,1]",12077.4396041265,9376.50128833853,1297.41858068091,806.285325015334,9292.58042812726,33273.9684174634,0.138369157192406,"false"
"66","N.ya[23,1]",10190.6920346292,7793.12272060072,1129.97226428256,587.568150441638,8992.62848843365,29160.6410191807,0.144996082417069,"false"
"67","N.ya[24,1]",2585.11133279157,1651.57702328937,334.995782377493,266.18378366311,2201.19998329871,6310.87556320305,0.202833884011233,"false"
"68","N.ya[25,1]",3451.79871339878,1688.99829248506,156.730751141177,860.003188458401,3320.54248416371,7544.57313259653,0.0927950915276389,"false"
"69","N.ya[26,1]",4463.83266901069,2217.16321405937,230.581065831666,1171.02332433875,4180.32870876992,9047.89361186219,0.103998237193147,"false"
"70","N.ya[27,1]",4622.63010452941,2251.32071164646,446.83680016775,1414.66215206331,3954.63750095085,10035.4513636261,0.198477630422084,"false"
"71","N.ya[28,1]",3940.06124799683,1885.45521746034,196.180697915702,967.910285008298,3786.47846084306,8061.21829154268,0.104049513400775,"false"
"72","N.ya[29,1]",5981.44445852082,2121.17585728316,334.69352359994,2634.37082209203,5644.59230187104,9818.39254588987,0.157786787196711,"false"
"73","N.ya[30,1]",2349.18643785222,1026.40229691487,135.644681096797,802.650167130724,2092.95256611015,4340.88273788162,0.13215547305819,"false"
"74","N.ya[31,1]",3974.69183304143,1487.85750492505,208.556124343975,1873.63658335809,3762.12589694036,7331.99970260607,0.140172108991365,"false"
"75","N.ya[32,1]",3030.79046923765,1229.13637414777,130.12119613251,1055.47343659443,2882.1174827206,5956.13387067708,0.105863921098854,"false"
"76","N.ya[33,1]",5138.67984425768,1920.35615254094,149.911422602279,1944.59261310227,4957.96030374532,9438.16805946337,0.0780643852984885,"false"
"77","N.ya[34,1]",5312.98069281561,2788.44912426073,861.342671841332,1823.78455987975,4634.86520104544,11805.8623465527,0.30889667820986,"false"
"78","N.ya[35,1]",3168.2689641599,1567.71543615575,297.889020182624,666.051727013985,2996.96557346076,6446.31373154834,0.190014726724315,"false"
"79","N.ya[36,1]",6785.20537617558,2256.51099035461,225.590520154656,3160.01123527375,6697.37989373187,11117.2411218751,0.099973153739971,"false"
"80","N.ya[37,1]",9487.80276003308,3825.67222500857,535.826226672516,4084.03742097792,9372.58857125646,18059.6952952094,0.140060673041929,"false"
