"","date","2021","2022","2023","2024","2025"
"1",140,0,0,0,0,0
"2",141,0,0,0,0,0
"3",142,0,0,0,0,0
"4",143,0,0,0,0,0
"5",144,0,0,0,0,0
"6",145,0,0,0,0,0
"7",146,0,0,0,0,0
"8",147,0,0,0,0,0
"9",148,0,0,0,0,0
"10",149,0,0,0,0,0
"11",150,0,0,0,0,0
"12",151,0,0,0,0,0
"13",152,0,0,0,0,0
"14",153,0,0,0,0,0
"15",154,0,0,0,0,0
"16",155,0,0,0,0,0
"17",156,0,0,0,0,0
"18",157,0,0,0,0,0
"19",158,0,0,0,0,0
"20",159,0,0,0,0,0
"21",160,0,0,0,0,0
"22",161,0,0,0,0,0
"23",162,0,0,0,0,0
"24",163,0,0,0,0,0
"25",164,0,0,0,0,0
"26",165,0,0,0,0,0
"27",166,0,0,0,0,0
"28",167,0,0,0,0,0
"29",168,0,0,0,0,0
"30",169,0,0,0,0,0
"31",170,0,0,0,0,0
"32",171,0,0,0,0,0
"33",172,0,0,0,0,0
"34",173,0,0,0,0,0
"35",174,0,0,0,0,0
"36",175,0,0,0,0,0
"37",176,0,0,0,0,0
"38",177,0,0,0,0,0
"39",178,0,0,0,0,0
"40",179,0,0,0,0,0
"41",180,0,0,0,0,0
"42",181,0,0,0,0,0
"43",182,0,0,0,0,0
"44",183,0,0,0,0,0
"45",184,0,0,0,0,0
"46",185,0,0,0,0,0
"47",186,0,0,0,0,0
"48",187,0,0,0,0,0
"49",188,0,0,0,0,0
"50",189,0,0,0,0,0
"51",190,0,0,0,0,0
"52",191,0,0,0,0,0
"53",192,0,0,0,0,0
"54",193,0,0,0,0,0
"55",194,0,0,0,0,0
"56",195,0,0,0,0,0
"57",196,0,0,0,0,0
"58",197,0,0,0,0,0
"59",198,0,0,0,0,0
"60",199,0,0,0,0,0
"61",200,0,0,0,0,0
"62",201,0,0,0,0,0
"63",202,0,0,0,0,0
"64",203,0,0,0,0,0
"65",204,0,0,0,0,0
"66",205,0,0,0,0,0
"67",206,0,0,0,0,0
"68",207,0,0,0,0,0
"69",208,0,0,0,0,0
"70",209,0,0,0,0,0
"71",210,0,0,0,0,0
"72",211,0,0,0,0,0
"73",212,0,0,0,0,0
"74",213,0,0,0,0,0
"75",214,0,0,0,0,0
"76",215,0,0,0,0,0
"77",216,0,0,0,0,0
"78",217,0,0,0,0,0
"79",218,0,0,0,0,0
"80",219,0,0,0,0,0
"81",220,0,0,0,0,0
"82",221,0,0,0,0,0
"83",222,0,0,0,0,0
"84",223,0,0,0,0,0
"85",224,0,0,0,0,0
"86",225,0,0,0,0,0
"87",226,0,0,0,0,0
"88",227,0,0,0,0,0
"89",228,0,0,0,0,0
"90",229,0,0,0,0,0
"91",230,0,0,0,0,0
"92",231,0,0,0,0,0
"93",232,0,0,0,0,0
"94",233,0,0,0,0,0
"95",234,0,0,0,0,0
"96",235,0,0,0,0,0
"97",236,0,0,0,7,0
"98",237,0,0,0,13,3.28465235654289
"99",238,0,0,0,0,0
"100",239,0,0,0,0,0
"101",240,0,0,0,0,0
"102",241,0,0,0,0,0
"103",242,0,0,0,0,0
"104",243,0,0,0,0,0
"105",244,7,0,0,0,1.7686589612154
"106",245,0,0,0,40,10.1066226355166
"107",246,0,0,0,31,7.83263254252535
"108",247,0,0,0,12,3.03198679065497
"109",248,0,0,0,0,0
"110",249,0,0,0,-1,-0.252665565887914
"111",250,0,0,0,11,0
"112",251,0,0,0,23,26
"113",252,0,0,0,68,38
"114",253,39,93,0,111,21
"115",254,13,100,0,178,14
"116",255,25,93,0,85,17
"117",256,37,91,0,182,66
"118",257,128,53,0,122,40
"119",258,117,1,0,77,40
"120",259,133,26,0,91,42
"121",260,137,119,0,141,51
"122",261,153,86,0,159,32
"123",262,410,86,0,300,13
"124",263,203,300,77,234,16
"125",264,39,131,45,419,75
"126",265,0,18,123,668,68
"127",266,55,-13,84,63,310
"128",267,18,42,193,144,130
"129",268,145,44,276,492,221
"130",269,244,30,857,247,372
"131",270,1238,7,770,607,460
"132",271,601,34,408,1103,391
"133",272,408,44,207,1082,728
"134",273,627,35,249,844,756
"135",274,315,71,147,991,914
"136",275,327,61,95,226,220
"137",276,297,136,76,150,220
"138",277,154,93,222,628,133
"139",278,87,60,167,413,60
"140",279,251,76,23,259,119
"141",280,396,162,-2,141,459
"142",281,278,382,-11,102,293
"143",282,198,288,154.413768715925,328,195
"144",283,437,113.844333154247,172.295209583562,386,189
"145",284,360,88.1956098744365,133.477711772246,294,130
"146",285,279,67.1700815050833,101.657086918705,261.09711146574,57
"147",286,118,43.6670896143924,66.0869992257076,169.738531038862,100.432697737988
