"","year","date","total_count","imputed"
"1",2008,140,0,TRUE
"2",2009,140,0,TRUE
"3",2010,140,0,TRUE
"4",2011,140,0,TRUE
"5",2012,140,0,TRUE
"6",2013,140,0,TRUE
"7",2014,140,0,TRUE
"8",2015,140,0,TRUE
"9",2016,140,0,TRUE
"10",2017,140,0,TRUE
"11",2018,140,0,TRUE
"12",2019,140,0,TRUE
"13",2020,140,0,TRUE
"14",2021,140,0,TRUE
"15",2022,140,0,TRUE
"16",2023,140,0,TRUE
"17",2024,140,0,TRUE
"18",2025,140,0,TRUE
"19",2008,141,0,TRUE
"20",2009,141,0,TRUE
"21",2010,141,0,TRUE
"22",2011,141,0,TRUE
"23",2012,141,0,TRUE
"24",2013,141,0,TRUE
"25",2014,141,0,TRUE
"26",2015,141,0,TRUE
"27",2016,141,0,TRUE
"28",2017,141,0,TRUE
"29",2018,141,0,TRUE
"30",2019,141,0,TRUE
"31",2020,141,0,TRUE
"32",2021,141,0,TRUE
"33",2022,141,0,TRUE
"34",2023,141,0,TRUE
"35",2024,141,0,TRUE
"36",2025,141,0,TRUE
"37",2008,142,0,TRUE
"38",2009,142,0,TRUE
"39",2010,142,0,TRUE
"40",2011,142,0,TRUE
"41",2012,142,0,TRUE
"42",2013,142,0,TRUE
"43",2014,142,0,TRUE
"44",2015,142,0,TRUE
"45",2016,142,0,TRUE
"46",2017,142,0,TRUE
"47",2018,142,0,TRUE
"48",2019,142,0,TRUE
"49",2020,142,0,TRUE
"50",2021,142,0,TRUE
"51",2022,142,0,TRUE
"52",2023,142,0,TRUE
"53",2024,142,0,TRUE
"54",2025,142,0,TRUE
"55",2008,143,0,TRUE
"56",2009,143,0,TRUE
"57",2010,143,0,TRUE
"58",2011,143,0,TRUE
"59",2012,143,0,TRUE
"60",2013,143,0,TRUE
"61",2014,143,0,TRUE
"62",2015,143,0,TRUE
"63",2016,143,0,TRUE
"64",2017,143,0,TRUE
"65",2018,143,0,TRUE
"66",2019,143,0,TRUE
"67",2020,143,0,TRUE
"68",2021,143,0,TRUE
"69",2022,143,0,TRUE
"70",2023,143,0,TRUE
"71",2024,143,0,TRUE
"72",2025,143,0,TRUE
"73",2008,144,0,TRUE
"74",2009,144,0,TRUE
"75",2010,144,0,TRUE
"76",2011,144,0,TRUE
"77",2012,144,0,TRUE
"78",2013,144,0,TRUE
"79",2014,144,0,TRUE
"80",2015,144,0,TRUE
"81",2016,144,0,TRUE
"82",2017,144,0,TRUE
"83",2018,144,0,TRUE
"84",2019,144,0,TRUE
"85",2020,144,0,TRUE
"86",2021,144,0,TRUE
"87",2022,144,0,TRUE
"88",2023,144,0,TRUE
"89",2024,144,0,TRUE
"90",2025,144,0,TRUE
"91",2008,145,0,TRUE
"92",2009,145,0,TRUE
"93",2010,145,0,TRUE
"94",2011,145,0,TRUE
"95",2012,145,0,TRUE
"96",2013,145,0,TRUE
"97",2014,145,0,TRUE
"98",2015,145,0,TRUE
"99",2016,145,0,TRUE
"100",2017,145,0,TRUE
"101",2018,145,0,TRUE
"102",2019,145,0,TRUE
"103",2020,145,0,TRUE
"104",2021,145,0,TRUE
"105",2022,145,0,TRUE
"106",2023,145,0,TRUE
"107",2024,145,0,TRUE
"108",2025,145,0,TRUE
"109",2008,146,0,TRUE
"110",2009,146,0,TRUE
"111",2010,146,0,TRUE
"112",2011,146,0,TRUE
"113",2012,146,0,TRUE
"114",2013,146,0,TRUE
"115",2014,146,0,TRUE
"116",2015,146,0,TRUE
"117",2016,146,0,TRUE
"118",2017,146,0,TRUE
"119",2018,146,0,TRUE
"120",2019,146,0,TRUE
"121",2020,146,0,TRUE
"122",2021,146,0,TRUE
"123",2022,146,0,TRUE
"124",2023,146,0,TRUE
"125",2024,146,0,TRUE
"126",2025,146,0,TRUE
"127",2008,147,0,TRUE
"128",2009,147,0,TRUE
"129",2010,147,0,TRUE
"130",2011,147,0,TRUE
"131",2012,147,0,TRUE
"132",2013,147,0,TRUE
"133",2014,147,0,TRUE
"134",2015,147,0,TRUE
"135",2016,147,0,TRUE
"136",2017,147,0,TRUE
"137",2018,147,0,TRUE
"138",2019,147,0,TRUE
"139",2020,147,0,TRUE
"140",2021,147,0,TRUE
"141",2022,147,0,TRUE
"142",2023,147,0,TRUE
"143",2024,147,0,TRUE
"144",2025,147,0,TRUE
"145",2008,148,0,TRUE
"146",2009,148,0,TRUE
"147",2010,148,0,TRUE
"148",2011,148,0,TRUE
"149",2012,148,0,TRUE
"150",2013,148,0,TRUE
"151",2014,148,0,TRUE
"152",2015,148,0,TRUE
"153",2016,148,0,TRUE
"154",2017,148,0,TRUE
"155",2018,148,0,TRUE
"156",2019,148,0,TRUE
"157",2020,148,0,TRUE
"158",2021,148,0,TRUE
"159",2022,148,0,TRUE
"160",2023,148,0,TRUE
"161",2024,148,0,TRUE
"162",2025,148,0,TRUE
"163",2008,149,0,TRUE
"164",2009,149,0,TRUE
"165",2010,149,0,TRUE
"166",2011,149,0,TRUE
"167",2012,149,0,TRUE
"168",2013,149,0,TRUE
"169",2014,149,0,TRUE
"170",2015,149,0,TRUE
"171",2016,149,0,TRUE
"172",2017,149,0,TRUE
"173",2018,149,0,TRUE
"174",2019,149,0,TRUE
"175",2020,149,0,TRUE
"176",2021,149,0,TRUE
"177",2022,149,0,TRUE
"178",2023,149,0,TRUE
"179",2024,149,0,TRUE
"180",2025,149,0,TRUE
"181",2008,150,0,TRUE
"182",2009,150,0,TRUE
"183",2010,150,0,TRUE
"184",2011,150,0,TRUE
"185",2012,150,0,TRUE
"186",2013,150,0,TRUE
"187",2014,150,0,TRUE
"188",2015,150,0,TRUE
"189",2016,150,0,TRUE
"190",2017,150,0,TRUE
"191",2018,150,0,TRUE
"192",2019,150,0,TRUE
"193",2020,150,0,TRUE
"194",2021,150,0,TRUE
"195",2022,150,0,TRUE
"196",2023,150,0,TRUE
"197",2024,150,0,TRUE
"198",2025,150,0,TRUE
"199",2008,151,0,TRUE
"200",2009,151,0,TRUE
"201",2010,151,0,TRUE
"202",2011,151,0,TRUE
"203",2012,151,0,TRUE
"204",2013,151,0,TRUE
"205",2014,151,0,TRUE
"206",2015,151,0,TRUE
"207",2016,151,0,TRUE
"208",2017,151,0,TRUE
"209",2018,151,0,TRUE
"210",2019,151,0,TRUE
"211",2020,151,0,TRUE
"212",2021,151,0,TRUE
"213",2022,151,0,TRUE
"214",2023,151,0,TRUE
"215",2024,151,0,TRUE
"216",2025,151,0,TRUE
"217",2008,152,0,TRUE
"218",2009,152,0,TRUE
"219",2010,152,0,TRUE
"220",2011,152,0,TRUE
"221",2012,152,0,TRUE
"222",2013,152,0,TRUE
"223",2014,152,0,TRUE
"224",2015,152,0,TRUE
"225",2016,152,0,TRUE
"226",2017,152,0,TRUE
