"","year","date","total_count","imputed"
"1",2018,140,0,TRUE
"2",2019,140,0,TRUE
"3",2020,140,0,TRUE
"4",2021,140,0,TRUE
"5",2022,140,0,TRUE
"6",2023,140,0,TRUE
"7",2024,140,0,TRUE
"8",2025,140,0,TRUE
"9",2018,141,0,TRUE
"10",2019,141,0,TRUE
"11",2020,141,0,TRUE
"12",2021,141,0,TRUE
"13",2022,141,0,TRUE
"14",2023,141,0,TRUE
"15",2024,141,0,TRUE
"16",2025,141,0,TRUE
"17",2018,142,0,TRUE
"18",2019,142,0,TRUE
"19",2020,142,0,TRUE
"20",2021,142,0,TRUE
"21",2022,142,0,TRUE
"22",2023,142,0,TRUE
"23",2024,142,0,TRUE
"24",2025,142,0,TRUE
"25",2018,143,0,TRUE
"26",2019,143,0,TRUE
"27",2020,143,0,TRUE
"28",2021,143,0,TRUE
"29",2022,143,0,TRUE
"30",2023,143,0,TRUE
"31",2024,143,0,TRUE
"32",2025,143,0,TRUE
"33",2018,144,0,TRUE
"34",2019,144,0,TRUE
"35",2020,144,0,TRUE
"36",2021,144,0,TRUE
"37",2022,144,0,TRUE
"38",2023,144,0,TRUE
"39",2024,144,0,TRUE
"40",2025,144,0,TRUE
"41",2018,145,0,TRUE
"42",2019,145,0,TRUE
"43",2020,145,0,TRUE
"44",2021,145,0,TRUE
"45",2022,145,0,TRUE
"46",2023,145,0,TRUE
"47",2024,145,0,TRUE
"48",2025,145,0,TRUE
"49",2018,146,0,TRUE
"50",2019,146,0,TRUE
"51",2020,146,0,TRUE
"52",2021,146,0,TRUE
"53",2022,146,0,TRUE
"54",2023,146,0,TRUE
"55",2024,146,0,TRUE
"56",2025,146,0,TRUE
"57",2018,147,0,TRUE
"58",2019,147,0,TRUE
"59",2020,147,0,TRUE
"60",2021,147,0,TRUE
"61",2022,147,0,TRUE
"62",2023,147,0,TRUE
"63",2024,147,0,TRUE
"64",2025,147,0,TRUE
"65",2018,148,0,TRUE
"66",2019,148,0,TRUE
"67",2020,148,0,TRUE
"68",2021,148,0,TRUE
"69",2022,148,0,TRUE
"70",2023,148,0,TRUE
"71",2024,148,0,TRUE
"72",2025,148,0,TRUE
"73",2018,149,0,TRUE
"74",2019,149,0,TRUE
"75",2020,149,0,TRUE
"76",2021,149,0,TRUE
"77",2022,149,0,TRUE
"78",2023,149,0,TRUE
"79",2024,149,0,TRUE
"80",2025,149,0,TRUE
"81",2018,150,0,TRUE
"82",2019,150,0,TRUE
"83",2020,150,0,TRUE
"84",2021,150,0,TRUE
"85",2022,150,0,TRUE
"86",2023,150,0,TRUE
"87",2024,150,0,TRUE
"88",2025,150,0,TRUE
"89",2018,151,0,TRUE
"90",2019,151,0,TRUE
"91",2020,151,0,TRUE
"92",2021,151,0,TRUE
"93",2022,151,0,TRUE
"94",2023,151,0,TRUE
"95",2024,151,0,TRUE
"96",2025,151,0,TRUE
"97",2018,152,0,TRUE
"98",2019,152,0,TRUE
"99",2020,152,0,TRUE
"100",2021,152,0,TRUE
"101",2022,152,0,TRUE
"102",2023,152,0,TRUE
"103",2024,152,0,TRUE
"104",2025,152,0,TRUE
"105",2018,153,0,TRUE
"106",2019,153,0,TRUE
"107",2020,153,0,TRUE
"108",2021,153,0,TRUE
"109",2022,153,0,TRUE
"110",2023,153,0,TRUE
"111",2024,153,0,TRUE
"112",2025,153,0,TRUE
"113",2018,154,0,TRUE
"114",2019,154,0,TRUE
"115",2020,154,0,TRUE
"116",2021,154,0,TRUE
"117",2022,154,0,TRUE
"118",2023,154,0,TRUE
"119",2024,154,0,TRUE
"120",2025,154,0,TRUE
"121",2018,155,0,TRUE
"122",2019,155,0,TRUE
"123",2020,155,0,TRUE
"124",2021,155,0,TRUE
"125",2022,155,0,TRUE
"126",2023,155,0,TRUE
"127",2024,155,0,TRUE
"128",2025,155,0,TRUE
"129",2018,156,0,TRUE
"130",2019,156,0,TRUE
"131",2020,156,0,TRUE
"132",2021,156,0,TRUE
"133",2022,156,0,TRUE
"134",2023,156,0,TRUE
"135",2024,156,0,TRUE
"136",2025,156,0,TRUE
"137",2018,157,0,TRUE
"138",2019,157,0,TRUE
"139",2020,157,0,TRUE
