"","date","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",130,0.0248160978694507,0.0444331095587359,0,0,0,0.036883877349238,0.0423567400703003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158471995098719,0,0,0,0.0349277183661161,0.0694125641546967,1,0,0,0,0.015073546339153,0,0.0354218797930067,0
"11",131,0.0488579343160046,0.08747990758631,0,0,0,0.0726169789591568,0.0833919512670633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06876569307786,0.136659458609746,2,0,0,0,0.0296767985321471,0,0.0697385981104145,0
"12",132,0.024428967157933,0.0437399537931536,0,0,0,0.0363084894795788,0.041695975633532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343828465389282,0.0683297293048696,1,0,0,0,0.0148383992660724,0,0.0348692990552044,0
"13",133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",134,0.0236058477459963,0.0422661622579491,0,0,0,0.0350850966836085,0.0402910547217712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332243371311971,0.0660274000303003,1,0,0,0,0.014338428297626,0,0,0
"15",135,0.070817543237893,0.126798486773856,0,0,0,0.105255290050834,0.120873164165324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0996730113935966,0.198082200090911,0,0,0,0,0.0430152848928799,0,0,0
"16",136,0.118029238729339,0.211330811289774,0,0,0,0.17542548341808,0.201455273608898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.166121685656,0.330137000151531,0,0,0,0,0.0716921414881333,0,0,0
"17",137,0.0472116954914122,0.0845323245159025,0,0,0,0.0701701933672334,0.0805821094435599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664486742623913,0.132054800060595,2,0,0,0,0.0286768565952479,0,0,0
"18",138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
